variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
multiscale_dictionary,4,myops_edema,all_cases,44,0.5591174904894196,26.949614826098106,9.618350216414026,4.75,2.4318181818181817,0.75
multiscale_dictionary,4,myops_edema,gt_positive_only,16,0.10007309884590404,130.2564716594742,46.48869271266779,9.6875,3.3125,0.625
multiscale_dictionary,4,myops_edema,t2_present,16,0.10007309884590404,130.2564716594742,46.48869271266779,9.6875,3.3125,0.625
multiscale_dictionary,4,myops_edema,complete_modality,16,0.10007309884590404,130.2564716594742,46.48869271266779,9.6875,3.3125,0.625
multiscale_dictionary,4,myops_edema,CenterB,7,0.22873851164778064,130.2564716594742,46.48869271266779,22.142857142857142,7.571428571428571,0.14285714285714285
multiscale_dictionary,4,myops_edema,CenterC,9,0.0,,,0.0,0.0,1.0
multiscale_dictionary,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
multiscale_dictionary,4,myops_edema,LGE-only,24,0.7916666666666666,0.0,0.0,2.25,2.25,0.7916666666666666
multiscale_dictionary,4,myops_edema,no_T2_empty_GT,28,0.8214285714285714,0.0,0.0,1.9285714285714286,1.9285714285714286,0.8214285714285714
multiscale_dictionary,5,myops_scar,all_cases,44,0.025286218621437796,171.87943856432582,109.2367890584214,54.18181818181818,40.45454545454545,0.7045454545454546
multiscale_dictionary,5,myops_scar,gt_positive_only,43,0.0026184562637968146,185.10093383850474,117.63961898599226,55.44186046511628,41.395348837209305,0.6976744186046512
multiscale_dictionary,5,myops_scar,t2_present,16,0.0038015243327258206,165.08875154481476,58.170698915212185,9.125,4.25,0.8125
multiscale_dictionary,5,myops_scar,complete_modality,16,0.0038015243327258206,165.08875154481476,58.170698915212185,9.125,4.25,0.8125
multiscale_dictionary,5,myops_scar,CenterB,7,0.008689198474801875,165.08875154481476,58.170698915212185,20.857142857142858,9.714285714285714,0.5714285714285714
multiscale_dictionary,5,myops_scar,CenterC,9,0.0,,,0.0,0.0,1.0
multiscale_dictionary,5,myops_scar,C0+LGE,4,0.25,0.0,0.0,0.0,0.0,1.0
multiscale_dictionary,5,myops_scar,LGE-only,24,0.0021570512508187457,191.10458852661174,135.4802950072263,93.25,71.33333333333333,0.5833333333333334
multiscale_dictionary,5,myops_scar,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0
