checkpoint,class_id,component_count_mean,decode_mode,dice_mean,empty_prediction_rate,group,hd95_mean,hd_mean,metric_name,n,pred_gt_volume_ratio_mean,remote_fp_mean,variant
best,4,43.04545454545455,mixed_priority_t0.50,0.15578034018027206,0.09090909090909091,all_cases,,,myops_edema,44,2.0911259406423257,37.0,proposal_pos_neg_basic
best,4,72.5,mixed_priority_t0.50,0.17839593549574817,0.0,gt_positive_only,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,72.5,mixed_priority_t0.50,0.17839593549574817,0.0,t2_present,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,72.5,mixed_priority_t0.50,0.17839593549574817,0.0,complete_modality,,,myops_edema,16,2.0911259406423257,55.875,proposal_pos_neg_basic
best,4,48.857142857142854,mixed_priority_t0.50,0.3323116277933939,0.0,CenterB,,,myops_edema,7,1.8065125425502393,31.857142857142858,proposal_pos_neg_basic
best,4,90.88888888888889,mixed_priority_t0.50,0.058683730375357124,0.0,CenterC,,,myops_edema,9,2.312491916936171,74.55555555555556,proposal_pos_neg_basic
best,4,27.5,mixed_priority_t0.50,0.16666666666666666,0.16666666666666666,LGE-only,,,myops_edema,24,,27.5,proposal_pos_neg_basic
best,4,26.214285714285715,mixed_priority_t0.50,0.14285714285714285,0.14285714285714285,no_T2_empty_GT,,,myops_edema,28,,26.214285714285715,proposal_pos_neg_basic
best,5,106.75,mixed_priority_t0.50,0.10473423392763258,0.0,all_cases,,,myops_scar,44,5.359438298235854,84.3409090909091,proposal_pos_neg_basic
best,5,108.3953488372093,mixed_priority_t0.50,0.10716991378641473,0.0,gt_positive_only,,,myops_scar,43,5.359438298235854,85.46511627906976,proposal_pos_neg_basic
best,5,33.0625,mixed_priority_t0.50,0.15527252130219027,0.0,t2_present,,,myops_scar,16,0.9191734612770535,25.375,proposal_pos_neg_basic
best,5,33.0625,mixed_priority_t0.50,0.15527252130219027,0.0,complete_modality,,,myops_scar,16,0.9191734612770535,25.375,proposal_pos_neg_basic
best,5,22.714285714285715,mixed_priority_t0.50,0.19712909742479173,0.0,CenterB,,,myops_scar,7,1.2038306911305807,13.571428571428571,proposal_pos_neg_basic
best,5,41.111111111111114,mixed_priority_t0.50,0.1227174065401669,0.0,CenterC,,,myops_scar,9,0.6977733936131988,34.55555555555556,proposal_pos_neg_basic
best,5,161.41666666666666,mixed_priority_t0.50,0.07275264952418513,0.0,LGE-only,,,myops_scar,24,8.878643803187806,129.33333333333334,proposal_pos_neg_basic
best,5,36.0,mixed_priority_t0.50,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,36.0,proposal_pos_neg_basic
best,4,14.409090909090908,original_evidence_priority_t0.50,0.3914006743153845,0.3409090909090909,all_cases,,,myops_edema,44,0.7062616998128997,10.818181818181818,proposal_pos_neg_basic
best,4,33.125,original_evidence_priority_t0.50,0.1388518543673073,0.0,gt_positive_only,,,myops_edema,16,0.7062616998128997,23.25,proposal_pos_neg_basic
best,4,33.125,original_evidence_priority_t0.50,0.1388518543673073,0.0,t2_present,,,myops_edema,16,0.7062616998128997,23.25,proposal_pos_neg_basic
best,4,33.125,original_evidence_priority_t0.50,0.1388518543673073,0.0,complete_modality,,,myops_edema,16,0.7062616998128997,23.25,proposal_pos_neg_basic
best,4,29.714285714285715,original_evidence_priority_t0.50,0.2793110770205222,0.0,CenterB,,,myops_edema,7,0.7094508715845567,15.857142857142858,proposal_pos_neg_basic
best,4,35.77777777777778,original_evidence_priority_t0.50,0.02960579230369566,0.0,CenterC,,,myops_edema,9,0.7037812328793888,29.0,proposal_pos_neg_basic
best,4,4.125,original_evidence_priority_t0.50,0.5416666666666666,0.5416666666666666,LGE-only,,,myops_edema,24,,4.125,proposal_pos_neg_basic
best,4,3.7142857142857144,original_evidence_priority_t0.50,0.5357142857142857,0.5357142857142857,no_T2_empty_GT,,,myops_edema,28,,3.7142857142857144,proposal_pos_neg_basic
best,5,71.0,original_evidence_priority_t0.50,0.09373064963208169,0.0,all_cases,,,myops_scar,44,2.1750354301263757,52.63636363636363,proposal_pos_neg_basic
best,5,72.20930232558139,original_evidence_priority_t0.50,0.09591043218166499,0.0,gt_positive_only,,,myops_scar,43,2.1750354301263757,53.41860465116279,proposal_pos_neg_basic
best,5,23.125,original_evidence_priority_t0.50,0.13179026519868786,0.0,t2_present,,,myops_scar,16,0.5626082852302735,16.75,proposal_pos_neg_basic
best,5,23.125,original_evidence_priority_t0.50,0.13179026519868786,0.0,complete_modality,,,myops_scar,16,0.5626082852302735,16.75,proposal_pos_neg_basic
best,5,16.142857142857142,original_evidence_priority_t0.50,0.16634334162077893,0.0,CenterB,,,myops_scar,7,0.6738708841550158,7.428571428571429,proposal_pos_neg_basic
best,5,28.555555555555557,original_evidence_priority_t0.50,0.10491565020372812,0.0,CenterC,,,myops_scar,9,0.47607070828880726,24.0,proposal_pos_neg_basic
best,5,107.70833333333333,original_evidence_priority_t0.50,0.07343066388616204,0.0,LGE-only,,,myops_scar,24,3.46507372492899,80.83333333333333,proposal_pos_neg_basic
best,5,19.0,original_evidence_priority_t0.50,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,19.0,proposal_pos_neg_basic
best,4,53.34090909090909,proposal_priority_t0.50,0.1327634051102702,0.06818181818181818,all_cases,,,myops_edema,44,2.590710828525339,46.31818181818182,proposal_pos_neg_basic
best,4,87.375,proposal_priority_t0.50,0.17759936405324303,0.0,gt_positive_only,,,myops_edema,16,2.590710828525339,68.0625,proposal_pos_neg_basic
best,4,87.375,proposal_priority_t0.50,0.17759936405324303,0.0,t2_present,,,myops_edema,16,2.590710828525339,68.0625,proposal_pos_neg_basic
best,4,87.375,proposal_priority_t0.50,0.17759936405324303,0.0,complete_modality,,,myops_edema,16,2.590710828525339,68.0625,proposal_pos_neg_basic
best,4,57.857142857142854,proposal_priority_t0.50,0.32774460069229877,0.0,CenterB,,,myops_edema,7,2.1353203055592935,39.285714285714285,proposal_pos_neg_basic
best,4,110.33333333333333,proposal_priority_t0.50,0.06081973555619967,0.0,CenterC,,,myops_edema,9,2.94490345749893,90.44444444444444,proposal_pos_neg_basic
best,4,34.791666666666664,proposal_priority_t0.50,0.125,0.125,LGE-only,,,myops_edema,24,,34.791666666666664,proposal_pos_neg_basic
best,4,33.892857142857146,proposal_priority_t0.50,0.10714285714285714,0.10714285714285714,no_T2_empty_GT,,,myops_edema,28,,33.892857142857146,proposal_pos_neg_basic
best,5,122.6590909090909,proposal_priority_t0.50,0.10612283171429328,0.0,all_cases,,,myops_scar,44,7.212600752830506,97.0,proposal_pos_neg_basic
best,5,124.62790697674419,proposal_priority_t0.50,0.10859080454485824,0.0,gt_positive_only,,,myops_scar,43,7.212600752830506,98.37209302325581,proposal_pos_neg_basic
best,5,36.625,proposal_priority_t0.50,0.1597006042765033,0.0,t2_present,,,myops_scar,16,1.074111825728036,28.1875,proposal_pos_neg_basic
best,5,36.625,proposal_priority_t0.50,0.1597006042765033,0.0,complete_modality,,,myops_scar,16,1.074111825728036,28.1875,proposal_pos_neg_basic
best,5,25.428571428571427,proposal_priority_t0.50,0.2011754413646942,0.0,CenterB,,,myops_scar,7,1.4279465665949833,15.0,proposal_pos_neg_basic
best,5,45.333333333333336,proposal_priority_t0.50,0.1274423976523548,0.0,CenterC,,,myops_scar,9,0.7989070272759662,38.44444444444444,proposal_pos_neg_basic
best,5,185.04166666666666,proposal_priority_t0.50,0.07047876873177221,0.0,LGE-only,,,myops_scar,24,12.065987455691015,148.41666666666666,proposal_pos_neg_basic
best,5,38.0,proposal_priority_t0.50,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,38.0,proposal_pos_neg_basic
best,4,44.97727272727273,raw_argmax_current,0.17678745952285205,0.11363636363636363,all_cases,,,myops_edema,44,2.4512081306316764,38.02272727272727,proposal_pos_neg_basic
best,4,79.875,raw_argmax_current,0.17366551368784316,0.0,gt_positive_only,,,myops_edema,16,2.4512081306316764,60.75,proposal_pos_neg_basic
best,4,79.875,raw_argmax_current,0.17366551368784316,0.0,t2_present,,,myops_edema,16,2.4512081306316764,60.75,proposal_pos_neg_basic
best,4,79.875,raw_argmax_current,0.17366551368784316,0.0,complete_modality,,,myops_edema,16,2.4512081306316764,60.75,proposal_pos_neg_basic
best,4,54.142857142857146,raw_argmax_current,0.3125892001099532,0.0,CenterB,,,myops_edema,7,1.912039297008684,34.42857142857143,proposal_pos_neg_basic
best,4,99.88888888888889,raw_argmax_current,0.06561375758175753,0.0,CenterC,,,myops_edema,9,2.8705616678940036,81.22222222222223,proposal_pos_neg_basic
best,4,26.0,raw_argmax_current,0.20833333333333334,0.20833333333333334,LGE-only,,,myops_edema,24,,26.0,proposal_pos_neg_basic
best,4,25.035714285714285,raw_argmax_current,0.17857142857142858,0.17857142857142858,no_T2_empty_GT,,,myops_edema,28,,25.035714285714285,proposal_pos_neg_basic
best,5,102.36363636363636,raw_argmax_current,0.10168644946384839,0.0,all_cases,,,myops_scar,44,4.8051781688745345,79.4090909090909,proposal_pos_neg_basic
best,5,104.02325581395348,raw_argmax_current,0.10405125061417046,0.0,gt_positive_only,,,myops_scar,43,4.8051781688745345,80.53488372093024,proposal_pos_neg_basic
best,5,34.3125,raw_argmax_current,0.14647169690041925,0.0,t2_present,,,myops_scar,16,0.7867066544471588,25.125,proposal_pos_neg_basic
best,5,34.3125,raw_argmax_current,0.14647169690041925,0.0,complete_modality,,,myops_scar,16,0.7867066544471588,25.125,proposal_pos_neg_basic
best,5,25.428571428571427,raw_argmax_current,0.17694533603404541,0.0,CenterB,,,myops_scar,7,0.948591559450564,13.0,proposal_pos_neg_basic
best,5,41.22222222222222,raw_argmax_current,0.1227699775742656,0.0,CenterC,,,myops_scar,9,0.6607961727778435,34.55555555555556,proposal_pos_neg_basic
best,5,151.16666666666666,raw_argmax_current,0.07218857329125143,0.0,LGE-only,,,myops_scar,24,7.980368490954909,120.04166666666667,proposal_pos_neg_basic
best,5,31.0,raw_argmax_current,0.0,0.0,no_T2_empty_GT,,,myops_scar,1,,31.0,proposal_pos_neg_basic
best,4,68.5909090909091,threshold_sweep_mixed_t0.10,0.08708766070567885,0.022727272727272728,all_cases,,,myops_edema,44,2.946302605090068,61.13636363636363,proposal_pos_neg_basic
best,4,96.9375,threshold_sweep_mixed_t0.10,0.17699106694061684,0.0,gt_positive_only,,,myops_edema,16,2.946302605090068,76.4375,proposal_pos_neg_basic
best,4,96.9375,threshold_sweep_mixed_t0.10,0.17699106694061684,0.0,t2_present,,,myops_edema,16,2.946302605090068,76.4375,proposal_pos_neg_basic
best,4,96.9375,threshold_sweep_mixed_t0.10,0.17699106694061684,0.0,complete_modality,,,myops_edema,16,2.946302605090068,76.4375,proposal_pos_neg_basic
best,4,61.857142857142854,threshold_sweep_mixed_t0.10,0.3216503647595697,0.0,CenterB,,,myops_edema,7,2.3132137332862652,41.57142857142857,proposal_pos_neg_basic
best,4,124.22222222222223,threshold_sweep_mixed_t0.10,0.064478279748098,0.0,CenterC,,,myops_edema,9,3.4387050609374703,103.55555555555556,proposal_pos_neg_basic
best,4,54.708333333333336,threshold_sweep_mixed_t0.10,0.041666666666666664,0.041666666666666664,LGE-only,,,myops_edema,24,,54.708333333333336,proposal_pos_neg_basic
best,4,52.392857142857146,threshold_sweep_mixed_t0.10,0.03571428571428571,0.03571428571428571,no_T2_empty_GT,,,myops_edema,28,,52.392857142857146,proposal_pos_neg_basic
best,5,136.02272727272728,threshold_sweep_mixed_t0.10,0.10610744129033818,0.0,all_cases,,,myops_scar,44,9.569508426199901,107.6590909090909,proposal_pos_neg_basic
best,5,138.06976744186048,threshold_sweep_mixed_t0.10,0.10857505620406696,0.0,gt_positive_only,,,myops_scar,43,9.569508426199901,109.04651162790698,proposal_pos_neg_basic
best,5,42.8125,threshold_sweep_mixed_t0.10,0.16404029495776756,0.0,t2_present,,,myops_scar,16,1.2447338704005202,32.625,proposal_pos_neg_basic
best,5,42.8125,threshold_sweep_mixed_t0.10,0.16404029495776756,0.0,complete_modality,,,myops_scar,16,1.2447338704005202,32.625,proposal_pos_neg_basic
best,5,29.285714285714285,threshold_sweep_mixed_t0.10,0.20329404693215156,0.0,CenterB,,,myops_scar,7,1.623346098894201,17.142857142857142,proposal_pos_neg_basic
