route,variant,task,root,selection_status,result_present,metrics_present,summary_present,prediction_dir_present,stop_reason,budget_status,elapsed_seconds,ready_to_aggregate
repaired_proposal,repaired_uncertainty_hardneg,prompts/tasks/20260629_repaired_proposal_repeat.md,/users/a/e/aereinh/CARE/results/20260629_repaired_proposal_repeat,status: `ROUTE_TO_CASCADE_TEACHER`,True,True,True,True,max_runtime_seconds,OK,23400.025174524635,True
repaired_proposal,repaired_posneg_scar_hardneg,prompts/tasks/20260629_repaired_proposal_repeat.md,/users/a/e/aereinh/CARE/results/20260629_repaired_proposal_repeat,status: `ROUTE_TO_CASCADE_TEACHER`,True,True,True,True,max_runtime_seconds,OK,23400.002703629434,True
repaired_proposal,repaired_joint_calibrated_proposal,prompts/tasks/20260629_repaired_proposal_repeat.md,/users/a/e/aereinh/CARE/results/20260629_repaired_proposal_repeat,status: `ROUTE_TO_CASCADE_TEACHER`,True,True,True,True,max_runtime_seconds,OK,23400.008788676932,True
srr_v2,srr_v2_multiscale_private_basic,prompts/tasks/20260629_srr_v2_unet_core.md,/users/a/e/aereinh/CARE/results/20260629_srr_v2_unet_core,,True,True,True,True,recovered_export_from_checkpoint,RECOVERED_EXPORT_ONLY,607.2312626130879,True
srr_v2,srr_v2_multiscale_private_proposal,prompts/tasks/20260629_srr_v2_unet_core.md,/users/a/e/aereinh/CARE/results/20260629_srr_v2_unet_core,,True,True,False,False,,,,False
srr_v2,srr_v2_proposal_uncertainty_hardneg,prompts/tasks/20260629_srr_v2_unet_core.md,/users/a/e/aereinh/CARE/results/20260629_srr_v2_unet_core,,True,True,False,False,,,,False
cascade_teacher,nnunet_anatomy_prior_refiner,prompts/tasks/20260629_cascade_teacher_route.md,/users/a/e/aereinh/CARE/results/20260629_cascade_teacher_route,status: `STOP_NO_CASCADE_SIGNAL`,True,True,True,True,completed,OK,288.87228083610535,True
cascade_teacher,nnunet_pathology_teacher_srr_refiner,prompts/tasks/20260629_cascade_teacher_route.md,/users/a/e/aereinh/CARE/results/20260629_cascade_teacher_route,status: `STOP_NO_CASCADE_SIGNAL`,True,True,True,True,completed,OK,289.0588445663452,True
cascade_teacher,coarse_to_fine_srr_roi,prompts/tasks/20260629_cascade_teacher_route.md,/users/a/e/aereinh/CARE/results/20260629_cascade_teacher_route,status: `STOP_NO_CASCADE_SIGNAL`,True,True,True,True,completed,OK,288.92391705513,True
cine_motion_alignment,,prompts/tasks/20260629_cine_motion_alignment.md,/users/a/e/aereinh/CARE/results/20260629_cine_motion_alignment,status: `SELECT_MOTION_DESCRIPTOR_ONLY`,True,True,,,,,,True
cine_motion_pathology,,prompts/tasks/20260629_cine_motion_pathology.md,/users/a/e/aereinh/CARE/results/20260629_cine_motion_pathology,status: `SELECT_REFERENCE_CONTROL_ONLY`,True,True,,,,,,True
