variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
srr_v2_capacity12_proposal,4,myops_edema,all_cases,44,0.539549798740777,53.00661255818984,34.73805731491043,20.75,15.954545454545455,0.5227272727272727
srr_v2_capacity12_proposal,4,myops_edema,gt_positive_only,16,0.17126194653713678,132.5165313954746,86.84514328727606,55.625,42.4375,0.125
srr_v2_capacity12_proposal,4,myops_edema,t2_present,16,0.17126194653713678,132.5165313954746,86.84514328727606,55.625,42.4375,0.125
srr_v2_capacity12_proposal,4,myops_edema,complete_modality,16,0.17126194653713678,132.5165313954746,86.84514328727606,55.625,42.4375,0.125
srr_v2_capacity12_proposal,4,myops_edema,CenterB,7,0.36252006412559284,98.84254843900112,38.94779584069497,17.0,7.857142857142857,0.0
srr_v2_capacity12_proposal,4,myops_edema,CenterC,9,0.02250563285722649,166.19051435194808,134.74249073385715,85.66666666666667,69.33333333333333,0.2222222222222222
srr_v2_capacity12_proposal,4,myops_edema,C0+LGE,4,0.5,0.0,0.0,3.25,3.25,0.5
srr_v2_capacity12_proposal,4,myops_edema,LGE-only,24,0.7916666666666666,0.0,0.0,0.4166666666666667,0.4166666666666667,0.7916666666666666
srr_v2_capacity12_proposal,4,myops_edema,no_T2_empty_GT,28,0.75,0.0,0.0,0.8214285714285714,0.8214285714285714,0.75
srr_v2_capacity12_proposal,5,myops_scar,all_cases,44,0.2547286752871202,135.1994423324343,68.9793026967753,23.65909090909091,12.886363636363637,0.0
srr_v2_capacity12_proposal,5,myops_scar,gt_positive_only,43,0.260652597968216,135.1994423324343,68.9793026967753,24.093023255813954,13.069767441860465,0.0
srr_v2_capacity12_proposal,5,myops_scar,t2_present,16,0.23706957743408835,136.0314102695859,73.4615187951537,32.125,25.4375,0.0
srr_v2_capacity12_proposal,5,myops_scar,complete_modality,16,0.23706957743408835,136.0314102695859,73.4615187951537,32.125,25.4375,0.0
srr_v2_capacity12_proposal,5,myops_scar,CenterB,7,0.33891855945982685,124.00297074695325,46.687395059491685,12.0,6.0,0.0
srr_v2_capacity12_proposal,5,myops_scar,CenterC,9,0.15785370252518063,145.38686323163353,94.28583725622416,47.77777777777778,40.55555555555556,0.0
srr_v2_capacity12_proposal,5,myops_scar,C0+LGE,4,0.15914386367398625,84.97979914375233,67.50690637997384,10.75,2.75,0.0
srr_v2_capacity12_proposal,5,myops_scar,LGE-only,24,0.2824322091246637,140.92225243958518,66.1752081707899,20.166666666666668,6.208333333333333,0.0
srr_v2_capacity12_proposal,5,myops_scar,no_T2_empty_GT,1,0.0,,,5.0,5.0,0.0
srr_v2_capacity12_hardneg,4,myops_edema,all_cases,44,0.09158262974311714,147.40680146442836,102.47067016692463,25.068181818181817,21.818181818181817,0.022727272727272728
srr_v2_capacity12_hardneg,4,myops_edema,gt_positive_only,16,0.1893522317935721,156.6197265559551,108.87508705235743,54.125,45.1875,0.0
srr_v2_capacity12_hardneg,4,myops_edema,t2_present,16,0.1893522317935721,156.6197265559551,108.87508705235743,54.125,45.1875,0.0
srr_v2_capacity12_hardneg,4,myops_edema,complete_modality,16,0.1893522317935721,156.6197265559551,108.87508705235743,54.125,45.1875,0.0
srr_v2_capacity12_hardneg,4,myops_edema,CenterB,7,0.39184272161476497,138.1923999898957,58.497401322264245,15.714285714285714,7.857142857142857,0.0
srr_v2_capacity12_hardneg,4,myops_edema,CenterC,9,0.03185962859931103,170.9520916628902,148.05773150909656,84.0,74.22222222222223,0.0
srr_v2_capacity12_hardneg,4,myops_edema,C0+LGE,4,0.0,,,11.75,11.75,0.0
srr_v2_capacity12_hardneg,4,myops_edema,LGE-only,24,0.041666666666666664,0.0,0.0,7.916666666666667,7.916666666666667,0.041666666666666664
srr_v2_capacity12_hardneg,4,myops_edema,no_T2_empty_GT,28,0.03571428571428571,0.0,0.0,8.464285714285714,8.464285714285714,0.03571428571428571
srr_v2_capacity12_hardneg,5,myops_scar,all_cases,44,0.308968638594002,112.48356895979988,70.34681927355437,20.75,9.636363636363637,0.022727272727272728
srr_v2_capacity12_hardneg,5,myops_scar,gt_positive_only,43,0.2928981418171183,115.09946591235337,71.98279181479982,21.232558139534884,9.86046511627907,0.0
srr_v2_capacity12_hardneg,5,myops_scar,t2_present,16,0.2677225948712384,119.61668802691995,85.10594822046886,20.625,16.1875,0.0
srr_v2_capacity12_hardneg,5,myops_scar,complete_modality,16,0.2677225948712384,119.61668802691995,85.10594822046886,20.625,16.1875,0.0
srr_v2_capacity12_hardneg,5,myops_scar,CenterB,7,0.37954215006447667,73.4851163589207,39.2798984676823,5.571428571428571,2.7142857142857144,0.0
srr_v2_capacity12_hardneg,5,myops_scar,CenterC,9,0.18075182972094192,155.4967993242527,120.74843136152506,32.333333333333336,26.666666666666668,0.0
srr_v2_capacity12_hardneg,5,myops_scar,C0+LGE,4,0.43209396297338565,44.74739591094927,26.05368397806002,6.25,0.75,0.25
srr_v2_capacity12_hardneg,5,myops_scar,LGE-only,24,0.3159451136792804,119.01751842319494,67.88958919152711,23.25,6.75,0.0
srr_v2_capacity12_hardneg,5,myops_scar,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0
