variant,base_variant,step,loss,anatomy_loss,scar_loss,edema_loss,retrieval_loss,soft_containment_loss,component_compactness_loss,proposal_bce_loss,proposal_margin_loss,proposal_uncertainty_loss,edema_supervised_batch_fraction,batch_cases,elapsed_seconds
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1,4.273294925689697,1.2963991165161133,0.9484667778015137,0.8400170207023621,0.00010089126590173692,-0.0,-0.0,0.9009474515914917,0.2642287015914917,0.0810449942946434,1.0,Case2024,0.5279409382492304
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1,4.273294925689697,,,,,,,,,,,,0.7291155466809869
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,250,2.558300018310547,0.6410204172134399,0.5249722003936768,0.5525794625282288,0.00018262251978740096,-0.0,-0.0,0.4763862192630768,0.18752434849739075,1.1669551134109497,1.0,Case2012,8.862248143181205
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,500,2.083278179168701,0.5835408568382263,0.4073829650878906,0.4073016047477722,0.00024811390903778374,-0.0,-0.0,0.3965519070625305,0.10888160765171051,1.1320630311965942,1.0,Case2027,16.91518483310938
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,750,1.8652102947235107,0.6795438528060913,0.5146656036376953,-0.0,0.003776222001761198,-0.0,-0.0,0.262654185295105,0.1953129768371582,0.6739665269851685,0.0,Case1078,24.844368578866124
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1000,2.4892377853393555,0.5445179343223572,0.5240911841392517,0.511827290058136,0.0015539858723059297,-0.0,-0.0,0.5927661657333374,0.37626028060913086,0.9232848882675171,1.0,Case2024,32.96495015826076
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1250,1.7261919975280762,0.5002824068069458,0.5627670288085938,-0.0,0.0014881232054904103,-0.0,-0.0,0.2624947130680084,0.1272677630186081,0.5538917779922485,0.0,Case2013,41.03573870193213
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1500,2.195992946624756,1.2082197666168213,0.43694868683815,-0.0,0.00153499492444098,-0.0,-0.0,0.19384078681468964,0.09370109438896179,0.6895672082901001,0.0,Case3035,48.951783461496234
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,1750,1.5730171203613281,0.46539363265037537,0.5049737095832825,-0.0,0.0015088574727997184,-0.0,-0.0,0.25483712553977966,0.09391587972640991,0.5309896469116211,0.0,Case3043,56.89089572522789
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,2000,2.3671317100524902,1.5889990329742432,0.33577755093574524,-0.0,0.003856153227388859,-0.0,-0.0,0.1660250425338745,0.0562240406870842,0.6053056716918945,0.0,Case3030,64.84134503081441
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,2250,2.191195011138916,0.7238584756851196,0.3665313422679901,0.4741118550300598,0.0015440243296325207,-0.0,-0.0,0.44749560952186584,0.10401789844036102,0.8406641483306885,1.0,Case3017,72.8618253134191
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,2500,1.6115667819976807,0.49686527252197266,0.2790689170360565,0.3285759687423706,0.0015585788059979677,-0.0,-0.0,0.3044399619102478,0.07062962651252747,0.9343693256378174,1.0,Case2024,80.81734574120492
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,2500,1.6115667819976807,,,,,,,,,,,,81.00147844292223
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,2750,1.7889370918273926,0.3079942762851715,0.3641500473022461,0.4514744281768799,0.0003065389464609325,-0.0,-0.0,0.5269804000854492,0.12165281176567078,0.866899311542511,1.0,Case3025,89.1317595038563
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,3000,1.621822714805603,0.2903394401073456,0.313053160905838,0.4689723551273346,0.000332063646055758,-0.0,-0.0,0.3676905930042267,0.10897141695022583,0.8083139657974243,1.0,Case3022,97.01043756213039
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,3250,1.4449090957641602,0.2789125442504883,0.34882134199142456,0.21951788663864136,0.0003235667827539146,-0.0,-0.0,0.33564651012420654,0.07465202361345291,1.0953407287597656,1.0,Case2009,105.09948805347085
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,3500,1.93426513671875,0.4545437693595886,0.43885111808776855,0.3823768198490143,0.00031851843232288957,-0.0,-0.0,0.4183652997016907,0.1340866982936859,0.7204511165618896,1.0,Case3025,113.13262891024351
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,3750,1.5354728698730469,0.38019341230392456,0.19448919594287872,0.526768684387207,0.00030934158712625504,-0.0,-0.0,0.34813374280929565,0.09096893668174744,0.7329437136650085,1.0,Case3001,121.18805207312107
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,4000,1.7556581497192383,0.42855173349380493,0.3147367238998413,0.4389062225818634,0.0003142904315609485,-0.0,-0.0,0.39848119020462036,0.10373535752296448,0.8839815855026245,1.0,Case3020,129.2142735728994
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,4250,1.3155969381332397,0.42165833711624146,0.17416912317276,0.30408504605293274,0.00149862642865628,-0.0,-0.0,0.2940872311592102,0.05357964336872101,0.9196736812591553,1.0,Case2021,137.25097517389804
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,4500,1.9546544551849365,0.564508855342865,0.5198759436607361,-0.0,0.0014679394662380219,-0.0,-0.0,0.26648634672164917,0.5159808993339539,1.2139333486557007,0.0,Case2022,145.23152147140354
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,4750,1.2884089946746826,0.3165681064128876,0.21727782487869263,0.3162609338760376,0.0002993812377098948,-0.0,-0.0,0.2831052541732788,0.05501272529363632,0.891062319278717,1.0,Case3009,153.24523494485766
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,5000,1.1949185132980347,0.23156088590621948,0.20399440824985504,0.31623703241348267,0.0002712343994062394,-0.0,-0.0,0.31468212604522705,0.05853754281997681,0.8959328532218933,1.0,Case2026,161.35556218586862
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,5000,1.1949185132980347,,,,,,,,,,,,161.54132923390716
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,5250,1.203126072883606,0.18256904184818268,0.21332089602947235,0.3425524830818176,0.00027272969600744545,-0.0,-0.0,0.3119856119155884,0.07730326056480408,0.9544084072113037,1.0,Case3042,169.64060358330607
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,5500,1.1289067268371582,0.3282863199710846,0.15811637043952942,0.254632830619812,0.0014915801584720612,-0.0,-0.0,0.2544967532157898,0.03979131579399109,0.9499015212059021,1.0,Case2001,177.7311121141538
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,5750,1.920353889465332,0.7540696263313293,0.5478628277778625,-0.0,0.0014923432609066367,-0.0,-0.0,0.24512654542922974,0.0872555673122406,0.4738261103630066,0.0,Case3005,185.755161723122
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,6000,0.9732643961906433,0.17110182344913483,0.172529399394989,0.25338202714920044,0.0002658214943949133,-0.0,-0.0,0.21237307786941528,0.04698222875595093,0.9079329371452332,1.0,Case2022,193.65451207384467
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,6250,2.167952060699463,0.3504845201969147,0.5217118859291077,0.474653959274292,0.00023817816691007465,-0.0,-0.0,0.5969792008399963,0.14031226933002472,0.8893740177154541,1.0,Case3008,201.61768484301865
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,6500,1.749351978302002,0.2982274889945984,0.3603019416332245,0.4679115414619446,0.0002281320485053584,-0.0,-0.0,0.44649791717529297,0.12925975024700165,0.8026814460754395,1.0,Case3033,209.64093170687556
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,6750,1.401282548904419,0.35203659534454346,0.4801595211029053,-0.0,0.0038685740437358618,-0.0,-0.0,0.2362854927778244,0.10388186573982239,0.4508976340293884,0.0,Case8009,217.69982516020536
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,7000,1.2525676488876343,0.3887673318386078,0.38578087091445923,-0.0,0.0014604704920202494,-0.0,-0.0,0.1888427734375,0.07418286800384521,0.5234917402267456,0.0,Case6002,225.77723051793873
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,7250,1.1414915323257446,0.20012637972831726,0.4252833127975464,-0.0,0.003860656637698412,-0.0,-0.0,0.22000044584274292,0.07752295583486557,0.47640907764434814,0.0,Case1037,233.85867111943662
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,7500,0.9815055131912231,0.17190814018249512,0.15417300164699554,0.27861782908439636,0.0014724998036399484,-0.0,-0.0,0.2554377317428589,0.04024816304445267,0.8974692821502686,1.0,Case2026,241.845699923113
srr_v2_capacity12_scar_precision_nointeract,srr_v2_proposal_uncertainty_hardneg,7500,0.9815055131912231,,,,,,,,,,,,242.02547532878816
