variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
srr_v2_multiscale_private_basic,4,myops_edema,all_cases,44,0.32474579320429175,63.762085986752325,49.35072006710968,9.022727272727273,7.613636363636363,0.3409090909090909
srr_v2_multiscale_private_basic,4,myops_edema,gt_positive_only,16,0.14305093131180235,122.61939612836986,94.90523089828784,21.1875,17.3125,0.1875
srr_v2_multiscale_private_basic,4,myops_edema,t2_present,16,0.14305093131180235,122.61939612836986,94.90523089828784,21.1875,17.3125,0.1875
srr_v2_multiscale_private_basic,4,myops_edema,complete_modality,16,0.14305093131180235,122.61939612836986,94.90523089828784,21.1875,17.3125,0.1875
srr_v2_multiscale_private_basic,4,myops_edema,CenterB,7,0.32334837982560316,74.56273775308082,37.768653280665156,9.857142857142858,2.5714285714285716,0.0
srr_v2_multiscale_private_basic,4,myops_edema,CenterC,9,0.0028195824677350345,178.68549756620706,161.56457145218099,30.0,28.77777777777778,0.3333333333333333
srr_v2_multiscale_private_basic,4,myops_edema,C0+LGE,4,0.5,0.0,0.0,0.75,0.75,0.5
srr_v2_multiscale_private_basic,4,myops_edema,LGE-only,24,0.4166666666666667,0.0,0.0,2.2916666666666665,2.2916666666666665,0.4166666666666667
srr_v2_multiscale_private_basic,4,myops_edema,no_T2_empty_GT,28,0.42857142857142855,0.0,0.0,2.0714285714285716,2.0714285714285716,0.42857142857142855
srr_v2_multiscale_private_basic,5,myops_scar,all_cases,44,0.1997778444841966,134.59368805210977,82.74902482345838,19.34090909090909,11.818181818181818,0.06818181818181818
srr_v2_multiscale_private_basic,5,myops_scar,gt_positive_only,43,0.20442384086755,134.59368805210977,82.74902482345838,19.697674418604652,12.0,0.06976744186046512
srr_v2_multiscale_private_basic,5,myops_scar,t2_present,16,0.20680722281059627,119.73239390526574,95.0011652909253,23.1875,19.0,0.0625
srr_v2_multiscale_private_basic,5,myops_scar,complete_modality,16,0.20680722281059627,119.73239390526574,95.0011652909253,23.1875,19.0,0.0625
srr_v2_multiscale_private_basic,5,myops_scar,CenterB,7,0.3567147420183167,75.0883042963109,43.728634142349826,7.428571428571429,3.2857142857142856,0.0
srr_v2_multiscale_private_basic,5,myops_scar,CenterC,9,0.09021248564903593,158.79597231310123,139.86463004592883,35.44444444444444,31.22222222222222,0.1111111111111111
srr_v2_multiscale_private_basic,5,myops_scar,C0+LGE,4,0.08283833283833283,103.5868394263926,41.85998614904072,3.25,1.5,0.25
srr_v2_multiscale_private_basic,5,myops_scar,LGE-only,24,0.21458151087424077,146.9820841153313,78.31406701201628,19.458333333333332,8.75,0.041666666666666664
srr_v2_multiscale_private_basic,5,myops_scar,no_T2_empty_GT,1,0.0,,,4.0,4.0,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,all_cases,44,0.2719840546050328,96.55143916360768,68.07190997061072,12.477272727272727,9.363636363636363,0.20454545454545456
srr_v2_multiscale_private_proposal,4,myops_edema,gt_positive_only,16,0.1854561501638402,150.861623693137,106.36235932907924,31.4375,22.875,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,t2_present,16,0.1854561501638402,150.861623693137,106.36235932907924,31.4375,22.875,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,complete_modality,16,0.1854561501638402,150.861623693137,106.36235932907924,31.4375,22.875,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,CenterB,7,0.36020897789234446,122.35169995884475,53.95564768097009,14.714285714285714,5.857142857142857,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,CenterC,9,0.04953728415278133,173.03600881980876,147.12313505538637,44.44444444444444,36.111111111111114,0.0
srr_v2_multiscale_private_proposal,4,myops_edema,C0+LGE,4,0.25,0.0,0.0,3.5,3.5,0.25
srr_v2_multiscale_private_proposal,4,myops_edema,LGE-only,24,0.3333333333333333,0.0,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333
srr_v2_multiscale_private_proposal,4,myops_edema,no_T2_empty_GT,28,0.32142857142857145,0.0,0.0,1.6428571428571428,1.6428571428571428,0.32142857142857145
srr_v2_multiscale_private_proposal,5,myops_scar,all_cases,44,0.2191583209563022,132.89432590557112,86.90174746817598,24.545454545454547,16.613636363636363,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,gt_positive_only,43,0.22425502609482084,132.89432590557112,86.90174746817598,24.976744186046513,16.86046511627907,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,t2_present,16,0.24942385377690088,122.88682017719354,73.73280640726153,29.125,23.0625,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,complete_modality,16,0.24942385377690088,122.88682017719354,73.73280640726153,29.125,23.0625,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,CenterB,7,0.33879204803981366,80.61987610264705,28.292916098335017,5.571428571428571,1.8571428571428572,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,CenterC,9,0.17991525823907983,155.76111001295192,109.07494331420439,47.44444444444444,39.55555555555556,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,C0+LGE,4,0.15824699008258544,66.04538445631972,25.850394470459406,8.5,2.0,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,LGE-only,24,0.20913318755485585,147.9221140723126,103.3124606335002,24.166666666666668,14.75,0.0
srr_v2_multiscale_private_proposal,5,myops_scar,no_T2_empty_GT,1,0.0,,,6.0,6.0,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,all_cases,44,0.692776426668762,63.361863094121894,48.85656152802183,11.545454545454545,8.113636363636363,0.6363636363636364
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,gt_positive_only,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,t2_present,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,complete_modality,16,0.15513517333909566,174.2451235088352,134.35554420206003,31.75,22.3125,0.0
srr_v2_proposal_uncertainty_hardneg,4,myops_edema,CenterB,7,0.3283819970945488,159.1659420041732,106.53801928220169,20.428571428571427,9.714285714285714,0.0
