class_id,formal_variant,grad_norm,loaded_case_count,loaded_component_count,memory_source,note,parameter,parameter_norm,replay_safe_components,safety_type,script_alias,source_path,status,step,update_norm,variant
4,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,450,edema_no_t2_true_background_safe,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
4,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,131,edema_t2_far_from_gt_anatomy_negative,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
4,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,980,edema_t2_remote_fp_safe,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
5,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,56,scar_anatomy_adjacent_negative,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
5,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,146,scar_blood_pool_negative,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
5,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,46,scar_myocardium_or_edema_negative,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
5,anchored_srr_v25_full,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,3919,scar_remote_fp_safe,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/hardneg_memory.csv,,,,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,scar_dictionary.embedding.weight,3.1851322650909424,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,scar_dictionary.conv_score.weight,0.5554970502853394,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,scar_dictionary.conv_score.bias,0.07406113296747208,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,edema_dictionary.embedding.weight,3.3009371757507324,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,edema_dictionary.conv_score.weight,0.5624434351921082,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,,,,,,edema_dictionary.conv_score.bias,0.000525002193171531,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,1,0.0,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.021909823641180992,,,,,scar_dictionary.embedding.weight,4.139610290527344,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,0.004989080596715212,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.042405541986227036,,,,,scar_dictionary.conv_score.weight,1.8992639780044556,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,0.0005035035428591073,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.004847646690905094,,,,,scar_dictionary.conv_score.bias,0.15127572417259216,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,7.040798664093018e-05,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.014359635300934315,,,,,edema_dictionary.embedding.weight,4.107171058654785,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,0.004731253255158663,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.024118714034557343,,,,,edema_dictionary.conv_score.weight,1.9480105638504028,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,0.00048230303218588233,srr_propref_shared_dual_dict
,anchored_srr_v25_full,0.003000508528202772,,,,,edema_dictionary.conv_score.bias,0.2871105372905731,,,srr_propref_shared_dual_dict,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_shared_dual_dict/prototype_update_sanity_formal.csv,tracked,12000,9.208917617797852e-05,srr_propref_shared_dual_dict
4,anchored_scar_precision_edema_safe,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,450,edema_no_t2_true_background_safe,srr_propref_scar_precision,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_scar_precision/hardneg_memory.csv,,,,srr_propref_scar_precision
4,anchored_scar_precision_edema_safe,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,131,edema_t2_far_from_gt_anatomy_negative,srr_propref_scar_precision,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_scar_precision/hardneg_memory.csv,,,,srr_propref_scar_precision
4,anchored_scar_precision_edema_safe,,44,5728,/users/a/e/aereinh/CARE/results/20260629_proposal_memory_hardneg/mined_components.csv,no-T2 myocardium/scar unsafe edema entries remain excluded by replay_safe filter,,,980,edema_t2_remote_fp_safe,srr_propref_scar_precision,/users/a/e/aereinh/CARE/results/20260704_myops_anchor_srr_fold0_formal/variants/srr_propref_scar_precision/hardneg_memory.csv,,,,srr_propref_scar_precision
