srr_variant,metric_name,metric,n,delta_mean,help_count,harm_count,neutral_count,not_evaluable_count,matrix_variant
closed_gate_identity_fallback__checkpoint_final__argmax,myops_edema,component_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_edema,dice,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_scar,dice,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_scar,hd95,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_edema,component_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_edema,dice,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_scar,dice,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.0,0,0,4,0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,closed_gate_identity_fallback
nnunet_context_identity__checkpoint_final__argmax,myops_edema,component_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_edema,dice,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_scar,dice,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_scar,hd95,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_edema,component_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_edema,dice,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_scar,dice,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.0,0,0,4,0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,nnunet_context_identity
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_edema,component_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_edema,dice,4,-6.924041333909725e-05,0,2,2,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_scar,dice,4,-0.000483163048475177,0,2,2,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_scar,hd95,4,0.024529108851655046,0,1,3,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_edema,component_count,4,-1.25,3,0,1,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_edema,dice,4,0.007201727185970702,2,1,1,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_edema,hd95,4,-0.014132936388180806,2,1,1,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_scar,dice,4,-9.414311120947705e-07,2,1,1,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_scar,hd95,4,-0.026643717368546316,1,1,2,0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_no_proto_cascade
srr_propref_scar_precision__checkpoint_final__argmax,myops_edema,component_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_edema,dice,4,-4.574799388586126e-05,0,2,2,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_scar,dice,4,-0.00024148433225318344,0,2,2,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_scar,hd95,4,0.020960933224228206,0,1,3,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_edema,component_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_edema,dice,4,-4.574799388586126e-05,0,2,2,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_scar,dice,4,-0.00024148433225318344,0,2,2,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_scar,hd95,4,0.020960933224228206,0,1,3,0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__pathology_aware,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_scar_precision
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_edema,component_count,4,-0.25,1,0,3,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_edema,dice,4,-1.549996000806131e-05,1,2,1,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_edema,hd95,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_edema,remote_fp_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_scar,component_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_scar,dice,4,-0.00018052739892043812,1,2,1,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_scar,hd95,4,0.020657492227959207,1,1,2,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__argmax,myops_scar,remote_fp_count,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_edema,component_count,4,-0.25,1,0,3,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_edema,dice,4,-1.549996000806131e-05,1,2,1,0,srr_propref_shared_dual_dict
srr_propref_shared_dual_dict__checkpoint_final__pathology_aware,myops_edema,hd95,4,0.0,0,0,4,0,srr_propref_shared_dual_dict
