variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate,matrix_variant
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,all_cases,4,0.5643281032358436,18.38056288672317,15.235345098888681,4.0,0.0,0.25,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,gt_positive_only,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,t2_present,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,complete_modality,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,CenterB,1,0.5376005596362364,21.6923175485009,17.453201935819685,5.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,CenterC,2,0.3598559266535691,25.914966999195883,21.74408922986752,5.5,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,all_cases,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,gt_positive_only,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,t2_present,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,complete_modality,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,CenterB,1,0.5602700096432015,39.123780057857715,21.415372143918024,5.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,CenterC,2,0.6318288089013251,21.723211042305167,17.48013957175646,2.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__argmax,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,all_cases,4,0.5643281032358436,18.38056288672317,15.235345098888681,4.0,0.0,0.25,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,gt_positive_only,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,t2_present,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,complete_modality,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,CenterB,1,0.5376005596362364,21.6923175485009,17.453201935819685,5.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,CenterC,2,0.3598559266535691,25.914966999195883,21.74408922986752,5.5,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,all_cases,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,gt_positive_only,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,t2_present,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,complete_modality,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,CenterB,1,0.5602700096432015,39.123780057857715,21.415372143918024,5.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,CenterC,2,0.6318288089013251,21.723211042305167,17.48013957175646,2.0,0.0,0.0,closed_gate_identity_fallback
closed_gate_identity_fallback__checkpoint_final__pathology_aware,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,closed_gate_identity_fallback
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,all_cases,4,0.5643281032358436,18.38056288672317,15.235345098888681,4.0,0.0,0.25,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,gt_positive_only,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,t2_present,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,complete_modality,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,CenterB,1,0.5376005596362364,21.6923175485009,17.453201935819685,5.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,CenterC,2,0.3598559266535691,25.914966999195883,21.74408922986752,5.5,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,all_cases,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,gt_positive_only,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,t2_present,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,complete_modality,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,CenterB,1,0.5602700096432015,39.123780057857715,21.415372143918024,5.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,CenterC,2,0.6318288089013251,21.723211042305167,17.48013957175646,2.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__argmax,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,all_cases,4,0.5643281032358436,18.38056288672317,15.235345098888681,4.0,0.0,0.25,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,gt_positive_only,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,t2_present,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,complete_modality,3,0.41910413764779153,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,CenterB,1,0.5376005596362364,21.6923175485009,17.453201935819685,5.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,CenterC,2,0.3598559266535691,25.914966999195883,21.74408922986752,5.5,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,all_cases,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,gt_positive_only,4,0.6101669288878946,23.344669183291437,15.174779339523523,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,t2_present,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,complete_modality,3,0.6079758758152839,27.52340071415602,18.79188376247698,3.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,CenterB,1,0.5602700096432015,39.123780057857715,21.415372143918024,5.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,CenterC,2,0.6318288089013251,21.723211042305167,17.48013957175646,2.0,0.0,0.0,nnunet_context_identity
nnunet_context_identity__checkpoint_final__pathology_aware,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,nnunet_context_identity
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,all_cases,4,0.5642588628225046,18.38056288672317,15.235345098888681,4.0,0.0,0.25,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,gt_positive_only,3,0.41901181709667273,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,t2_present,3,0.41901181709667273,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,complete_modality,3,0.41901181709667273,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,CenterB,1,0.5374125874125875,21.6923175485009,17.453201935819685,5.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,CenterC,2,0.35981143193871534,25.914966999195883,21.74408922986752,5.5,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,all_cases,4,0.6096837658394194,23.344669183291437,15.199308448375177,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,gt_positive_only,4,0.6096837658394194,23.344669183291437,15.199308448375177,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,t2_present,3,0.607331658417317,27.52340071415602,18.824589240945855,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,complete_modality,3,0.607331658417317,27.52340071415602,18.824589240945855,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,CenterB,1,0.5588803088803089,39.123780057857715,21.513488579324644,5.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,CenterC,2,0.6315573331858211,21.723211042305167,17.48013957175646,2.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__argmax,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,all_cases,4,0.5715298304218144,18.092923396542556,15.2212121625005,2.75,0.0,0.25,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,gt_positive_only,3,0.42870644056241913,24.123897862056744,20.294949550000666,3.6666666666666665,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,t2_present,3,0.42870644056241913,24.123897862056744,20.294949550000666,3.6666666666666665,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,complete_modality,3,0.42870644056241913,24.123897862056744,20.294949550000666,3.6666666666666665,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,CenterB,1,0.5311374163664436,21.894661922558317,18.571790468179817,4.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,CenterC,2,0.3774909526604069,25.238515831805955,21.156529090911093,3.5,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,all_cases,4,0.6101659874567825,23.33092498204697,15.148135622154976,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,gt_positive_only,4,0.6101659874567825,23.33092498204697,15.148135622154976,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,t2_present,3,0.6079746205738011,27.505075112496726,18.756358805985588,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,complete_modality,3,0.6079746205738011,27.505075112496726,18.756358805985588,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,CenterB,1,0.5593795443528842,39.123780057857715,21.203877516248358,5.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,CenterC,2,0.6322721586842596,21.695722639816232,17.5325994508542,2.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_no_proto_cascade__checkpoint_final__pathology_aware,5,myops_scar,LGE-only,1,0.6167400881057269,10.808474590697703,4.323466070663145,3.0,0.0,0.0,srr_propref_no_proto_cascade
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,all_cases,4,0.5642823552419578,18.38056288672317,15.235345098888681,4.0,0.0,0.25,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,gt_positive_only,3,0.41904314032261036,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,t2_present,3,0.41904314032261036,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,complete_modality,3,0.41904314032261036,24.507417182297555,20.313793465184908,5.333333333333333,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,CenterB,1,0.5375065570904004,21.6923175485009,17.453201935819685,5.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,CenterC,2,0.35981143193871534,25.914966999195883,21.74408922986752,5.5,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,LGE-only,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,4,myops_edema,no_T2_empty_GT,1,1.0,0.0,0.0,0.0,0.0,1.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,all_cases,4,0.6099254445556415,23.344669183291437,15.19574027274775,3.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,gt_positive_only,4,0.6099254445556415,23.344669183291437,15.19574027274775,3.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,t2_present,3,0.607653896705613,27.52340071415602,18.81983167344262,3.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,complete_modality,3,0.607653896705613,27.52340071415602,18.81983167344262,3.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,CenterB,1,0.5595754944524843,39.123780057857715,21.499215876814937,5.0,0.0,0.0,srr_propref_scar_precision
srr_propref_scar_precision__checkpoint_final__argmax,5,myops_scar,CenterC,2,0.6316930978321773,21.723211042305167,17.48013957175646,2.0,0.0,0.0,srr_propref_scar_precision
