scope,variant,source_path,status,source,case_count,scar_positive,scar_negative,edema_positive,edema_negative,t2_present_edema_positive,t2_present_normal_myocardium_far_from_edema,edema_no_t2_myocardium_negative_voxels,selected_case_ids,interpretation
bounded_matrix_source,srr_propref_no_proto_cascade,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_no_proto_cascade/prototype_bank_summary.json,SKIPPED,not_loaded,0,,,,,,,,,edema prototype bank empty or skipped
bounded_matrix_source,srr_propref_scar_precision,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_scar_precision/prototype_bank_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,edema prototype bank empty or skipped
bounded_matrix_source,srr_propref_shared_dual_dict,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_shared_dual_dict/prototype_bank_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,edema prototype bank empty or skipped
bounded_matrix_source,srr_v25_no_anatomy_roi,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_anatomy_roi/prototype_bank_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,edema prototype bank empty or skipped
bounded_matrix_source,srr_v25_no_anchor,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_anchor/prototype_bank_summary.json,LOADED,train_runtime_features_fold0_no_nnunet_anchor,12,12,36,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,edema prototype bank empty or skipped
bounded_matrix_source,srr_v25_no_local_refine,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_local_refine/prototype_bank_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,edema prototype bank empty or skipped
full_fold0_eval_source_summary,srr_propref_no_proto_cascade,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_propref_no_proto_cascade/bounded_source_summary.json,SKIPPED,not_loaded,0,,,,,,,,,full eval did not test edema prototype bank
full_fold0_eval_source_summary,srr_propref_scar_precision,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_propref_scar_precision/bounded_source_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,full eval did not test edema prototype bank
full_fold0_eval_source_summary,srr_propref_shared_dual_dict,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_propref_shared_dual_dict/bounded_source_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,full eval did not test edema prototype bank
full_fold0_eval_source_summary,srr_v25_no_anatomy_roi,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_v25_no_anatomy_roi/bounded_source_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,full eval did not test edema prototype bank
full_fold0_eval_source_summary,srr_v25_no_anchor,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_v25_no_anchor/bounded_source_summary.json,LOADED,train_runtime_features_fold0_no_nnunet_anchor,12,12,36,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,full eval did not test edema prototype bank
full_fold0_eval_source_summary,srr_v25_no_local_refine,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_v25_no_local_refine/bounded_source_summary.json,LOADED,train_oof_runtime_features_fold0,12,12,59,0,0,0,0,0,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016,full eval did not test edema prototype bank
