ablation_id,metric_name,group,case_count,dice_delta_mean,hd95_delta_mean,component_count_delta_mean,remote_fp_delta_mean
closed_gate_identity,myops_edema,all_cases,12,0.0,0.0,0.0,0.0
closed_gate_identity,myops_edema,t2_present,7,0.0,0.0,0.0,0.0
closed_gate_identity,myops_edema,no_t2,5,0.0,0.0,0.0,0.0
closed_gate_identity,myops_edema,CenterC,4,0.0,0.0,0.0,0.0
closed_gate_identity,myops_edema,remote_fp_baseline_positive,1,0.0,0.0,0.0,0.0
closed_gate_identity,myops_scar,all_cases,12,0.0,0.0,0.0,0.0
closed_gate_identity,myops_scar,t2_present,7,0.0,0.0,0.0,0.0
closed_gate_identity,myops_scar,no_t2,5,0.0,0.0,0.0,0.0
closed_gate_identity,myops_scar,CenterC,4,0.0,0.0,0.0,0.0
closed_gate_identity,myops_scar,remote_fp_baseline_positive,5,0.0,0.0,0.0,0.0
deterministic_prototypes,myops_edema,all_cases,12,-0.13121486477123753,81.85425943361962,117.41666666666667,109.16666666666667
deterministic_prototypes,myops_edema,t2_present,7,-0.22493976817926434,140.32158760049077,201.28571428571428,187.14285714285714
deterministic_prototypes,myops_edema,no_t2,5,0.0,0.0,0.0,0.0
deterministic_prototypes,myops_edema,CenterC,4,-0.22681757208439016,151.4874397382626,272.75,256.25
deterministic_prototypes,myops_edema,remote_fp_baseline_positive,1,-0.15166593884066631,142.46118675515464,219.0,213.0
deterministic_prototypes,myops_scar,all_cases,12,-0.10590779991447669,73.19593344081065,30.0,23.666666666666668
deterministic_prototypes,myops_scar,t2_present,7,-0.17099771034536104,99.07439036954491,26.571428571428573,24.0
deterministic_prototypes,myops_scar,no_t2,5,-0.014781925311238574,27.908633815525707,34.8,23.2
deterministic_prototypes,myops_scar,CenterC,4,-0.1918068163826563,103.73308492710937,36.25,34.25
deterministic_prototypes,myops_scar,remote_fp_baseline_positive,5,-0.08387589029034083,65.21441102378311,40.2,31.6
m3_trained,myops_edema,all_cases,12,-0.13233380635489272,81.95546881856701,116.41666666666667,108.75
m3_trained,myops_edema,t2_present,7,-0.22685795375124468,140.49508940325774,199.57142857142858,186.42857142857142
m3_trained,myops_edema,no_t2,5,0.0,0.0,0.0,0.0
m3_trained,myops_edema,CenterC,4,-0.22827887678072578,151.55333351229217,271.0,256.5
m3_trained,myops_edema,remote_fp_baseline_positive,1,-0.15199921241364875,142.47345436793196,224.0,219.0
m3_trained,myops_scar,all_cases,12,-0.11771064216985518,77.28026579058738,31.416666666666668,25.166666666666668
m3_trained,myops_scar,t2_present,7,-0.18824429531109563,101.75944006785852,31.142857142857142,28.571428571428573
m3_trained,myops_scar,no_t2,5,-0.018963527772118547,34.441710805362895,31.8,20.4
m3_trained,myops_scar,CenterC,4,-0.2170038446884774,104.70836540307714,43.5,41.5
m3_trained,myops_scar,remote_fp_baseline_positive,5,-0.09941634124837972,65.82260045814222,43.6,35.0
no_anatomy_roi_prior,myops_edema,all_cases,12,-0.13498174509929992,82.83991643013758,120.16666666666667,112.25
no_anatomy_roi_prior,myops_edema,t2_present,7,-0.23139727731308557,142.0112853088073,206.0,192.42857142857142
no_anatomy_roi_prior,myops_edema,no_t2,5,0.0,0.0,0.0,0.0
