subgroup,metric_name,case_count,anchor_dice_mean,candidate_dice_mean,dice_delta,anchor_hd95_mean,candidate_hd95_mean,hd95_delta,remote_fp_delta,component_delta,interpretation
CenterB,myops_scar,7,0.613181599158,0.60731958021,-0.00586201894874,12.4401374288,11.8732307899,-0.566906638925,0,-0.142857142857,HARM_OR_UNRESOLVED
CenterB,myops_edema,7,0.502974477331,0.48782853738,-0.0151459399515,15.9335143437,15.8706637727,-0.062850571048,0,3.28571428571,HARM_OR_UNRESOLVED
CenterC,myops_scar,5,0.711961493753,0.704439657573,-0.00752183618054,8.98352043447,9.52685694752,0.543336513047,-0.2,-0.2,HARM_OR_UNRESOLVED
CenterC,myops_edema,5,0.310501133962,0.296705429768,-0.0137957041933,24.9101607174,24.593487413,-0.316673304399,0,8.4,HARM_OR_UNRESOLVED
T2_present,myops_scar,12,0.654339888573,0.647786279111,-0.00655360946199,10.9998803478,10.8955750222,-0.104305325603,-0.0833333333333,-0.166666666667,HARM_OR_UNRESOLVED
T2_present,myops_edema,12,0.422777250927,0.408193909208,-0.014583341719,19.6737836661,19.5051736228,-0.168610043278,0,5.41666666667,HARM_OR_UNRESOLVED
no_T2_safety,myops_scar,0,,,,,,,,,SUBGROUP_NOT_PRESENT_IN_M8_EVIDENCE
no_T2_safety,myops_edema,12,1,1,0,0,0,0,0,0,NO_CLEAR_HELP
scar_positive,myops_scar,24,0.587634218958,0.593013863381,0.00537964442292,12.827300706,12.638326077,-0.18897462905,-0.0416666666667,-0.375,LOCAL_HELP_SIGNAL
scar_positive,myops_edema,0,,,,,,,,,SUBGROUP_NOT_PRESENT_IN_M8_EVIDENCE
edema_positive,myops_scar,0,,,,,,,,,SUBGROUP_NOT_PRESENT_IN_M8_EVIDENCE
edema_positive,myops_edema,12,0.422777250927,0.408193909208,-0.014583341719,19.6737836661,19.5051736228,-0.168610043278,0,5.41666666667,HARM_OR_UNRESOLVED
remote_FP_cases,myops_scar,4,0.438008236754,0.461106004317,0.023097767563,29.1689254685,28.3020321363,-0.866893332175,-0.25,-1.25,LOCAL_HELP_SIGNAL
remote_FP_cases,myops_edema,1,0.162917933131,0.16022487702,-0.00269305611032,41.3248519442,40.8655598982,-0.459292046029,0,-8,NO_CLEAR_HELP
component_burden_cases,myops_scar,12,0.516222709471,0.531260490131,0.0150377806598,16.0790465703,15.6976157723,-0.381430798059,0,-0.5,LOCAL_HELP_SIGNAL
component_burden_cases,myops_edema,12,0.422777250927,0.408193909208,-0.014583341719,19.6737836661,19.5051736228,-0.168610043278,0,5.41666666667,HARM_OR_UNRESOLVED
