case_id,status,reference_frame,non_reference_frame,temporal_representer_slot_usage,frame_quality_source,motion_saliency_source,final_output_source,hosted_metric_caveat
Case1001,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,9,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1002,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,8,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1003,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,6,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1004,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,10,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1005,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,8,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1006,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,9,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1007,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,10,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1008,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,15,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1010,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,6,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1011,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,8,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1012,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,6,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
Case1013,TEMPORAL_DICTIONARY_FINAL_OUTPUT_EXECUTED,0,9,reference_frame;registered_nonreference_anatomy;quality_weighted_union,registered_CineMA_local_anatomy_overlap,reference_vs_nonreference_image_difference,deterministic_temporal_union_compact_label_proxy,no hosted metric claim
