candidate_id,semantic_task,slot_group,slot_kind,slot_modality,expert_count,active_expert_count_soft_gamma,mean_active_weight,status
m9_srr_main_lesion_proposal_memory,anatomy,c0_private,private,C0,2,1,0.025032309474580353,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_c0,interaction,,3,2,0.021262014552497224,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,interaction_lge_t2,interaction,,3,1,0.046111168774842545,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,interaction_t2_c0,interaction,,2,2,0.02506555252745055,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,lge_private,private,LGE,6,2,0.01751583438135264,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,shared,shared,,6,6,0.12274311760038147,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,anatomy,t2_private,private,T2,5,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,c0_private,private,C0,2,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,interaction_lge_c0,interaction,,3,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,interaction_lge_t2,interaction,,3,3,0.04213103596594912,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,interaction_t2_c0,interaction,,2,1,0.05169064812937055,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,lge_private,private,LGE,6,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,shared,shared,,6,6,0.08339433495543631,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,edema,t2_private,private,T2,5,5,0.057250399498508533,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,c0_private,private,C0,2,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,interaction_lge_c0,interaction,,3,2,0.02470425347672979,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,interaction_lge_t2,interaction,,3,1,0.09099974026020774,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,interaction_t2_c0,interaction,,2,0,0.0,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,lge_private,private,LGE,6,6,0.10985483298115542,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
m9_srr_main_lesion_proposal_memory,scar,shared,shared,,6,3,0.05936099816594445,RUNTIME_SUMMARY_FROM_RETRIEVAL_USAGE
