variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,all_cases,44,0.6838083734488994,72.41564824464366,53.44316497254692,47.84090909090909,41.02272727272727,0.6363636363636364
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,gt_positive_only,16,0.13047302698447355,199.14303267277006,146.968703674504,131.5625,112.8125,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,t2_present,16,0.13047302698447355,199.14303267277006,146.968703674504,131.5625,112.8125,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,complete_modality,16,0.13047302698447355,199.14303267277006,146.968703674504,131.5625,112.8125,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,CenterB,7,0.20415836917800775,187.44613990900697,135.78717327558218,60.0,48.285714285714285,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,CenterC,9,0.07316220527839139,208.24061593347466,155.66544954033213,187.22222222222223,163.0,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,LGE-only,24,1.0,0.0,0.0,0.0,0.0,1.0
m10_d0_static_matched_formal__checkpoint_best__argmax,4,myops_edema,no_T2_empty_GT,28,1.0,0.0,0.0,0.0,0.0,1.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,all_cases,44,0.3705466159052815,140.801704156137,82.06654130028143,51.25,40.09090909090909,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,gt_positive_only,43,0.3791639790658694,140.801704156137,82.06654130028143,52.04651162790697,40.627906976744185,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,t2_present,16,0.26880322047774907,218.60731326621007,159.8440593149961,110.0625,98.75,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,complete_modality,16,0.26880322047774907,218.60731326621007,159.8440593149961,110.0625,98.75,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,CenterB,7,0.3979226947667477,176.36419644465715,90.48133870942911,16.857142857142858,10.428571428571429,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,CenterC,9,0.16837696269741684,251.46307079408456,213.79284200821482,182.55555555555554,167.44444444444446,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,C0+LGE,4,0.4024557603584744,76.70522653741764,13.506081897332438,9.0,4.5,0.0
m10_d0_static_matched_formal__checkpoint_best__argmax,5,myops_scar,LGE-only,24,0.4330573554481042,96.94335778509483,38.78492004917362,19.083333333333332,6.916666666666667,0.0
