variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,all_cases,44,0.7018338989253056,79.66694216508483,60.52724140651808,47.38636363636363,39.47727272727273,0.6363636363636364
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,gt_positive_only,16,0.18004322204459028,219.0840909539833,166.44991386792472,130.3125,108.5625,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,t2_present,16,0.18004322204459028,219.0840909539833,166.44991386792472,130.3125,108.5625,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,complete_modality,16,0.18004322204459028,219.0840909539833,166.44991386792472,130.3125,108.5625,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,CenterB,7,0.30635601182591565,224.6269844684202,169.6399885133101,57.285714285714285,41.285714285714285,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,CenterC,9,0.08179994110355944,214.7729515538657,163.96874469929168,187.11111111111111,160.88888888888889,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,LGE-only,24,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,4,myops_edema,no_T2_empty_GT,28,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,all_cases,44,0.4150027677107441,119.37173534931719,58.74924624559678,16.272727272727273,7.0,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,gt_positive_only,43,0.424653994866808,119.37173534931719,58.74924624559678,16.3953488372093,6.906976744186046,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,t2_present,16,0.4455550803344157,168.6727827673307,103.1968341506791,17.3125,12.1875,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,complete_modality,16,0.4455550803344157,168.6727827673307,103.1968341506791,17.3125,12.1875,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,CenterB,7,0.4811390887109507,95.64418335690048,37.63430505033668,5.428571428571429,2.2857142857142856,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,CenterC,9,0.41787862937488846,225.47280453099862,154.1899123398343,26.555555555555557,19.88888888888889,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,C0+LGE,4,0.3346105056646199,33.79530717496809,10.747128561219501,12.0,3.0,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,LGE-only,24,0.4080332696359838,97.2014239257685,35.11778568608906,16.291666666666668,4.208333333333333,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__argmax,5,myops_scar,no_T2_empty_GT,1,0.0,,,11.0,11.0,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,all_cases,44,0.7034893200422861,79.6847526093857,60.55436648795018,47.86363636363637,39.90909090909091,0.6363636363636364
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,gt_positive_only,16,0.184595630116287,219.13306967581065,166.524507841863,131.625,109.75,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,t2_present,16,0.184595630116287,219.13306967581065,166.524507841863,131.625,109.75,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,complete_modality,16,0.184595630116287,219.13306967581065,166.524507841863,131.625,109.75,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,CenterB,7,0.30772813683694544,224.73893583259704,169.74617775584602,58.0,41.857142857142854,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,CenterC,9,0.08882590266688596,214.7729515538657,164.01876457543176,188.88888888888889,162.55555555555554,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,LGE-only,24,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,4,myops_edema,no_T2_empty_GT,28,1.0,0.0,0.0,0.0,0.0,1.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,all_cases,44,0.4284574211511209,129.04087186172384,59.07092998646449,17.181818181818183,7.545454545454546,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,gt_positive_only,43,0.43842154722440274,129.04087186172384,59.07092998646449,17.325581395348838,7.465116279069767,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,t2_present,16,0.4552626787489897,169.04734650510952,103.24364239152231,17.6875,12.375,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,complete_modality,16,0.4552626787489897,169.04734650510952,103.24364239152231,17.6875,12.375,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,CenterB,7,0.4857199973223788,96.42078773320026,37.835665230880764,5.857142857142857,2.2857142857142856,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,CenterC,9,0.4315736531919092,225.53466999437228,154.11651351646574,26.88888888888889,20.22222222222222,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,C0+LGE,4,0.35458050760407156,35.79542208154072,10.68395828691008,11.25,3.25,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,LGE-only,24,0.4229000683437166,114.0255699886563,35.670826512203575,17.833333333333332,5.041666666666667,0.0
m10_d2_hierarchical_psip_formal__checkpoint_best__pathology_aware,5,myops_scar,no_T2_empty_GT,1,0.0,,,11.0,11.0,0.0
