variant,class_id,metric_name,group,n,dice_mean,hd_mean,hd95_mean,component_count_mean,remote_fp_mean,empty_prediction_rate
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,all_cases,44,0.6718134122159456,85.6683410641002,60.38727062718199,78.18181818181819,69.70454545454545,0.6363636363636364
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,gt_positive_only,16,0.09748688359385033,235.58793792627557,166.06499422475048,215.0,191.6875,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,t2_present,16,0.09748688359385033,235.58793792627557,166.06499422475048,215.0,191.6875,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,complete_modality,16,0.09748688359385033,235.58793792627557,166.06499422475048,215.0,191.6875,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,CenterB,7,0.16728206422571287,229.11864044758607,146.31349140896126,109.28571428571429,87.85714285714286,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,CenterC,9,0.04320174310240167,240.61961374303408,181.42727419258654,297.22222222222223,272.44444444444446,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,C0+LGE,4,1.0,0.0,0.0,0.0,0.0,1.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,LGE-only,24,1.0,0.0,0.0,0.0,0.0,1.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,4,myops_edema,no_T2_empty_GT,28,1.0,0.0,0.0,0.0,0.0,1.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,all_cases,44,0.2620825217265111,152.61233020041396,91.81897675851228,24.681818181818183,13.454545454545455,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,gt_positive_only,43,0.26817746409224386,152.61233020041396,91.81897675851228,24.767441860465116,13.279069767441861,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,t2_present,16,0.20836381943970533,201.83566279932236,140.72944964257113,33.4375,24.375,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,complete_modality,16,0.20836381943970533,201.83566279932236,140.72944964257113,33.4375,24.375,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,CenterB,7,0.24808664878898284,156.11607713327544,86.77057627079832,15.285714285714286,9.571428571428571,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,CenterC,9,0.1774682855013784,237.39534053958107,182.6974622650611,47.55555555555556,35.888888888888886,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,C0+LGE,4,0.18744751668904952,167.58752156069582,28.704544419578735,15.0,7.75,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,LGE-only,24,0.3103341574239585,117.92487621443979,67.10129887817308,20.458333333333332,7.125,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__argmax,5,myops_scar,no_T2_empty_GT,1,0.0,,,21.0,21.0,0.0
m10_d3_full_memory_propref_formal__checkpoint_best__pathology_aware,4,myops_edema,all_cases,44,0.6742247420882255,85.6947213979977,60.388272713137226,81.8409090909091,72.5909090909091,0.6363636363636364
