phase,variant,checkpoint_name,decode_mode,metric_name,case_metric_rows,case_count,dice_mean,hd95_mean,hd95_worst,remote_fp_mean,status
d0_control,m10_d0_static_matched_formal,checkpoint_best,argmax,myops_scar,44,44,0.3705466159052815,82.06654130028143,232.23680108312698,40.09090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_best,argmax,myops_edema,44,44,0.6838083734488994,53.44316497254692,188.81233868111426,41.02272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_best,pathology_aware,myops_scar,44,44,0.3678400388601013,90.79070957302233,234.3052814043832,47.56818181818182,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_best,pathology_aware,myops_edema,44,44,0.6747401712426482,55.93172839784716,188.4715523117742,82.04545454545455,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_final,argmax,myops_scar,44,44,0.40433150892748676,57.489373147206926,231.02323315724547,14.431818181818182,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_final,argmax,myops_edema,44,44,0.6814759955595906,54.86359424785338,190.67956345696865,49.25,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_final,pathology_aware,myops_scar,44,44,0.3764680389033914,72.79958328433844,241.7988104129328,46.77272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_final,pathology_aware,myops_edema,44,44,0.6698050208216462,59.250604727465316,208.42433207313667,102.4090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_11662,argmax,myops_scar,44,44,0.22619057642518686,117.07654035027355,244.93189908269395,37.34090909090909,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_11662,argmax,myops_edema,44,44,0.6806656382249695,47.99319298902034,180.20486909208563,31.431818181818183,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_11662,pathology_aware,myops_scar,44,44,0.24199638963257586,119.56591017325847,245.5581140479779,42.27272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_11662,pathology_aware,myops_edema,44,44,0.6805256708608746,49.85278407393455,180.09956172121775,47.11363636363637,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_12000,argmax,myops_scar,44,44,0.21019147182939177,121.23398704300892,242.38040468219805,32.97727272727273,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_12000,argmax,myops_edema,44,44,0.6827138181335687,50.98458723262383,185.2820434590976,31.772727272727273,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_12000,pathology_aware,myops_scar,44,44,0.22388219039708027,122.72435715660448,242.5190125630078,35.63636363636363,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_12000,pathology_aware,myops_edema,44,44,0.6826273234709072,52.265886710493525,184.91907541059516,48.81818181818182,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_13328,argmax,myops_scar,44,44,0.3258264128409688,106.90667468239539,238.86857249913245,48.90909090909091,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_13328,argmax,myops_edema,44,44,0.6765761896534798,50.69423829044065,214.01531307242237,33.25,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_13328,pathology_aware,myops_scar,44,44,0.32997773343206466,110.96862733427662,238.7497707568777,58.27272727272727,RUNTIME_METRICS
d0_control,m10_d0_static_matched_formal,checkpoint_validation_step_13328,pathology_aware,myops_edema,44,44,0.6741107910279482,53.33015605678025,212.97586722917967,55.75,RUNTIME_METRICS
