phase,design,variant,checkpoint_name,checkpoint_path,checkpoint_step,recoverable,old_metrics_present,followup_metrics_present,summary_path,legacy_checkpoint_selection_mode,legacy_checkpoint_selection_status
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_1666,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_1666.pt,1666,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_3332,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_3332.pt,3332,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_4000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4000.pt,4000,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_4998,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_4998.pt,4998,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_6664,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_6664.pt,6664,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_8330,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_8330.pt,8330,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_9996,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_9996.pt,9996,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_11662,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_11662.pt,11662,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_12000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_12000.pt,12000,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
d0_control,D0_STATIC_MATCHED_PROPREF,m10_d0_static_matched_formal,checkpoint_validation_step_13328,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_13328.pt,13328,True,False,True,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry4/htzhulab/variants/m10_d0_static_matched_formal/summary.json,legacy_val_patch_loss,LEGACY_PATCH_LOSS_SELECTION
