phase,checkpoint_name,component,classification,reason
d2_hierarchical_psip,checkpoint_validation_step_24990,static_mixture,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,dictionary_uniform_valid,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,top_pathology_slots_zeroed,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,spatial_router_to_global,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,PSIP_stateless,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,prototype_memory_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,anatomy_prior_flat,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,proposal_only,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,scar_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,edema_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,both_refiners_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,uncertainty_flat,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,nnunet_context_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,alignment_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,swapped_positive_negative_known_bad,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,static_mixture,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,dictionary_uniform_valid,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,top_pathology_slots_zeroed,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,spatial_router_to_global,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,PSIP_stateless,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,prototype_memory_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,anatomy_prior_flat,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,proposal_only,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,scar_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,edema_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,both_refiners_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,uncertainty_flat,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,nnunet_context_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,alignment_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d3_full_propref,checkpoint_validation_step_40900,swapped_positive_negative_known_bad,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
