mode,pathology,population,case_count,mean_dice_delta_vs_anchor,mean_hd95_delta_vs_anchor,mean_remote_fp_delta_mm3,mean_changed_voxels_vs_anchor,proposal_consumed,refiner_consumed,purity_status
anchor_identity_control,edema,all_case_empty_safe,44,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
anchor_identity_control,edema,positive_gt_cases,16,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
anchor_identity_control,scar,all_case_empty_safe,44,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
anchor_identity_control,scar,positive_gt_cases,43,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_one,edema,all_case_empty_safe,44,0.00037396497580709356,0.0012111011963450132,0.0,6.386363636363637,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_one,edema,positive_gt_cases,16,0.0010284036834695073,0.0033305282899487865,0.0,17.5625,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_one,scar,all_case_empty_safe,44,0.0012834643784510802,0.3281878876995271,-14.733103318869375,23.568181818181817,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_one,scar,positive_gt_cases,43,0.001313312387252268,0.33582016415765564,-15.075733628610523,24.11627906976744,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_zero,edema,all_case_empty_safe,44,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_zero,edema,positive_gt_cases,16,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_zero,scar,all_case_empty_safe,44,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
full_gate_zero,scar,positive_gt_cases,43,0.0,0.0,0.0,0.0,True,True,NOT_COMPONENT_ISOLATION_MODE
full_learned_gate,edema,all_case_empty_safe,44,0.00024714569724853895,0.0009348736293541018,0.0,2.9318181818181817,True,True,NOT_COMPONENT_ISOLATION_MODE
full_learned_gate,edema,positive_gt_cases,16,0.0006796506674334821,0.00257090248072378,0.0,8.0625,True,True,NOT_COMPONENT_ISOLATION_MODE
full_learned_gate,scar,all_case_empty_safe,44,0.0013414936102104668,0.32650943672345734,-14.733103318869375,22.204545454545453,True,True,NOT_COMPONENT_ISOLATION_MODE
full_learned_gate,scar,positive_gt_cases,43,0.0013726911360293149,0.33410267943795635,-15.075733628610523,22.72093023255814,True,True,NOT_COMPONENT_ISOLATION_MODE
proposal_only_gate_one,edema,all_case_empty_safe,44,4.279341114276876e-05,0.0005935191357952456,0.0,0.5909090909090909,True,False,PURE
proposal_only_gate_one,edema,positive_gt_cases,16,0.00011768188064261408,0.0016321776234369256,0.0,1.625,True,False,PURE
proposal_only_gate_one,scar,all_case_empty_safe,44,0.0009492219818112476,0.15424052581338066,-6.56559607126901,19.272727272727273,True,False,PURE
proposal_only_gate_one,scar,positive_gt_cases,43,0.0009712969116208115,0.15782751478578486,-6.7182843519961954,19.674418604651162,True,False,PURE
refiner_only_gate_one,edema,all_case_empty_safe,44,0.0005057747371001945,0.0013028336634615112,1.6035600142045454,15.159090909090908,False,True,PURE
refiner_only_gate_one,edema,positive_gt_cases,16,0.001390880527025535,0.0035827925745191558,4.4097900390625,41.6875,False,True,PURE
refiner_only_gate_one,scar,all_case_empty_safe,44,0.0011006986436053196,0.7554212039546012,-30.635801040363347,52.38636363636363,False,True,PURE
refiner_only_gate_one,scar,positive_gt_cases,43,0.001126296286479862,0.7729891389302896,-31.348261529674122,53.46511627906977,False,True,PURE
