timestamp,wave,stage,partition,job_id,job_name,submit_command,initial_state,initial_reason,terminal_state,exit_code,elapsed,node,log_glob,output_root,mirror_policy,attempt_label,job_state,variant_dir
2026-07-21T11:03:04-0400,B7R_WAVE2_SEMANTIC_MEMORY_AND_ANCHOR_FREE_DISCOVERY,semantic_memory,htzhulab,59797661,B7RMem,sbatch jobs/srr_production/run_myops_batch7_repair_semantic_memory_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:01:07,g1807htzh01,logs/srr_batch7_repair/B7RMem_59797661_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/assets,none_started_primary_running,,,
2026-07-21T11:05:54-0400,B7R_WAVE2_SEMANTIC_MEMORY_AND_ANCHOR_FREE_DISCOVERY,implementation_checks_initial,htzhulab,59797738,B7RChk,sbatch jobs/srr_production/run_myops_batch7_repair_implementation_checks_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:00:17,g1807htzh01,logs/srr_batch7_repair/B7RChk_59797738_*.log,results/20260721_srr_batch7_mechanism_closure_repair,none_started_primary_running_missing_two_artifacts_before_repair,,,
2026-07-21T11:08:50-0400,B7R_WAVE2_SEMANTIC_MEMORY_AND_ANCHOR_FREE_DISCOVERY,implementation_checks_rerun,htzhulab,59802662,B7RChk,sbatch jobs/srr_production/run_myops_batch7_repair_implementation_checks_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:00:24,g1807htzh01,logs/srr_batch7_repair/B7RChk_59802662_*.log,results/20260721_srr_batch7_mechanism_closure_repair,none_started_primary_running,,,
2026-07-21T11:13:44-0400,B7R_WAVE2_SEMANTIC_MEMORY_AND_ANCHOR_FREE_DISCOVERY,implementation_checks_pathology_gradient_rerun,htzhulab,59810049,B7RChk,sbatch jobs/srr_production/run_myops_batch7_repair_implementation_checks_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:00:23,g1807htzh01,logs/srr_batch7_repair/B7RChk_59810049_*.log,results/20260721_srr_batch7_mechanism_closure_repair,none_started_primary_running,,,
2026-07-21T11:16:43-0400,B7R_WAVE3_PRETRAINING_REAL_INTERVENTION_REPLAY,intervention_replay,htzhulab,59810147,B7RInt,sbatch jobs/srr_production/run_myops_batch7_repair_interventions_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:23:56,g1807htzh01,logs/srr_batch7_repair/B7RInt_59810147_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/interventions,none_started_primary_running,,,
2026-07-21T11:43:49-0400,B7R_WAVE3_PRETRAINING_REAL_INTERVENTION_REPLAY,intervention_replay_semantics_rerun,htzhulab,59812403,B7RInt,sbatch jobs/srr_production/run_myops_batch7_repair_interventions_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:23:40,g1807htzh01,logs/srr_batch7_repair/B7RInt_59812403_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/interventions,none_started_primary_running,,,
2026-07-21T12:11:14-0400,B7R_WAVE3_PRETRAINING_REAL_INTERVENTION_REPLAY,production_gate_one_targeted_rerun,htzhulab,59821479,B7RInt,MODE=production_gate_one sbatch jobs/srr_production/run_myops_batch7_repair_interventions_htzhulab.sh,RUNNING,g1807htzh01,COMPLETED,0:0,00:05:09,g1807htzh01,logs/srr_batch7_repair/B7RInt_59821479_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/interventions/production_gate_one,none_started_primary_running,,,
2026-07-21T12:20:28-0400,B7R_WAVE4_PROPOSAL_ONLY_STAGE,proposal_stage_failed_preflight_skip_bug,htzhulab,59828119,B7RStage,STAGE=proposal sbatch jobs/srr_production/run_myops_batch7_repair_stagewise_htzhulab.sh,RUNNING,g1807htzh01,FAILED,1:0,00:00:43,g1807htzh01,logs/srr_batch7_repair/B7RStage_proposal_59828119_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal,none_started_primary_running,,,
2026-07-21T12:24:36-0400,B7R_WAVE4_PROPOSAL_ONLY_STAGE,proposal_stage_rerun_failed_one_case_memory,htzhulab,59828399,B7RStage,STAGE=proposal sbatch jobs/srr_production/run_myops_batch7_repair_stagewise_htzhulab.sh,PENDING,None,FAILED,1:0,00:00:48,g1807htzh01,logs/srr_batch7_repair/B7RStage_proposal_59828399_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal,a100_not_submitted_started_before_900s,,,
2026-07-21T12:31:32-0400,B7R_WAVE4_PROPOSAL_ONLY_STAGE,proposal_stage_rerun_failed_overfit_summary_accounting,htzhulab,59828640,B7RStage,STAGE=proposal sbatch jobs/srr_production/run_myops_batch7_repair_stagewise_htzhulab.sh,RUNNING,g1807htzh01,FAILED,1:0,00:01:03,g1807htzh01,logs/srr_batch7_repair/B7RStage_proposal_59828640_*.log,results/20260721_srr_batch7_mechanism_closure_repair/runtime/stages/proposal,none_started_primary_running,,,
