tensor_name,shape,dtype,numel,sha256
scar_dictionary.positive,6x32,torch.float32,192,281dc00fa476be27bf4250fc77f8fd4bce707ef23a80230a062d1139d7a1f991
scar_dictionary.negative,12x32,torch.float32,384,98f6ac4960ffc6ce9a0e1ab95d08a05ff21bd09d33ed6a8e5ee7b51f729598b8
scar_dictionary.negative_memory_outside_myocardium,2x32,torch.float32,64,c56c041ce003135164af54665ccf0890d7c40b938e08aaa61322e1b094d59227
scar_dictionary.negative_memory_normal_myocardium,2x32,torch.float32,64,f5bba88b7f0d4dffbbec01861c775ffb2f170f41b1b4f0416c554aaf0241c8c3
scar_dictionary.negative_memory_blood_pool,2x32,torch.float32,64,5543325d49ca1eccfea577dc92a5d3ccda864186e13b03575e2b70db5b5f28e4
scar_dictionary.negative_memory_lge_bright_artifact,2x32,torch.float32,64,3cf9f539bc91822254ccc8e1da6a8b707c79a3eae995c4456fa9fae89582f5d2
scar_dictionary.negative_memory_t2_texture_noise,2x32,torch.float32,64,132b15388782d587c911f2fdd3cb0d3e56c5b3dea4b8712268bde9c7aa4282e2
scar_dictionary.negative_memory_remote_fp_island,2x32,torch.float32,64,342e1ea8018714e309e475719a357201fc6c6ad11aacda4a45fc219a6252fbb5
scar_dictionary.embedding.weight,32x32x1x1x1,torch.float32,1024,d2bb3c3da8f96860859008cc7d60c85c527b7f5b9e3e90c25c4ed987268f9144
scar_dictionary.conv_score.weight,1x32x1x1x1,torch.float32,32,2648d819faee1ac98877ef2d9029a83702df7d8a643943686faf9abf6ddc150c
scar_dictionary.conv_score.bias,1,torch.float32,1,cceec43dffd0a17ef20e7c23431648ec693596cbde762c97ada0c6b49b53a602
scar_dictionary.discovery_fusion.0.weight,32x37x1x1x1,torch.float32,1184,259c93b2bcd2a2f1757875b9640ddf1d033c645dda35139ac5c749b6876ae998
scar_dictionary.discovery_fusion.1.weight,32,torch.float32,32,8b4c7660f360dd1829b4d6871c90fa36642b01cc08a17c4f6f105b67e425e074
scar_dictionary.discovery_fusion.1.bias,32,torch.float32,32,ebafed9c5a28f12f09b03278741d750466c874953f3c8d5b61a384281fbf94e4
scar_dictionary.discovery_fusion.3.weight,1x32x1x1x1,torch.float32,32,1e3ebcc888d8ae4426f76d4c929077a826796e165211e7007ac4ae1013cb2cd5
scar_dictionary.discovery_fusion.3.bias,1,torch.float32,1,ee6d9d83db28efaa573503fd7d12f04c949f895cb2869ac2f480f5a03d208c19
scar_dictionary.confirmation_fusion.0.weight,32x7x1x1x1,torch.float32,224,2f9df1fba9c802aa91d4d1d60e1b9452c7a5dc41cc4aa741191c70ea7806be4a
scar_dictionary.confirmation_fusion.1.weight,32,torch.float32,32,8b4c7660f360dd1829b4d6871c90fa36642b01cc08a17c4f6f105b67e425e074
scar_dictionary.confirmation_fusion.1.bias,32,torch.float32,32,ebafed9c5a28f12f09b03278741d750466c874953f3c8d5b61a384281fbf94e4
scar_dictionary.confirmation_fusion.3.weight,1x32x1x1x1,torch.float32,32,12f05e18dab33dbbf587a6dde3121b6923cab161d66e28b0670801b78f37831d
scar_dictionary.confirmation_fusion.3.bias,1,torch.float32,1,5069c0420c9b24e93d92d24fb35da08a2e790f0bb1741f3b9df0a90dd4fe1e83
scar_dictionary.proposal_reliability.weight,2x7x1x1x1,torch.float32,14,6c17cf083fb973a2750bf5f9e9ea86d183cac7868a0f2838a9326e692fc77879
scar_dictionary.proposal_reliability.bias,2,torch.float32,2,a51edf46b33a0963437c9f65b73fec64628ab770f3a8a1c442d8cf1c360cbeb8
edema_dictionary.positive,8x32,torch.float32,256,0a7086e1a620962ee51a500b163737dc5a4073a0af846dbe283d655220b0baa7
edema_dictionary.negative,6x32,torch.float32,192,faae2eb08355119d3128f338aa231d4ed1623d7af0e814728aeec59221c0a102
edema_dictionary.negative_memory_outside_myocardium,2x32,torch.float32,64,c56c041ce003135164af54665ccf0890d7c40b938e08aaa61322e1b094d59227
edema_dictionary.negative_memory_normal_myocardium,2x32,torch.float32,64,f5bba88b7f0d4dffbbec01861c775ffb2f170f41b1b4f0416c554aaf0241c8c3
edema_dictionary.negative_memory_blood_pool,2x32,torch.float32,64,5543325d49ca1eccfea577dc92a5d3ccda864186e13b03575e2b70db5b5f28e4
