job_id,stage,partition,state,exit_code,elapsed,node,log_path,outcome
59767671,asset_build_initial,htzhulab,FAILED,1:0,00:00:57,g1807htzh01,logs/srr_batch7/B7Asset_59767671_20260721_081656.log,startup_path_bug_runtime_asset_builder_missing
59767801,asset_build_retry,htzhulab,COMPLETED,0:0,00:00:56,g1807htzh01,logs/srr_batch7/B7Asset_59767801_20260721_081937.log,PASS
59767993,implementation_checks_initial,htzhulab,FAILED,1:0,00:00:09,g1807htzh01,logs/srr_batch7/B7Impl_59767993_20260721_082319.log,startup_grad_check_no_autograd_graph
59768200,implementation_checks_retry,htzhulab,COMPLETED,0:0,00:00:12,g1807htzh01,logs/srr_batch7/B7Impl_59768200_20260721_082722.log,PASS
59768256,fixed_overfit_initial,htzhulab,FAILED,1:0,00:00:57,g1807htzh01,logs/srr_batch7/B7Fixed_59768256_20260721_082839.log,FAIL_final_pathology_drop_0_012170495355298426
59768424,fixed_overfit_fixed_lr_0_001,htzhulab,FAILED,1:0,00:00:55,g1807htzh01,logs/srr_batch7/B7Fixed_59768424_20260721_083226.log,FAIL_final_pathology_drop_0_07664596638779522
59771743,fixed_overfit_fixed_lr_0_005,htzhulab,FAILED,1:0,00:00:50,g1807htzh01,logs/srr_batch7/B7Fixed_59771743_20260721_083443.log,FAIL_final_pathology_drop_0_1150432406995704
59775079,fixed_overfit_gate_migration,htzhulab,FAILED,1:0,00:00:50,g1807htzh01,logs/srr_batch7/B7Fixed_59775079_20260721_083812.log,FAIL_final_pathology_drop_0_09259148469438629
59775210,fixed_overfit_patch_selection,htzhulab,FAILED,1:0,00:00:52,g1807htzh01,logs/srr_batch7/B7Fixed_59775210_20260721_084033.log,FAIL_final_pathology_drop_0_09885069888711119
59775353,fixed_overfit_final_record,htzhulab,FAILED,1:0,00:00:54,g1807htzh01,logs/srr_batch7/B7Fixed_59775353_20260721_084335.log,FAIL_final_pathology_drop_0_11222805524509555
59776248,implementation_checks_all_competitor_suppression,htzhulab,COMPLETED,0:0,00:00:15,g1807htzh01,logs/srr_batch7/B7Impl_59776248_20260721_085847.log,PASS
59776272,fixed_overfit_all_competitor_suppression,htzhulab,FAILED,1:0,00:01:11,g1807htzh01,logs/srr_batch7/B7Fixed_59776272_20260721_090008.log,FAIL_final_pathology_drop_0_1555380937782318
59776463,implementation_checks_soft_competition,htzhulab,COMPLETED,0:0,00:00:21,g180702,logs/srr_batch7/B7Impl_59776463_20260721_090533.log,PASS
59776565,fixed_overfit_soft_competition,htzhulab,FAILED,1:0,00:00:40,g180702,logs/srr_batch7/B7Fixed_59776565_20260721_090646.log,FAIL_final_pathology_drop_0_12888279315641052
59776689,fixed_overfit_final_loss_multiplier_8,htzhulab,FAILED,1:0,00:00:50,g1807htzh01,logs/srr_batch7/B7Fixed_59776689_20260721_091017.log,FAIL_final_pathology_drop_0_19010897002763882
59776753,fixed_overfit_final_loss_multiplier_16,htzhulab,FAILED,1:0,00:00:52,g1807htzh01,logs/srr_batch7/B7Fixed_59776753_20260721_091239.log,FAIL_final_pathology_drop_0_19696841926872322
59781935,fixed_overfit_final_loss_multiplier_32,htzhulab,FAILED,1:0,00:00:49,g1807htzh01,logs/srr_batch7/B7Fixed_59781935_20260721_091459.log,FAIL_final_pathology_drop_0_19816155510799507
59783024,fixed_overfit_lr_0_006_multiplier_32,htzhulab,COMPLETED,0:0,00:00:50,g1807htzh01,logs/srr_batch7/B7Fixed_59783024_20260721_091743.log,PASS_final_pathology_drop_0_20564072041957518
59784603,implementation_checks_current_final_transfer,htzhulab,COMPLETED,0:0,00:00:15,g1807htzh01,logs/srr_batch7/B7Impl_59784603_20260721_092025.log,PASS
