case_rows,empty_prediction_rate,mean_baseline_dice,mean_dice,mean_dice_delta_vs_standard_nnunet,mean_hd95,mean_remote_fp_volume_mm3,pathology,seed,subgroup,variant
44,0.6363636363636364,0.3944358976789887,0.26141384615848295,-0.13302205152050575,24.191974985618675,2767.9884063050417,edema,20260724,all_cases,student_moddrop_control
16,0.0,0.3944358976789887,0.26141384615848295,-0.13302205152050575,66.52793121045137,7611.968117338864,edema,20260724,positive_gt,student_moddrop_control
16,0.0,0.3944358976789887,0.26141384615848295,-0.13302205152050575,66.52793121045137,7611.968117338864,edema,20260724,complete_trimodal,student_moddrop_control
7,0.0,0.5029744773313501,0.38176682817058344,-0.12120764916076666,28.50225152294933,5517.417519740644,edema,20260724,CenterB,student_moddrop_control
9,0.0,0.3100170023938187,0.1678059712601825,-0.14221103113363615,96.10345985628629,9241.063026581925,edema,20260724,CenterC,student_moddrop_control
24,1.0,,,,0.0,0.0,edema,20260724,lge_only,student_moddrop_control
4,1.0,,,,0.0,0.0,edema,20260724,lge_c0,student_moddrop_control
0,,,,,,,edema,20260724,small_scar,student_moddrop_control
0,,,,,,,edema,20260724,large_scar,student_moddrop_control
10,0.0,0.2782908961049526,0.1908664532787135,-0.08742444282623911,91.99912048550077,11289.743315672129,edema,20260724,low_baseline,student_moddrop_control
6,0.0,0.5880109003023821,0.378992834291432,-0.20901806601095016,24.075949085369043,1482.3427867834216,edema,20260724,high_baseline,student_moddrop_control
44,0.4090909090909091,0.5601692281262312,0.1134279996449734,-0.4467412284812578,39.91912790857678,872.0772375909706,scar,20260724,all_cases,student_moddrop_control
43,0.4186046511627907,0.573196419478004,0.11606586010183323,-0.45713055937617075,39.91912790857678,847.8404800349467,scar,20260724,positive_gt,student_moddrop_control
16,1.0,0.6933346102422654,0.0,-0.6933346102422654,,0.0,scar,20260724,complete_trimodal,student_moddrop_control
7,1.0,0.6131815991584469,0.0,-0.6131815991584469,,0.0,scar,20260724,CenterB,student_moddrop_control
9,1.0,0.7556758410852354,0.0,-0.7556758410852354,,0.0,scar,20260724,CenterC,student_moddrop_control
24,0.08333333333333333,0.501789292579108,0.19931465744452684,-0.302474635134581,38.949210092214024,1519.0475267292795,scar,20260724,lge_only,student_moddrop_control
4,0.0,0.3777873129448342,0.05182005142754622,-0.325967261517288,47.031858561903654,478.564453125,scar,20260724,lge_c0,student_moddrop_control
0,,,,,,,scar,20260724,small_scar,student_moddrop_control
43,0.4186046511627907,0.573196419478004,0.11606586010183323,-0.45713055937617075,39.91912790857678,847.8404800349467,scar,20260724,large_scar,student_moddrop_control
14,0.21428571428571427,0.32854785692224636,0.11068672466854734,-0.2178611322536991,42.16212803399077,2127.4920222486544,scar,20260724,low_baseline,student_moddrop_control
30,0.5,0.6682592013547575,0.11470726130063887,-0.5535519400541186,38.423794491634126,286.21700475071816,scar,20260724,high_baseline,student_moddrop_control
