experiment,pathology,loss_family,gradient_status,forbidden_logits_mean_proxy
scar_minimal,scar,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
scar_br2_no_sip,scar,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
scar_br2_no_sip,scar,loss_br2_source_l1_sparsity,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
scar_br2_no_sip,scar,loss_br2_center_deviation_shrinkage,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
scar_br2_sip,scar,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
scar_br2_sip,scar,loss_br2_source_l1_sparsity,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
scar_br2_sip,scar,loss_br2_center_deviation_shrinkage,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
scar_br2_sip,scar,loss_br2_selective_integration_penalty,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
edema_minimal,edema,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
edema_br2_no_sip,edema,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
edema_br2_no_sip,edema,loss_br2_source_l1_sparsity,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
edema_br2_no_sip,edema,loss_br2_center_deviation_shrinkage,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
edema_br2_sip,edema,target_pathology_proposal_discovery_confirmation,PENDING_RUNTIME_LOSS_SPECIFIC_BACKWARD_ON_REAL_BATCH,True
edema_br2_sip,edema,loss_br2_source_l1_sparsity,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
edema_br2_sip,edema,loss_br2_center_deviation_shrinkage,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
edema_br2_sip,edema,loss_br2_selective_integration_penalty,STATIC_FUNCTION_WIRED_PENDING_REAL_BATCH_BACKWARD,True
