case_pattern,representer,available,pre_beta_rms,contribution_rms_after_availability_mask,missing_contribution_exact_zero,initial_br2_delta_rms,initial_output_matches_minimal
lge_only,shared_anatomy,1,1.0,1.0,0,0.0,1
lge_only,lge_private,1,1.0,1.0,0,0.0,1
lge_only,c0_private,0,1.0,0.0,1,0.0,1
lge_only,t2_private,0,1.0,0.0,1,0.0,1
lge_only,interaction_lge_c0,0,1.0,0.0,1,0.0,1
lge_only,interaction_lge_t2,0,1.0,0.0,1,0.0,1
lge_only,interaction_t2_c0,0,1.0,0.0,1,0.0,1
lge_c0,shared_anatomy,1,1.0,1.0,0,0.0,1
lge_c0,lge_private,1,1.0,1.0,0,0.0,1
lge_c0,c0_private,1,1.0,1.0,0,0.0,1
lge_c0,t2_private,0,1.0,0.0,1,0.0,1
lge_c0,interaction_lge_c0,1,1.0,1.0,0,0.0,1
lge_c0,interaction_lge_t2,0,1.0,0.0,1,0.0,1
lge_c0,interaction_t2_c0,0,1.0,0.0,1,0.0,1
lge_t2_c0,shared_anatomy,1,1.0,1.0,0,0.0,1
lge_t2_c0,lge_private,1,1.0,1.0,0,0.0,1
lge_t2_c0,c0_private,1,1.0,1.0,0,0.0,1
lge_t2_c0,t2_private,1,1.0,1.0,0,0.0,1
lge_t2_c0,interaction_lge_c0,1,1.0,1.0,0,0.0,1
lge_t2_c0,interaction_lge_t2,1,1.0,1.0,0,0.0,1
lge_t2_c0,interaction_t2_c0,1,1.0,1.0,0,0.0,1
