experiment,eval_step,metric,value,threshold,case_count
scar_minimal,200,proposal_precision,0.12980062377634602,0.5,44
scar_minimal,200,proposal_recall,0.5076201890945605,0.5,43
scar_minimal,200,lesion_wise_recall,0.7281653746770026,0.5,43
scar_minimal,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_minimal,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_minimal,400,proposal_precision,0.14427601278436944,0.5,44
scar_minimal,400,proposal_recall,0.5101824252146911,0.5,43
scar_minimal,400,lesion_wise_recall,0.7281653746770026,0.5,43
scar_minimal,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_minimal,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_no_sip,200,proposal_precision,,0.5,0
scar_br2_no_sip,200,proposal_recall,0.0,0.5,43
scar_br2_no_sip,200,lesion_wise_recall,0.0,0.5,43
scar_br2_no_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_no_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_no_sip,400,proposal_precision,,0.5,0
scar_br2_no_sip,400,proposal_recall,0.0,0.5,43
scar_br2_no_sip,400,lesion_wise_recall,0.0,0.5,43
scar_br2_no_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_no_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_sip,200,proposal_precision,,0.5,0
scar_br2_sip,200,proposal_recall,0.0,0.5,43
scar_br2_sip,200,lesion_wise_recall,0.0,0.5,43
scar_br2_sip,200,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_sip,200,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_sip,400,proposal_precision,,0.5,0
scar_br2_sip,400,proposal_recall,0.0,0.5,43
scar_br2_sip,400,lesion_wise_recall,0.0,0.5,43
scar_br2_sip,400,anchor_missed_recovery,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
scar_br2_sip,400,false_positive_suppression,PENDING_ANCHOR_ERROR_STRATIFIED_AGGREGATION,0.5,44
