job_id,pathology,purpose,partition,state_at_record,reason_at_record,attempt_label,formal_training_credit,completion_evidence,submitted_command,last_checked_at,sacct_state,sacct_exit_code,sacct_elapsed,sacct_node,current_controller_head,origin_main_at_check,monitor_decision,next_action
59977481,scar,gpu_preflight_print_contract,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_gpu_preflight_295f010,0,NO_PENDING_MONITOR_ONLY,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T00:03:34-0400,PENDING,0:0,00:00:00,None assigned,1adbc6a0e6e8a2b8e921d350aacf5384b3a6b487,b55c193bbb00af903338bcd9a66037243539647b,NO_PENDING_MONITOR_ONLY_PREFLIGHT_NOT_STARTED,wait_for_preflight_start_then_cancel_pending_mirror_or_account_terminal_result
59979732,scar,gpu_preflight_print_contract_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010,0,NO_PENDING_MONITOR_ONLY,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T00:03:34-0400,PENDING,0:0,00:00:00,None assigned,1adbc6a0e6e8a2b8e921d350aacf5384b3a6b487,b55c193bbb00af903338bcd9a66037243539647b,NO_PENDING_MONITOR_ONLY_PREFLIGHT_NOT_STARTED,wait_for_preflight_start_then_cancel_pending_mirror_or_account_terminal_result
59977481,scar,gpu_preflight_print_contract,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_gpu_preflight_295f010,0,NO_PENDING_MONITOR_ONLY,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T00:18:18-0400,PENDING,0:0,00:00:00,None assigned,206edaecc2f5c1895fed25680f9eedda85d80fd9,206edaecc2f5c1895fed25680f9eedda85d80fd9,NO_PENDING_MONITOR_ONLY_PREFLIGHT_NOT_STARTED,wait_for_preflight_start_then_cancel_pending_mirror_or_account_terminal_result
59979732,scar,gpu_preflight_print_contract_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010,0,NO_PENDING_MONITOR_ONLY,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T00:18:18-0400,PENDING,0:0,00:00:00,None assigned,206edaecc2f5c1895fed25680f9eedda85d80fd9,206edaecc2f5c1895fed25680f9eedda85d80fd9,NO_PENDING_MONITOR_ONLY_PREFLIGHT_NOT_STARTED,wait_for_preflight_start_then_cancel_pending_mirror_or_account_terminal_result
59977481,scar,gpu_preflight_print_contract,htzhulab,COMPLETED,None,batch7_minimal_decomposition_scar_gpu_preflight_295f010,0,LOG_CONTRACT_VALID:logs/srr_batch7_minimal_decomposition/B7MinDec_scar_59977481_20260722_004722.log,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T00:48:46-0400,COMPLETED,0:0,00:00:14,g180702,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,PREFLIGHT_TERMINAL_PASS_CANCELLED_PENDING_MIRROR,submit_formal_scar_wave_after_executor_resumes
59979732,scar,gpu_preflight_print_contract_mirror,a100-gpu,CANCELLED,CancelledByControllerAfterHtzhuPass,batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010,0,CANCELLED_PENDING_MIRROR_AFTER_HTZHULAB_PREFLIGHT_PASS,"sbatch --export=ALL,PATHOLOGY=scar,PRINT_CONTRACT=1,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_gpu_preflight_a100_295f010 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T00:48:46-0400,CANCELLED,0:0,00:00:00,None assigned,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,ROUTING_RACE_MIRROR_CANCELLED,executor_continue_to_formal_scar_wave
59983573,scar,formal_scar_matched_wave,htzhulab,PENDING,Resources,batch7_minimal_decomposition_scar_htzhulab_formal_20260722_005552,0,JOB_SUBMITTED_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_htzhulab_formal_20260722_005552 jobs/srr_production/run_myops_batch7_minimal_decomposition_htzhulab.sh",2026-07-22T00:56:04-0400,PENDING,0:0,00:00:00,None assigned,1f46e571d1fe50462365b714cadb3fd9ff0904f4,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,FORMAL_SCAR_SUBMITTED_NEEDS_MONITOR,monitor_until_terminal_then_aggregate
59983784,scar,formal_scar_matched_wave_mirror,a100-gpu,PENDING,Priority,batch7_minimal_decomposition_scar_a100_formal_20260722_010010,0,JOB_SUBMITTED_ROUTING_MIRROR_NOT_COMPLETION,"sbatch --parsable --export=ALL,PATHOLOGY=scar,ATTEMPT_LABEL=batch7_minimal_decomposition_scar_a100_formal_20260722_010010 jobs/srr_production/run_myops_batch7_minimal_decomposition_a100.sh",2026-07-22T01:00:18-0400,PENDING,0:0,00:00:00,None assigned,3f7a97a1d5f6088d629cdf387aa16e5ae029fb5e,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,FORMAL_SCAR_ROUTING_RACE_MIRROR_SUBMITTED,cancel_other_pending_mirror_when_one_partition_starts_running
59983573,scar,formal_scar_matched_wave,htzhulab,RUNNING,None,batch7_minimal_decomposition_scar_htzhulab_formal_20260722_005552,0,RUNNING_NOT_COMPLETION_LOG_STARTED:logs/srr_batch7_minimal_decomposition/B7MinDec_scar_59983573_20260722_010156.log,"squeue/sacct monitor after routing race; htzhulab started on g180702",2026-07-22T01:02:32-0400,RUNNING,0:0,00:00:43,g180702,9173b9cb65a800f6c104e544651dc77284c1a4f6,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,HTZHULAB_FORMAL_SCAR_RUNNING_CANCELLED_A100_PENDING_MIRROR,monitor_until_terminal_then_aggregate
59983784,scar,formal_scar_matched_wave_mirror,a100-gpu,CANCELLED,CancelledAfterHtzhuStarted,batch7_minimal_decomposition_scar_a100_formal_20260722_010010,0,CANCELLED_PENDING_MIRROR_AFTER_HTZHULAB_RUNNING,"scancel 59983784",2026-07-22T01:02:32-0400,CANCELLED,0:0,00:00:00,None assigned,9173b9cb65a800f6c104e544651dc77284c1a4f6,2b700d073258c7c88cd483f0ec3e5caa4d0a25ae,ROUTING_RACE_MIRROR_CANCELLED,keep_htzhulab_job_59983573_running
