step,pathology,selected_center,training_source,availability_is_observation_set_not_source,selection_rule,evidence_status
1,scar,CenterA,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
2,scar,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
3,scar,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
4,scar,CenterE,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
5,scar,CenterF,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
6,scar,CenterG,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
7,scar,CenterH,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
8,scar,CenterA,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
9,scar,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
10,scar,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
11,scar,CenterE,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
12,scar,CenterF,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
13,scar,CenterG,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
14,scar,CenterH,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
15,scar,CenterA,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
16,scar,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
17,scar,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
18,scar,CenterE,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
19,scar,CenterF,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
20,scar,CenterG,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
21,scar,CenterH,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
22,scar,CenterA,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
23,scar,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
24,scar,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
25,scar,CenterE,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
26,scar,CenterF,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
27,scar,CenterG,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
28,scar,CenterH,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
1,edema,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
2,edema,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
3,edema,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
4,edema,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
5,edema,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
6,edema,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
7,edema,CenterB,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
8,edema,CenterC,metadata.center,True,uniform_eligible_center_then_runtime_uniform_case_then_lesion_or_anchor_error_patch,STATIC_PREVIEW_NOT_RUNTIME_MANIFEST
