case_count,empty_prediction_count,empty_prediction_rate,gt_positive_cases,harm_count_vs_nnunet,help_count_vs_nnunet,mean_component_count,mean_dice,mean_hd95,mean_remote_fp_volume_mm3,no_t2_edema_predicted_voxels_sum,pathology,population,postprocess_id,source,variant
22,14,0.6363636363636364,8,7,1,2.6363636363636362,0.3718644726153162,6.573860508387767,0.0,0,edema,audit,raw_argmax,wave3_probability_ensemble,best_two_individual_mean
8,0,0.0,8,7,1,7.25,0.3718644726153162,18.07811639806636,0.0,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,best_two_individual_mean
22,0,0.0,22,18,4,4.090909090909091,0.5840300451154372,13.611214262473634,674.6144832174521,0,scar,audit,raw_argmax,wave3_probability_ensemble,best_two_individual_mean
22,0,0.0,22,18,4,4.090909090909091,0.5840300451154372,13.611214262473634,674.6144832174521,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,best_two_individual_mean
22,14,0.6363636363636364,8,5,3,3.1363636363636362,0.38077957424292574,7.864677750728842,45.61237578440196,0,edema,audit,raw_argmax,wave3_probability_ensemble,control_epoch25_two_seed_mean
8,0,0.0,8,5,3,8.625,0.38077957424292574,21.627863814504316,125.4340334071054,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,control_epoch25_two_seed_mean
22,0,0.0,22,14,8,3.590909090909091,0.6109379278879291,13.71554728924865,781.48222364549,0,scar,audit,raw_argmax,wave3_probability_ensemble,control_epoch25_two_seed_mean
22,0,0.0,22,14,8,3.590909090909091,0.6109379278879291,13.71554728924865,781.48222364549,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,control_epoch25_two_seed_mean
22,14,0.6363636363636364,8,6,2,3.227272727272727,0.3837794975812189,7.6946713770485475,0.0,0,edema,audit,raw_argmax,wave3_probability_ensemble,direct_two_seed_mean
8,0,0.0,8,6,2,8.875,0.3837794975812189,21.160346286883506,0.0,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,direct_two_seed_mean
22,0,0.0,22,19,3,2.6363636363636362,0.5882963127023842,11.549900733441046,835.2143425394369,0,scar,audit,raw_argmax,wave3_probability_ensemble,direct_two_seed_mean
22,0,0.0,22,19,3,2.6363636363636362,0.5882963127023842,11.549900733441046,835.2143425394369,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,direct_two_seed_mean
22,14,0.6363636363636364,8,6,2,2.909090909090909,0.3904422236744306,7.648280057426434,0.0,0,edema,audit,raw_argmax,wave3_probability_ensemble,distill_epoch25_two_seed_mean
8,0,0.0,8,6,2,8.0,0.3904422236744306,21.032770157922695,0.0,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,distill_epoch25_two_seed_mean
22,0,0.0,22,15,7,3.0454545454545454,0.608330071483723,14.392202590651062,808.1831359620261,0,scar,audit,raw_argmax,wave3_probability_ensemble,distill_epoch25_two_seed_mean
22,0,0.0,22,15,7,3.0454545454545454,0.608330071483723,14.392202590651062,808.1831359620261,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,distill_epoch25_two_seed_mean
22,14,0.6363636363636364,8,5,3,2.272727272727273,0.38286037512064564,7.5435452565523295,0.0,0,edema,audit,raw_argmax,wave3_probability_ensemble,pathology_specific_compositor
8,0,0.0,8,5,3,6.25,0.38286037512064564,20.744749455518907,0.0,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,pathology_specific_compositor
22,0,0.0,22,14,8,2.727272727272727,0.5981189839151135,14.210693983422448,502.2156561775468,0,scar,audit,raw_argmax,wave3_probability_ensemble,pathology_specific_compositor
22,0,0.0,22,14,8,2.727272727272727,0.5981189839151135,14.210693983422448,502.2156561775468,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,pathology_specific_compositor
22,14,0.6363636363636364,8,5,3,2.227272727272727,0.41624473531291056,7.731681108199632,0.0,0,edema,audit,raw_argmax,wave3_probability_ensemble,teacher_two_seed_mean
8,0,0.0,8,5,3,6.125,0.41624473531291056,21.26212304754899,0.0,0,edema,audit_positive_gt,raw_argmax,wave3_probability_ensemble,teacher_two_seed_mean
22,0,0.0,22,14,8,5.863636363636363,0.5795354154016283,12.830832975836593,234.91790196003282,0,scar,audit,raw_argmax,wave3_probability_ensemble,teacher_two_seed_mean
22,0,0.0,22,14,8,5.863636363636363,0.5795354154016283,12.830832975836593,234.91790196003282,0,scar,audit_positive_gt,raw_argmax,wave3_probability_ensemble,teacher_two_seed_mean
