allowed_distance_mm,anatomy_probability_threshold,candidate,edema_calibration_empty_prediction_count,edema_calibration_harm_count,edema_calibration_positive_gt_delta_vs_nnunet,edema_calibration_positive_gt_dice,edema_calibration_positive_gt_hd95,edema_calibration_remote_fp_volume_mm3,edema_min_component_mm3,empty_prediction_count_total,harm_count_total,hd95_sum,mean_pathology_delta_vs_nnunet,minimum_pathology_delta_vs_nnunet,postprocess_id,remote_fp_sum,scar_calibration_empty_prediction_count,scar_calibration_harm_count,scar_calibration_positive_gt_delta_vs_nnunet,scar_calibration_positive_gt_dice,scar_calibration_positive_gt_hd95,scar_calibration_remote_fp_volume_mm3,scar_min_component_mm3,stage
5,0.2,direct_two_seed_mean,0,6,-0.08581232991742888,0.2836607951370312,,,0,2,26,0.0,-0.15536494545724627,-0.22491756099706367,anat0.2_dist5_scar0_edema0,0.0,2,20,-0.22491756099706367,0.288354633277389,,,0,stage1_anatomy_support_distance
10,0.2,direct_two_seed_mean,0,3,-0.005180301985114932,0.36429282306934513,,,0,2,20,0.0,-0.06407056566488176,-0.12296082934464858,anat0.2_dist10_scar0_edema0,0.0,2,17,-0.12296082934464858,0.3903113649298041,,,0,stage1_anatomy_support_distance
5,0.3,direct_two_seed_mean,0,6,-0.1003642897556617,0.26910883529879837,,,0,2,26,0.0,-0.16999326873081683,-0.23962224770597196,anat0.3_dist5_scar0_edema0,0.0,2,20,-0.23962224770597196,0.27364994656848074,,,0,stage1_anatomy_support_distance
10,0.3,direct_two_seed_mean,0,4,-0.011902341891700308,0.35757078316275975,,,0,2,21,0.0,-0.07024932601535802,-0.12859631013901573,anat0.3_dist10_scar0_edema0,0.0,2,17,-0.12859631013901573,0.38467588413543696,,,0,stage1_anatomy_support_distance
5,0.4,direct_two_seed_mean,0,7,-0.11441836078430923,0.25505476427015084,,,0,3,27,0.0,-0.1824133125082366,-0.250408264232164,anat0.4_dist5_scar0_edema0,0.0,3,20,-0.250408264232164,0.2628639300422887,,,0,stage1_anatomy_support_distance
10,0.4,direct_two_seed_mean,0,4,-0.017795474706393755,0.3516776503480663,,,0,3,21,0.0,-0.07767070033483295,-0.13754592596327214,anat0.4_dist10_scar0_edema0,0.0,3,17,-0.13754592596327214,0.37572626831118056,,,0,stage1_anatomy_support_distance
5,0.2,teacher_two_seed_mean,0,7,-0.06033865588099341,0.30913446917346665,,,0,0,26,0.0,-0.12386331932860228,-0.18738798277621116,anat0.2_dist5_scar0_edema0,0.0,0,19,-0.18738798277621116,0.32588421149824154,,,0,stage1_anatomy_support_distance
10,0.2,teacher_two_seed_mean,0,3,0.00745989525126578,0.37693302030572584,,,0,0,19,0.0,-0.04334058870960383,-0.09414107267047345,anat0.2_dist10_scar0_edema0,0.0,0,16,-0.09414107267047345,0.41913112160397925,,,0,stage1_anatomy_support_distance
5,0.3,teacher_two_seed_mean,0,7,-0.0706155798527488,0.29885754520171126,,,0,3,26,0.0,-0.1375064763214584,-0.204397372790168,anat0.3_dist5_scar0_edema0,0.0,3,19,-0.204397372790168,0.3088748214842847,,,0,stage1_anatomy_support_distance
10,0.3,teacher_two_seed_mean,0,3,0.0031362547800679597,0.372609379834528,,,0,3,20,0.0,-0.052681145162381926,-0.10849854510483181,anat0.3_dist10_scar0_edema0,0.0,3,17,-0.10849854510483181,0.4047736491696209,,,0,stage1_anatomy_support_distance
5,0.4,teacher_two_seed_mean,0,7,-0.09656637709222887,0.2729067479622312,,,0,3,26,0.0,-0.1559659885677214,-0.21536560004321392,anat0.4_dist5_scar0_edema0,0.0,3,19,-0.21536560004321392,0.2979065942312388,,,0,stage1_anatomy_support_distance
10,0.4,teacher_two_seed_mean,0,4,-0.0073015613672692825,0.3621715636871908,,,0,3,21,0.0,-0.061602921863264104,-0.11590428235925893,anat0.4_dist10_scar0_edema0,0.0,3,17,-0.11590428235925893,0.39736791191519377,,,0,stage1_anatomy_support_distance
5,0.2,control_epoch25_two_seed_mean,0,7,-0.10061090111648185,0.2688622239379782,,,0,0,24,0.0,-0.1286197882182693,-0.15662867532005675,anat0.2_dist5_scar0_edema0,0.0,0,17,-0.15662867532005675,0.35664351895439594,,,0,stage1_anatomy_support_distance
10,0.2,control_epoch25_two_seed_mean,0,5,-0.016372549594559915,0.35310057545990015,,,0,0,19,0.0,-0.0392037357775194,-0.062034921960478884,anat0.2_dist10_scar0_edema0,0.0,0,14,-0.062034921960478884,0.4512372723139738,,,0,stage1_anatomy_support_distance
5,0.3,control_epoch25_two_seed_mean,0,7,-0.12097577549638627,0.2484973495580738,,,0,2,24,0.0,-0.15988140403028764,-0.198787032564189,anat0.3_dist5_scar0_edema0,0.0,2,17,-0.198787032564189,0.3144851617102637,,,0,stage1_anatomy_support_distance
10,0.3,control_epoch25_two_seed_mean,0,6,-0.029613594129112464,0.3398595309253476,,,0,2,20,0.0,-0.07056966187465488,-0.1115257296201973,anat0.3_dist10_scar0_edema0,0.0,2,14,-0.1115257296201973,0.4017464646542554,,,0,stage1_anatomy_support_distance
5,0.4,control_epoch25_two_seed_mean,0,7,-0.13679602441663813,0.23267710063782193,,,0,3,26,0.0,-0.17621847208024946,-0.2156409197438608,anat0.4_dist5_scar0_edema0,0.0,3,19,-0.2156409197438608,0.2976312745305919,,,0,stage1_anatomy_support_distance
10,0.4,control_epoch25_two_seed_mean,0,6,-0.034060848345230044,0.33541227670923,,,0,3,21,0.0,-0.0775559786628332,-0.12105110898043636,anat0.4_dist10_scar0_edema0,0.0,3,15,-0.12105110898043636,0.39222108529401634,,,0,stage1_anatomy_support_distance
5,0.2,distill_epoch25_two_seed_mean,0,7,-0.12100154550211514,0.24847157955234492,,,0,0,25,0.0,-0.14946792318003244,-0.17793430085794976,anat0.2_dist5_scar0_edema0,0.0,0,18,-0.17793430085794976,0.33533789341650294,,,0,stage1_anatomy_support_distance
10,0.2,distill_epoch25_two_seed_mean,0,6,-0.03455280859608406,0.334920316458376,,,0,0,21,0.0,-0.049957921508326786,-0.06536303442056951,anat0.2_dist10_scar0_edema0,0.0,0,15,-0.06536303442056951,0.4479091598538832,,,0,stage1_anatomy_support_distance
5,0.3,distill_epoch25_two_seed_mean,0,7,-0.13639796992088288,0.23307515513357718,,,0,3,26,0.0,-0.17498192233606566,-0.21356587475124844,anat0.3_dist5_scar0_edema0,0.0,3,19,-0.21356587475124844,0.29970631952320426,,,0,stage1_anatomy_support_distance
10,0.3,distill_epoch25_two_seed_mean,0,6,-0.036399493580085096,0.33307363147437496,,,0,3,21,0.0,-0.07640460837592133,-0.11640972317175757,anat0.3_dist10_scar0_edema0,0.0,3,15,-0.11640972317175757,0.3968624711026951,,,0,stage1_anatomy_support_distance
5,0.4,distill_epoch25_two_seed_mean,0,7,-0.15497208428400241,0.21450104077045765,,,0,3,26,0.0,-0.19474537684876653,-0.2345186694135306,anat0.4_dist5_scar0_edema0,0.0,3,19,-0.2345186694135306,0.2787535248609221,,,0,stage1_anatomy_support_distance
10,0.4,distill_epoch25_two_seed_mean,0,6,-0.04461916763082924,0.3248539574236308,,,0,3,23,0.0,-0.08670394254398323,-0.12878871745713721,anat0.4_dist10_scar0_edema0,0.0,3,17,-0.12878871745713721,0.3844834768173155,,,0,stage1_anatomy_support_distance
5,0.2,best_two_individual_mean,0,7,-0.053790397467506024,0.31568272758695404,,,0,0,24,0.0,-0.08545115708718992,-0.11711191670687382,anat0.2_dist5_scar0_edema0,0.0,0,17,-0.11711191670687382,0.3961602775675789,,,0,stage1_anatomy_support_distance
10,0.2,best_two_individual_mean,0,4,0.012567406896649203,0.38204053195110926,,,0,0,18,0.0,-0.01131169320063835,-0.035190793297925904,anat0.2_dist10_scar0_edema0,0.0,0,14,-0.035190793297925904,0.4780814009765268,,,0,stage1_anatomy_support_distance
