case_id,formal_inference_never_calls_whole_volume_shortcut,input_shape,mirror_axes,padded_shape,patch_size,steps,tile_count,tile_step_size,use_gaussian
Case1021,True,"[22, 256, 256]",[],"[22, 256, 256]","[20, 256, 256]","[[0, 2], [0], [0]]",2,0.5,True
Case1029,True,"[19, 249, 249]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1033,True,"[20, 245, 246]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1045,True,"[22, 278, 278]",[],"[22, 278, 278]","[20, 256, 256]","[[0, 2], [0, 22], [0, 22]]",8,0.5,True
Case1047,True,"[24, 266, 271]",[],"[24, 266, 271]","[20, 256, 256]","[[0, 4], [0, 10], [0, 15]]",8,0.5,True
Case1053,True,"[23, 293, 293]",[],"[23, 293, 293]","[20, 256, 256]","[[0, 3], [0, 37], [0, 37]]",8,0.5,True
Case1062,True,"[20, 245, 249]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1073,True,"[21, 256, 256]",[],"[21, 256, 256]","[20, 256, 256]","[[0, 1], [0], [0]]",2,0.5,True
Case1080,True,"[20, 278, 233]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case2007,True,"[12, 214, 207]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2020,True,"[12, 207, 207]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case2033,True,"[14, 240, 219]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3004,True,"[14, 255, 252]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3011,True,"[9, 263, 258]",[],"[20, 263, 258]","[20, 256, 256]","[[0], [0, 7], [0, 2]]",4,0.5,True
Case3023,True,"[14, 254, 255]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case3038,True,"[8, 244, 269]",[],"[20, 256, 269]","[20, 256, 256]","[[0], [0], [0, 13]]",2,0.5,True
Case3040,True,"[14, 261, 260]",[],"[20, 261, 260]","[20, 256, 256]","[[0], [0, 5], [0, 4]]",4,0.5,True
Case6001,True,"[16, 263, 234]",[],"[20, 263, 256]","[20, 256, 256]","[[0], [0, 7], [0]]",2,0.5,True
Case7005,True,"[10, 261, 205]",[],"[20, 261, 256]","[20, 256, 256]","[[0], [0, 5], [0]]",2,0.5,True
Case8015,True,"[16, 256, 206]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case8021,True,"[19, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
Case8023,True,"[19, 278, 208]",[],"[20, 278, 256]","[20, 256, 256]","[[0], [0, 22], [0]]",2,0.5,True
