case_count,empty_prediction_count,empty_prediction_rate,gt_positive_cases,harm_count_vs_nnunet,help_count_vs_nnunet,mean_component_count,mean_dice,mean_hd95,mean_precision,mean_recall,mean_remote_fp_volume_mm3,mean_volume_ratio,no_t2_edema_predicted_voxels_sum,pathology,population,seed,source,source_prefix,variant
44,28,0.6363636363636364,16,12,4,2.0681818181818183,0.36207321009188775,7.739459430005971,0.38200102605046793,0.45229705674364357,0.0,1.991751447305579,0,edema,full44,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
16,0,0.0,16,12,4,5.6875,0.36207321009188775,21.28351343251642,0.38200102605046793,0.45229705674364357,0.0,1.991751447305579,0,edema,positive_gt,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
44,28,0.6363636363636364,16,12,4,2.0681818181818183,0.36207321009188775,7.739459430005971,0.38200102605046793,0.45229705674364357,0.0,1.991751447305579,0,edema,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
16,0,0.0,16,12,4,5.6875,0.36207321009188775,21.28351343251642,0.38200102605046793,0.45229705674364357,0.0,1.991751447305579,0,edema,complete_trimodal,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
22,14,0.6363636363636364,8,7,1,1.7727272727272727,0.3522131745449705,7.712202370682473,0.3306890483787504,0.4691401366702046,0.0,2.0626914482250136,0,edema,calibration,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
22,14,0.6363636363636364,8,5,3,2.3636363636363638,0.3719332456388051,7.766716489329468,0.43331300372218545,0.43545397681708264,0.0,1.9208114463861445,0,edema,audit,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
7,0,0.0,7,3,4,5.714285714285714,0.48721325091218176,13.915513888917332,0.5178080026033429,0.5150844585105948,0.0,0.9763461533196237,0,edema,CenterB,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
9,0,0.0,9,9,0,5.666666666666667,0.26474206723165916,27.014179744204597,0.276373377620454,0.4034624109249038,0.0,2.7815111204057668,0,edema,CenterC,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
24,24,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_only,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
4,4,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_c0,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
44,0,0.0,43,32,11,3.7045454545454546,0.5183510023685471,17.58073301178193,0.5588521591584047,0.5864187858729124,1026.3170934669738,1.4149146571737368,0,scar,full44,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
43,0,0.0,43,32,11,3.7674418604651163,0.5304056768422344,17.58073301178193,0.5718487209992978,0.5864187858729124,1050.1849328499266,1.4149146571737368,0,scar,positive_gt,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
44,0,0.0,43,32,11,3.7045454545454546,0.5183510023685471,17.58073301178193,0.5588521591584047,0.5864187858729124,1026.3170934669738,1.4149146571737368,0,scar,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
16,0,0.0,16,12,4,1.75,0.6192087808523248,11.394596103103598,0.7550571464422051,0.5764715449724738,0.0,0.8043721173794712,0,scar,complete_trimodal,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
22,0,0.0,21,13,8,4.363636363636363,0.44902163898532665,22.809207399227745,0.5084778980392115,0.5425988321805184,1287.6631331525462,1.6670661422045332,0,scar,calibration,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
22,0,0.0,22,19,3,3.0454545454545454,0.5876803657517677,12.589916551038204,0.6092264202775979,0.6282469234883794,764.9710537814012,1.1742246032807033,0,scar,audit,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
7,0,0.0,7,6,1,1.5714285714285714,0.5228238089844354,12.86102604148248,0.6993207637987325,0.4970208135607955,0.0,0.7923902103631649,0,scar,CenterB,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
9,0,0.0,9,6,3,1.8888888888888888,0.6941748700829055,10.254039484364466,0.7984076662760172,0.6382665582926682,0.0,0.8136913783921541,0,scar,CenterC,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
24,0,0.0,24,17,7,5.125,0.4812658917215009,20.23832284369561,0.4340689689482587,0.6244557972380723,1881.5813380227853,1.9366945870365277,0,scar,lge_only,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
4,0,0.0,3,3,0,3.0,0.33743055231571456,29.31274453609034,0.5227313512840783,0.3351746464206382,0.0,0.49690209717415607,0,scar,lge_c0,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
43,0,0.0,43,32,11,3.7674418604651163,0.5304056768422344,17.58073301178193,0.5718487209992978,0.5864187858729124,1050.1849328499266,1.4149146571737368,0,scar,large_scar,20260723,phase2_mirror_tta,tta_student_direct_reliable_seed20260723_epoch150_e29829d4,student_direct_reliable
44,28,0.6363636363636364,16,7,9,1.75,0.38716097436410124,7.386913714222349,0.41290305747659595,0.45679320167102655,63.919686426342764,1.820931992701791,0,edema,full44,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
16,0,0.0,16,7,9,4.8125,0.38716097436410124,20.314012714111456,0.41290305747659595,0.45679320167102655,175.7791376724426,1.820931992701791,0,edema,positive_gt,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
44,28,0.6363636363636364,16,7,9,1.75,0.38716097436410124,7.386913714222349,0.41290305747659595,0.45679320167102655,63.919686426342764,1.820931992701791,0,edema,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
16,0,0.0,16,7,9,4.8125,0.38716097436410124,20.314012714111456,0.41290305747659595,0.45679320167102655,175.7791376724426,1.820931992701791,0,edema,complete_trimodal,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
22,14,0.6363636363636364,8,2,6,1.4090909090909092,0.39019256139049197,7.5812462374939935,0.36202820129024194,0.490045806281266,0.0,1.8050981323540576,0,edema,calibration,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
22,14,0.6363636363636364,8,5,3,2.090909090909091,0.3841293873377106,7.192581190950705,0.46377791366295,0.42354059706078717,127.83937285268553,1.8367658530495246,0,edema,audit,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
7,0,0.0,7,2,5,6.0,0.5044629658565214,17.131329498951146,0.5457996091834666,0.5056432185293667,401.78088610844026,0.9973068895982623,0,edema,CenterB,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
9,0,0.0,9,5,4,3.888888888888889,0.2959260920922189,22.78943299256948,0.30953907281569665,0.4187987441145398,0.0,2.4615292951156467,0,edema,CenterC,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
24,24,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_only,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
4,4,1.0,0,0,0,0.0,,0.0,,,0.0,,0,edema,lge_c0,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
44,0,0.0,43,30,13,4.5227272727272725,0.5078985097268821,19.416142228481785,0.5918198241403084,0.5252681440663658,690.6898283532772,1.1051307355640576,0,scar,full44,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
43,0,0.0,43,30,13,4.604651162790698,0.5197101029763445,19.416142228481785,0.6055830758645016,0.5252681440663658,706.7523825010278,1.1051307355640576,0,scar,positive_gt,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
44,0,0.0,43,30,13,4.5227272727272725,0.5078985097268821,19.416142228481785,0.5918198241403084,0.5252681440663658,690.6898283532772,1.1051307355640576,0,scar,all_cases_empty_safe,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
16,0,0.0,16,14,2,2.4375,0.6075730674734194,15.03379271410098,0.7045422400600672,0.5771194601500774,258.7076939021549,0.8738243588669016,0,scar,complete_trimodal,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
22,0,0.0,21,13,8,5.090909090909091,0.44987105377900727,23.008974353821372,0.5331992766435715,0.4807292315978273,789.0152458302443,1.22448276085483,0,scar,calibration,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
22,0,0.0,22,17,5,3.9545454545454546,0.565925965674757,15.986620654293993,0.6504403716370454,0.567782560513607,592.3644108763101,0.9912038023319565,0,scar,audit,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
7,0,0.0,7,5,2,3.0,0.5226381315941874,17.776997004183823,0.5831824429125232,0.526548380522096,591.3318717763541,0.9697560740313941,0,scar,CenterB,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
9,0,0.0,9,9,0,2.0,0.6736335731572667,12.900189377369877,0.7989331933970454,0.6164525220829519,0.0,0.7992108026278517,0,scar,CenterC,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
24,0,0.0,24,13,11,5.875,0.4824097227869449,21.742415981676857,0.5221798577022837,0.5270285345086885,1093.7928893795715,1.3560880353886127,0,scar,lge_only,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
4,0,0.0,3,3,0,4.75,0.26213300038035536,24.1784829462855,0.5587699590894224,0.23464466808132156,0.0,0.33110634601911765,0,scar,lge_c0,20260723,phase2_mirror_tta,tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316,student_direct_reliable_legacy
