canonical_eval_prediction_path,case_id,gt_size_xyz,gt_spacing_xyz,label_space,nested_output_normalized,normalized_prediction_path,raw_geometry_status,raw_prediction_path,raw_size_xyz,raw_spacing_xyz,raw_unique_labels,standardized_geometry_status
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1002.nii.gz,Case1002,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1002.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1002/Case1002_pred.nii.gz,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1007.nii.gz,Case1007,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1007.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1007/Case1007_pred.nii.gz,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1009.nii.gz,Case1009,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1009.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1009/Case1009_pred.nii.gz,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1010.nii.gz,Case1010,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1010.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1010/Case1010_pred.nii.gz,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1021.nii.gz,Case1021,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1021.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1021/Case1021_pred.nii.gz,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1023.nii.gz,Case1023,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1023.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1023/Case1023_pred.nii.gz,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1029.nii.gz,Case1029,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1029.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1029/Case1029_pred.nii.gz,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1033.nii.gz,Case1033,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1033.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1033/Case1033_pred.nii.gz,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1040.nii.gz,Case1040,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1040.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1040/Case1040_pred.nii.gz,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]","[0, 200, 500, 600, 1220, 2221]",PASS
results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1042.nii.gz,Case1042,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]",official,1,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_predictions/Case1042.nii.gz,PASS,results/20260725_care_myops_mosaic_fold0_reproduction/native_mosaic_raw_nested/MyoPS/Anonymous Center/Case1042/Case1042_pred.nii.gz,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]","[0, 200, 500, 600, 1220, 2221]",PASS
