branch,case,source_role,path,sha256,dimension,size,spacing,origin,direction,labels
MyoPS,Case1001,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1001.nii.gz,433a69d060f5ca6b5b61412a880517867b11ee77a80e11d83ebb17fa1c734ef7,3,212x251x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 300895, ""1"": 2804, ""2"": 5823, ""3"": 5058, ""4"": 3177, ""5"": 1515}"
MyoPS,Case1002,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1002.nii.gz,3ae149a26c695ac941730797242a407e7ca19ddee1b24699b4d3d492c327337e,3,227x257x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 333310, ""1"": 3207, ""2"": 5087, ""3"": 5589, ""4"": 2207, ""5"": 634}"
MyoPS,Case1003,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1003.nii.gz,07c365c8450f7d6c881c00c5f6ce0387d4837c1585c18102c08cc5d140fcf276,3,235x248x6,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 334179, ""1"": 3661, ""2"": 4656, ""3"": 3834, ""4"": 1835, ""5"": 1515}"
MyoPS,Case1004,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1004.nii.gz,f9b02730a4bf020a3dd5f0da3b1b580d917a5cbb948d40969c7611feae57f49b,3,220x253x7,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 369828, ""1"": 4591, ""2"": 6452, ""3"": 6056, ""4"": 1263, ""5"": 1430}"
MyoPS,Case1005,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1005.nii.gz,9832c5e10a22c3bf6ee5f3b29bee2e236906ed4c9a52a0ec175e52344567a83d,3,258x260x5,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 324819, ""1"": 2362, ""2"": 3532, ""3"": 2587, ""4"": 1223, ""5"": 877}"
MyoPS,Case1006,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1006.nii.gz,6d1f63a48662a2fd55fdc733e1ddeb7fba00d3bc096c6e3882bca90971a12362,3,252x260x3,"1.6015625,1.6015625,10","0,0,0","1,0,0,0,1,0,0,0,1","{""0"": 190512, ""1"": 1928, ""2"": 1659, ""3"": 2047, ""4"": 356, ""5"": 58}"
MyoPS,Case1007,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1007.nii.gz,6a6065771b7b37f0b8f4c56fd3aabc2f581d2823e926afa28d60cd37382b31fa,3,257x255x5,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 313194, ""1"": 2725, ""2"": 4252, ""3"": 4348, ""4"": 2572, ""5"": 584}"
MyoPS,Case1008,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1008.nii.gz,c16c9efaaecb5a08130c8fd1e21825011e3a84ade3396f7957f18e70b4b01811,3,240x259x3,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 180855, ""1"": 1156, ""2"": 1571, ""3"": 554, ""4"": 1264, ""5"": 1080}"
MyoPS,Case1009,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1009.nii.gz,20c92527ac312c6f02941492d4c0e36dcd49a9b4c10c766a597a241e9cc1ff77,3,247x256x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 243742, ""1"": 1818, ""2"": 2234, ""3"": 2642, ""4"": 1519, ""5"": 973}"
MyoPS,Case1010,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1010.nii.gz,54e0a706e21056ff6b31be003a0aa676d179a30a5cb8f285ffb0a2333aca9bf4,3,255x244x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 238847, ""1"": 2219, ""2"": 2633, ""3"": 2986, ""4"": 1405, ""5"": 790}"
MyoPS,Case1011,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1011.nii.gz,c9a8abe3c1a2f5d07e572a622ecf2be300a868dc787014c68b10f525373d9148,3,227x264x6,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 336672, ""1"": 4691, ""2"": 7367, ""3"": 6700, ""4"": 1654, ""5"": 2484}"
MyoPS,Case1012,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1012.nii.gz,007a84bf62df7862f8f28a0926feea5ac5f7e52bb83256b922d456ee26240552,3,160x158x4,"1.7708334,1.7708334,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 96259, ""1"": 856, ""2"": 1423, ""3"": 1660, ""4"": 645, ""5"": 277}"
MyoPS,Case1013,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1013.nii.gz,c0ab93f3a46c85fc5d2d770910609f651a2cf79a40014cd55e4fc5f150543efd,3,169x168x6,"1.8645834,1.8645834,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 164619, ""1"": 1367, ""2"": 1915, ""3"": 1463, ""4"": 491, ""5"": 497}"
MyoPS,Case1014,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1014.nii.gz,06340fba55784548624d1d4af1a83995be8c6cad0422f83649204fafb2c7ae1c,3,232x262x6,"1.4804688,1.4804688,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 351614, ""1"": 4215, ""2"": 3682, ""3"": 4699, ""4"": 489, ""5"": 5}"
MyoPS,Case1015,source_compact_nnunet5f,results/submissions/care_myocardium_validation/nnunet_5fold_best/nnunet_predictions/Dataset501_CAREMyoPS/Case1015.nii.gz,85908748006f546b90cbd3e53eca2ebc2cb5d116b5a1ffbe01788885c6a9a581,3,243x260x4,"1.328125,1.328125,10","0,0,10","1,0,0,0,1,0,0,0,1","{""0"": 237898, ""1"": 2978, ""2"": 4099, ""3"": 5865, ""4"": 984, ""5"": 896}"
