case_id,eval_unique_labels,gt_size_xyz,gt_spacing_xyz,label_space,model_id,prediction_path,raw_geometry_status,raw_size_xyz,raw_spacing_xyz,raw_unique_labels,standardized_geometry_status,status
Case1002,"[0, 1, 2, 5]","[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1002.nii.gz,PASS,"[256, 256, 9]","[1.3672000169754028, 1.3672000169754028, 10.0]","[0, 1, 2, 5]",PASS,PASS
Case1007,"[0, 1, 2, 5]","[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1007.nii.gz,PASS,"[256, 256, 24]","[1.3672000169754028, 1.3672000169754028, 4.0]","[0, 1, 2, 5]",PASS,PASS
Case1009,"[0, 1, 2, 5]","[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1009.nii.gz,PASS,"[256, 256, 16]","[1.3672000169754028, 1.3672000169754028, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1010,"[0, 1, 2, 5]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1010.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 1, 2, 5]",PASS,PASS
Case1021,"[0, 1, 2, 5]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1021.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 9.0]","[0, 1, 2, 5]",PASS,PASS
Case1023,"[0, 1, 2, 5]","[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1023.nii.gz,PASS,"[256, 256, 21]","[1.6405999660491943, 1.6405999660491943, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1029,"[0, 1, 2, 5]","[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz,PASS,"[256, 256, 19]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1033,"[0, 1, 2, 5]","[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1033.nii.gz,PASS,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1040,"[0, 1, 2, 5]","[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1040.nii.gz,PASS,"[256, 256, 12]","[1.3672000169754028, 1.3672000169754028, 8.5]","[0, 1, 2, 5]",PASS,PASS
Case1042,"[0, 1, 2, 5]","[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1042.nii.gz,PASS,"[256, 256, 7]","[1.3672000169754028, 1.3672000169754028, 16.5]","[0, 1, 2, 5]",PASS,PASS
Case1045,"[0, 1, 2, 5]","[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1045.nii.gz,PASS,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 12.5]","[0, 1, 2, 5]",PASS,PASS
Case1047,"[0, 1, 2, 5]","[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1047.nii.gz,PASS,"[256, 256, 24]","[1.4452999830245972, 1.4452999830245972, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1053,"[0, 1, 2, 5]","[256, 256, 9]","[1.5625, 1.5625, 13.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1053.nii.gz,PASS,"[256, 256, 9]","[1.5625, 1.5625, 13.0]","[0, 1, 2, 5]",PASS,PASS
Case1062,"[0, 1, 2, 5]","[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1062.nii.gz,PASS,"[256, 256, 20]","[1.3280999660491943, 1.3280999660491943, 5.0]","[0, 1, 2, 5]",PASS,PASS
Case1070,"[0, 1, 2, 5]","[256, 256, 20]","[1.25, 1.25, 4.5]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1070.nii.gz,PASS,"[256, 256, 20]","[1.25, 1.25, 4.5]","[0, 1, 2, 5]",PASS,PASS
Case1073,"[0, 1, 2, 5]","[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1073.nii.gz,PASS,"[256, 256, 10]","[1.3672000169754028, 1.3672000169754028, 10.5]","[0, 1, 2, 5]",PASS,PASS
Case1080,"[0, 1, 2, 5]","[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]",compact,nnunet_fold0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1080.nii.gz,PASS,"[256, 256, 9]","[1.4844000339508057, 1.4844000339508057, 11.0]","[0, 1, 2, 5]",PASS,PASS
