model_id,design_goal,input_modalities,missing_modality_handling,backbone,anatomy_path,pathology_proposal,scar_edema_independent,negative_space,prototype_memory,alignment_registration,roi_refiner,final_output_producer,nnunet_permission,mosaic_permission,loss,sampling,augmentation,checkpoint_selection,train_deploy_parity,local_metric,same_split_baseline,hosted_metric,result_evidence_grade,known_implementation_bug,known_evaluation_bug,current_scientific_conclusion
NNUNET,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,A_VERIFIED_FAIR_FINAL_MASK,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,强基线；需继续绑定五折和同口径病例级指标。
SRR_V2,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
SRR_V25,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
SRR_V3,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH0,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH1,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH2,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH3,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH4,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH5,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH6,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
BATCH7,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
MMRD,historical CARE route or baseline,UNBOUND_OR_ROUTE_SPECIFIC,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,baseline/reference allowed,read-only evidence allowed,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNAUTHORIZED_TO_CLAIM,E_STALE_OR_INCONSISTENT,SEE_IMPLEMENTATION_MATURITY_REPORT,REMOTE_FP_AND_EDEMA_SEMANTICS_REQUIRE_REFERENCE_EVALUATOR,历史证据需绑定代码、checkpoint、split 和预测。
