page,path,width,height,pixel_std,status
1,pdf_pages/page-01.png,1241,1754,35.76962694377338,PASS
2,pdf_pages/page-02.png,1241,1754,26.223330170761336,PASS
3,pdf_pages/page-03.png,1241,1754,41.43469145756521,PASS
4,pdf_pages/page-04.png,1241,1754,11.398714103141938,PASS
5,pdf_pages/page-05.png,1241,1754,28.326048022054326,PASS
6,pdf_pages/page-06.png,1241,1754,44.47455058702077,PASS
7,pdf_pages/page-07.png,1241,1754,39.29576619292291,PASS
8,pdf_pages/page-08.png,1241,1754,25.594049498069875,PASS
9,pdf_pages/page-09.png,1241,1754,61.184871958208966,PASS
10,pdf_pages/page-10.png,1241,1754,35.79425354617244,PASS
11,pdf_pages/page-11.png,1241,1754,50.929225091443044,PASS
12,pdf_pages/page-12.png,1241,1754,30.41946100923886,PASS
13,pdf_pages/page-13.png,1241,1754,27.669210684336292,PASS
14,pdf_pages/page-14.png,1241,1754,47.95102832206529,PASS
15,pdf_pages/page-15.png,1241,1754,38.969524679310794,PASS
16,pdf_pages/page-16.png,1241,1754,17.1169240936382,PASS
17,pdf_pages/page-17.png,1241,1754,33.961347683827746,PASS
18,pdf_pages/page-18.png,1241,1754,36.62702906609918,PASS
19,pdf_pages/page-19.png,1241,1754,25.033489315558555,PASS
20,pdf_pages/page-20.png,1241,1754,26.30014130914295,PASS
21,pdf_pages/page-21.png,1241,1754,26.560546314786915,PASS
22,pdf_pages/page-22.png,1241,1754,26.438236698704365,PASS
23,pdf_pages/page-23.png,1241,1754,26.56796013264566,PASS
24,pdf_pages/page-24.png,1241,1754,26.497068001409072,PASS
25,pdf_pages/page-25.png,1241,1754,26.537038645528913,PASS
26,pdf_pages/page-26.png,1241,1754,26.44051314234787,PASS
27,pdf_pages/page-27.png,1241,1754,26.52438338695119,PASS
28,pdf_pages/page-28.png,1241,1754,26.580020684480708,PASS
29,pdf_pages/page-29.png,1241,1754,26.807888491182336,PASS
30,pdf_pages/page-30.png,1241,1754,26.487248113538477,PASS
31,pdf_pages/page-31.png,1241,1754,26.248991508018825,PASS
32,pdf_pages/page-32.png,1241,1754,28.86234924793372,PASS
33,pdf_pages/page-33.png,1241,1754,28.945124159960372,PASS
34,pdf_pages/page-34.png,1241,1754,29.066895334442144,PASS
35,pdf_pages/page-35.png,1241,1754,28.943529767672114,PASS
36,pdf_pages/page-36.png,1241,1754,29.46438409063085,PASS
37,pdf_pages/page-37.png,1241,1754,29.245080917422868,PASS
38,pdf_pages/page-38.png,1241,1754,29.294687697578336,PASS
39,pdf_pages/page-39.png,1241,1754,29.359014118265797,PASS
40,pdf_pages/page-40.png,1241,1754,29.31600318820241,PASS
41,pdf_pages/page-41.png,1241,1754,29.185776416155708,PASS
42,pdf_pages/page-42.png,1241,1754,29.189146924894647,PASS
43,pdf_pages/page-43.png,1241,1754,28.255948399780067,PASS
44,pdf_pages/page-44.png,1241,1754,23.36079491608266,PASS
45,pdf_pages/page-45.png,1241,1754,23.544568754904315,PASS
46,pdf_pages/page-46.png,1241,1754,23.7020505665624,PASS
47,pdf_pages/page-47.png,1241,1754,23.537379018917918,PASS
48,pdf_pages/page-48.png,1241,1754,23.496608732184264,PASS
49,pdf_pages/page-49.png,1241,1754,23.444249140727916,PASS
50,pdf_pages/page-50.png,1241,1754,23.320470201162475,PASS
51,pdf_pages/page-51.png,1241,1754,23.33452086005499,PASS
52,pdf_pages/page-52.png,1241,1754,23.451633035803177,PASS
53,pdf_pages/page-53.png,1241,1754,23.415107321069858,PASS
54,pdf_pages/page-54.png,1241,1754,23.46737294200546,PASS
55,pdf_pages/page-55.png,1241,1754,23.868004269194117,PASS
56,pdf_pages/page-56.png,1241,1754,25.700802141094524,PASS
57,pdf_pages/page-57.png,1241,1754,25.48431539321532,PASS
58,pdf_pages/page-58.png,1241,1754,25.551204867114958,PASS
59,pdf_pages/page-59.png,1241,1754,25.920166074392657,PASS
60,pdf_pages/page-60.png,1241,1754,28.41548893441473,PASS
61,pdf_pages/page-61.png,1241,1754,30.073785258708277,PASS
62,pdf_pages/page-62.png,1241,1754,30.10363345334661,PASS
63,pdf_pages/page-63.png,1241,1754,29.482767534201972,PASS
64,pdf_pages/page-64.png,1241,1754,26.705488499069318,PASS
65,pdf_pages/page-65.png,1241,1754,25.07460514248427,PASS
66,pdf_pages/page-66.png,1241,1754,24.91116659445636,PASS
67,pdf_pages/page-67.png,1241,1754,28.831244334522477,PASS
68,pdf_pages/page-68.png,1241,1754,28.703950663880455,PASS
69,pdf_pages/page-69.png,1241,1754,28.064416379109637,PASS
70,pdf_pages/page-70.png,1241,1754,29.477243637563166,PASS
71,pdf_pages/page-71.png,1241,1754,28.1621072293469,PASS
