checkpoint_step,stage,selected_by_old_evaluator,selected_by_v2_edema_zone,scheduler_coverage,notes
500,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
500,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
500,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1000,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1000,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1000,warmup_or_early,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1500,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1500,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
1500,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2000,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2000,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2000,mid,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2500,mid,false,true,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2500,mid,false,true,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
2500,mid,false,true,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3000,mid,true,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3000,mid,true,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3000,mid,true,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3500,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3500,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
3500,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
4000,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
4000,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
4000,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
4500,late,false,false,checkpoint series covers cosine-schedule trajectory from early through late W3,Exact LR scalar was not stored in the checkpoint curve; stage is inferred from checkpoint step.
