case_id,center,metric_name,model_id,dice,pred_voxels,gt_voxels,pred_components,gt_components,empty_gt,empty_pred,model_disagreement_dice
Case1002,CenterA,scar,nnunet_oof,0.6167400881057269,1343,2062,3,1,0,0,0.9114168995914858
Case1002,CenterA,scar,mosaic_clean_oof,0.1154562383612663,3308,2062,1,1,0,0,0.9114168995914858
Case1002,CenterA,lesion_union,nnunet_oof,0.6167400881057269,1343,2062,3,1,0,0,0.8735882702595601
Case1002,CenterA,lesion_union,mosaic_clean_oof,0.17831021437578815,13798,2062,1,1,0,0,0.8735882702595601
Case1007,CenterA,scar,nnunet_oof,0.5810928013876843,4409,2509,8,9,0,0,0.7155043719343144
Case1007,CenterA,scar,mosaic_clean_oof,0.24926450922706606,4969,2509,1,9,0,0,0.7155043719343144
Case1007,CenterA,lesion_union,nnunet_oof,0.5810928013876843,4409,2509,8,9,0,0,0.8691522324376493
Case1007,CenterA,lesion_union,mosaic_clean_oof,0.0841116507445162,34965,2509,2,9,0,0,0.8691522324376493
Case1009,CenterA,scar,nnunet_oof,0.6048804535370964,4024,4090,1,7,0,0,0.9009248237340903
Case1009,CenterA,scar,mosaic_clean_oof,0.08628378993355784,6897,4090,1,7,0,0,0.9009248237340903
Case1009,CenterA,lesion_union,nnunet_oof,0.6048804535370964,4024,4090,1,7,0,0,0.8366647260495504
Case1009,CenterA,lesion_union,mosaic_clean_oof,0.14033049315775883,26894,4090,1,7,0,0,0.8366647260495504
Case1010,CenterA,scar,nnunet_oof,0.48279378027020137,1911,2012,7,9,0,0,0.7833984043456119
Case1010,CenterA,scar,mosaic_clean_oof,0.2520026702269693,3980,2012,1,9,0,0,0.7833984043456119
Case1010,CenterA,lesion_union,nnunet_oof,0.48279378027020137,1911,2012,7,9,0,0,0.8806354658651782
Case1010,CenterA,lesion_union,mosaic_clean_oof,0.13030652815185328,21379,2012,1,9,0,0,0.8806354658651782
Case1021,CenterA,scar,nnunet_oof,0.5699192044748291,1452,1766,4,12,0,0,0.6329300678666273
Case1021,CenterA,scar,mosaic_clean_oof,0.3915743991358358,1937,1766,1,12,0,0,0.6329300678666273
Case1021,CenterA,lesion_union,nnunet_oof,0.5699192044748291,1452,1766,4,12,0,0,0.8227331726311886
Case1021,CenterA,lesion_union,mosaic_clean_oof,0.20414414414414414,9334,1766,1,12,0,0,0.8227331726311886
Case1023,CenterA,scar,nnunet_oof,0.6466011466011466,2504,2380,5,2,0,0,0.9315476190476191
Case1023,CenterA,scar,mosaic_clean_oof,0.06664127951256664,2872,2380,1,2,0,0,0.9315476190476191
Case1023,CenterA,lesion_union,nnunet_oof,0.6466011466011466,2504,2380,5,2,0,0,0.9486830715963893
Case1023,CenterA,lesion_union,mosaic_clean_oof,0.06243793445878848,29844,2380,3,2,0,0,0.9486830715963893
Case1029,CenterA,scar,nnunet_oof,0.16436865021770683,4927,585,12,4,0,0,0.896172862113166
Case1029,CenterA,scar,mosaic_clean_oof,0.0012158054711246201,5995,585,1,4,0,0,0.896172862113166
Case1029,CenterA,lesion_union,nnunet_oof,0.16436865021770683,4927,585,12,4,0,0,0.9398093771059979
Case1029,CenterA,lesion_union,mosaic_clean_oof,0.002017103355535478,47008,585,2,4,0,0,0.9398093771059979
Case1033,CenterA,scar,nnunet_oof,0.671361030077457,5860,4081,6,6,0,0,0.8347073371805441
Case1033,CenterA,scar,mosaic_clean_oof,0.09626672927917351,8696,4081,1,6,0,0,0.8347073371805441
Case1033,CenterA,lesion_union,nnunet_oof,0.671361030077457,5860,4081,6,6,0,0,0.837106056453823
Case1033,CenterA,lesion_union,mosaic_clean_oof,0.1056726338847345,48875,4081,1,6,0,0,0.837106056453823
Case1040,CenterA,scar,nnunet_oof,0.4280078895463511,2906,2164,6,4,0,0,0.8829255796080441
Case1040,CenterA,scar,mosaic_clean_oof,0.11125265392781317,4901,2164,1,4,0,0,0.8829255796080441
Case1040,CenterA,lesion_union,nnunet_oof,0.4280078895463511,2906,2164,6,4,0,0,0.9181701666173716
Case1040,CenterA,lesion_union,mosaic_clean_oof,0.08434668373362078,27523,2164,1,4,0,0,0.9181701666173716
Case1042,CenterA,scar,nnunet_oof,0.7573770491803279,924,906,4,1,0,0,0.9281729428172942
Case1042,CenterA,scar,mosaic_clean_oof,0.06666666666666667,1944,906,1,1,0,0,0.9281729428172942
Case1042,CenterA,lesion_union,nnunet_oof,0.7573770491803279,924,906,4,1,0,0,0.9632164242942686
Case1042,CenterA,lesion_union,mosaic_clean_oof,0.04156845939575744,8428,906,1,1,0,0,0.9632164242942686
Case1045,CenterA,scar,nnunet_oof,0.09968847352024922,438,1488,7,7,0,0,0.9874843554443054
Case1045,CenterA,scar,mosaic_clean_oof,0.06570996978851963,1160,1488,1,7,0,0,0.9874843554443054
Case1045,CenterA,lesion_union,nnunet_oof,0.09968847352024922,438,1488,7,7,0,0,0.9835697061347938
Case1045,CenterA,lesion_union,mosaic_clean_oof,0.09969824038876043,24029,1488,1,7,0,0,0.9835697061347938
Case1047,CenterA,scar,nnunet_oof,0.6283120251991847,4090,6704,13,7,0,0,0.5985054347826086
Case1047,CenterA,scar,mosaic_clean_oof,0.4432244614315497,7686,6704,1,7,0,0,0.5985054347826086
Case1047,CenterA,lesion_union,nnunet_oof,0.6283120251991847,4090,6704,13,7,0,0,0.8362552940017729
Case1047,CenterA,lesion_union,mosaic_clean_oof,0.23638550872160274,36522,6704,4,7,0,0,0.8362552940017729
Case1053,CenterA,scar,nnunet_oof,0.5196241017136539,758,1051,15,10,0,0,0.95662100456621
Case1053,CenterA,scar,mosaic_clean_oof,0.11735941320293398,994,1051,1,10,0,0,0.95662100456621
Case1053,CenterA,lesion_union,nnunet_oof,0.5196241017136539,758,1051,15,10,0,0,0.9526339371439544
Case1053,CenterA,lesion_union,mosaic_clean_oof,0.053154058808745915,14865,1051,1,10,0,0,0.9526339371439544
Case1062,CenterA,scar,nnunet_oof,0.5070823546159869,9323,4726,3,7,0,0,0.7486475239284228
Case1062,CenterA,scar,mosaic_clean_oof,0.18349627401381008,9901,4726,1,7,0,0,0.7486475239284228
Case1062,CenterA,lesion_union,nnunet_oof,0.5070823546159869,9323,4726,3,7,0,0,0.806944460209537
Case1062,CenterA,lesion_union,mosaic_clean_oof,0.0973629374146727,78776,4726,3,7,0,0,0.806944460209537
Case1070,CenterA,scar,nnunet_oof,0.5004500450045004,5270,2507,24,2,0,0,0.551529361611425
