page,path,width,height,pixel_std,status
1,v3_pdf_pages/page-01.png,1241,1754,21.551368751430477,PASS_NONBLANK
2,v3_pdf_pages/page-02.png,1241,1754,32.596439141704614,PASS_NONBLANK
3,v3_pdf_pages/page-03.png,1241,1754,26.924569675813977,PASS_NONBLANK
4,v3_pdf_pages/page-04.png,1241,1754,25.711743574705718,PASS_NONBLANK
5,v3_pdf_pages/page-05.png,1241,1754,30.218747672628588,PASS_NONBLANK
6,v3_pdf_pages/page-06.png,1241,1754,28.274239322899508,PASS_NONBLANK
7,v3_pdf_pages/page-07.png,1241,1754,38.56353737315671,PASS_NONBLANK
8,v3_pdf_pages/page-08.png,1241,1754,31.76148779766825,PASS_NONBLANK
9,v3_pdf_pages/page-09.png,1241,1754,34.259108878973784,PASS_NONBLANK
10,v3_pdf_pages/page-10.png,1241,1754,10.61669352015127,PASS_NONBLANK
11,v3_pdf_pages/page-11.png,1241,1754,28.97056513468622,PASS_NONBLANK
12,v3_pdf_pages/page-12.png,1241,1754,29.60076057900005,PASS_NONBLANK
13,v3_pdf_pages/page-13.png,1241,1754,29.334995235176233,PASS_NONBLANK
14,v3_pdf_pages/page-14.png,1241,1754,23.283752207539962,PASS_NONBLANK
15,v3_pdf_pages/page-15.png,1241,1754,15.799084768068871,PASS_NONBLANK
16,v3_pdf_pages/page-16.png,1241,1754,30.884006984246586,PASS_NONBLANK
17,v3_pdf_pages/page-17.png,1241,1754,92.25895402994092,PASS_NONBLANK
18,v3_pdf_pages/page-18.png,1754,1241,110.27454749364031,PASS_NONBLANK
19,v3_pdf_pages/page-19.png,1754,1241,111.9562994072513,PASS_NONBLANK
20,v3_pdf_pages/page-20.png,1754,1241,58.031870742692576,PASS_NONBLANK
21,v3_pdf_pages/page-21.png,1754,1241,110.5051166686388,PASS_NONBLANK
22,v3_pdf_pages/page-22.png,1754,1241,73.62944987770506,PASS_NONBLANK
23,v3_pdf_pages/page-23.png,1754,1241,83.78942158403163,PASS_NONBLANK
24,v3_pdf_pages/page-24.png,1754,1241,59.92644714590525,PASS_NONBLANK
25,v3_pdf_pages/page-25.png,1754,1241,60.74517410045609,PASS_NONBLANK
26,v3_pdf_pages/page-26.png,1754,1241,108.23727895734379,PASS_NONBLANK
27,v3_pdf_pages/page-27.png,1754,1241,70.2655653388723,PASS_NONBLANK
28,v3_pdf_pages/page-28.png,1754,1241,63.593746902137156,PASS_NONBLANK
29,v3_pdf_pages/page-29.png,1754,1241,60.656064378360846,PASS_NONBLANK
30,v3_pdf_pages/page-30.png,1754,1241,65.55924387380303,PASS_NONBLANK
31,v3_pdf_pages/page-31.png,1754,1241,60.94175392479385,PASS_NONBLANK
32,v3_pdf_pages/page-32.png,1754,1241,58.29959351710258,PASS_NONBLANK
33,v3_pdf_pages/page-33.png,1754,1241,111.64731722594668,PASS_NONBLANK
34,v3_pdf_pages/page-34.png,1754,1241,65.29330115986997,PASS_NONBLANK
35,v3_pdf_pages/page-35.png,1754,1241,86.51310266220145,PASS_NONBLANK
36,v3_pdf_pages/page-36.png,1754,1241,80.129792879695,PASS_NONBLANK
37,v3_pdf_pages/page-37.png,1754,1241,71.82707658227783,PASS_NONBLANK
38,v3_pdf_pages/page-38.png,1754,1241,81.32896771883998,PASS_NONBLANK
39,v3_pdf_pages/page-39.png,1754,1241,103.63344081677442,PASS_NONBLANK
40,v3_pdf_pages/page-40.png,1754,1241,98.07245692266467,PASS_NONBLANK
41,v3_pdf_pages/page-41.png,1754,1241,108.84440000673729,PASS_NONBLANK
42,v3_pdf_pages/page-42.png,1754,1241,106.57360993784155,PASS_NONBLANK
43,v3_pdf_pages/page-43.png,1754,1241,88.42221100863276,PASS_NONBLANK
44,v3_pdf_pages/page-44.png,1754,1241,105.46882054247827,PASS_NONBLANK
45,v3_pdf_pages/page-45.png,1754,1241,107.86281902197861,PASS_NONBLANK
46,v3_pdf_pages/page-46.png,1754,1241,103.32972190542952,PASS_NONBLANK
47,v3_pdf_pages/page-47.png,1754,1241,106.42919567516854,PASS_NONBLANK
48,v3_pdf_pages/page-48.png,1754,1241,106.54856545478768,PASS_NONBLANK
49,v3_pdf_pages/page-49.png,1754,1241,109.10101557515573,PASS_NONBLANK
50,v3_pdf_pages/page-50.png,1754,1241,97.96196281879365,PASS_NONBLANK
51,v3_pdf_pages/page-51.png,1754,1241,103.18269986364338,PASS_NONBLANK
52,v3_pdf_pages/page-52.png,1754,1241,110.99322705045576,PASS_NONBLANK
53,v3_pdf_pages/page-53.png,1754,1241,106.86758293749502,PASS_NONBLANK
54,v3_pdf_pages/page-54.png,1754,1241,109.71858953777235,PASS_NONBLANK
55,v3_pdf_pages/page-55.png,1754,1241,105.51575021574594,PASS_NONBLANK
56,v3_pdf_pages/page-56.png,1754,1241,104.62524838941957,PASS_NONBLANK
57,v3_pdf_pages/page-57.png,1754,1241,109.82886555490467,PASS_NONBLANK
58,v3_pdf_pages/page-58.png,1241,1754,36.04656750815749,PASS_NONBLANK
59,v3_pdf_pages/page-59.png,1241,1754,34.43716278177351,PASS_NONBLANK
60,v3_pdf_pages/page-60.png,1241,1754,36.107948941458524,PASS_NONBLANK
61,v3_pdf_pages/page-61.png,1241,1754,34.31359116029309,PASS_NONBLANK
62,v3_pdf_pages/page-62.png,1241,1754,35.46939291511591,PASS_NONBLANK
63,v3_pdf_pages/page-63.png,1241,1754,33.23350030293898,PASS_NONBLANK
64,v3_pdf_pages/page-64.png,1241,1754,35.021425120698474,PASS_NONBLANK
65,v3_pdf_pages/page-65.png,1241,1754,33.17816278055367,PASS_NONBLANK
66,v3_pdf_pages/page-66.png,1241,1754,34.36776013982316,PASS_NONBLANK
67,v3_pdf_pages/page-67.png,1241,1754,33.19077572415368,PASS_NONBLANK
68,v3_pdf_pages/page-68.png,1241,1754,23.95679536301035,PASS_NONBLANK
69,v3_pdf_pages/page-69.png,1241,1754,24.16761135132363,PASS_NONBLANK
70,v3_pdf_pages/page-70.png,1241,1754,24.606748117060263,PASS_NONBLANK
71,v3_pdf_pages/page-71.png,1241,1754,26.549824146294807,PASS_NONBLANK
72,v3_pdf_pages/page-72.png,1241,1754,27.078438913817713,PASS_NONBLANK
73,v3_pdf_pages/page-73.png,1241,1754,26.008453589996023,PASS_NONBLANK
74,v3_pdf_pages/page-74.png,1241,1754,21.092893545666747,PASS_NONBLANK
75,v3_pdf_pages/page-75.png,1241,1754,17.731932053531708,PASS_NONBLANK
76,v3_pdf_pages/page-76.png,1241,1754,17.714179109661533,PASS_NONBLANK
77,v3_pdf_pages/page-77.png,1241,1754,17.735203607164546,PASS_NONBLANK
78,v3_pdf_pages/page-78.png,1241,1754,17.763592250545955,PASS_NONBLANK
79,v3_pdf_pages/page-79.png,1241,1754,17.703850279838708,PASS_NONBLANK
80,v3_pdf_pages/page-80.png,1241,1754,17.8295304329724,PASS_NONBLANK
81,v3_pdf_pages/page-81.png,1241,1754,17.01517245144993,PASS_NONBLANK
82,v3_pdf_pages/page-82.png,1241,1754,27.604131091538047,PASS_NONBLANK
83,v3_pdf_pages/page-83.png,1241,1754,27.541426842863295,PASS_NONBLANK
84,v3_pdf_pages/page-84.png,1241,1754,27.62452714192822,PASS_NONBLANK
85,v3_pdf_pages/page-85.png,1241,1754,27.610358849383854,PASS_NONBLANK
86,v3_pdf_pages/page-86.png,1241,1754,27.633198642377074,PASS_NONBLANK
87,v3_pdf_pages/page-87.png,1241,1754,27.660388137090926,PASS_NONBLANK
88,v3_pdf_pages/page-88.png,1241,1754,24.14451720159689,PASS_NONBLANK
