x,y,n,pearson_r,pearson_p,spearman_r,spearman_p,bootstrap_ci_low,bootstrap_ci_high,center_adjusted_regression,v4_status
centroid_shift_mm,scar_dice,32,-0.19606806445341723,0.2821587566027476,-0.23274621275434784,0.19987102157616835,-0.479725,0.159671,-0.000833,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
centroid_shift_mm,edema_dice,32,0.2859954200741688,0.11255445066803058,0.13215873279426693,0.4708906550594668,-0.227954,0.598034,0.003565,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
centroid_shift_mm,pathology_failure_score,32,-0.1538184871068149,0.40061195265144334,-0.16005890971750106,0.38153705006757077,-0.538786,0.186115,-0.002732,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
pair_mismatch_score,scar_dice,32,-0.3257938935145682,0.06881196898999042,-0.381057679556803,0.0314166704477911,-0.621464,-0.002013,0.013144,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
pair_mismatch_score,edema_dice,32,0.42132499211092267,0.016325740718306735,0.46989771660183793,0.006655464297158048,0.145445,0.675709,0.040450,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
pair_mismatch_score,pathology_failure_score,32,-0.19612137574533184,0.28202531605832304,-0.312041452430908,0.08209543721021043,-0.487182,0.069546,-0.053594,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
best_slice_corr_mean,scar_dice,32,0.26682885785753796,0.13986993852591126,0.2584437441310109,0.15323180025523223,-0.093539,0.572107,-0.090950,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
best_slice_corr_mean,edema_dice,32,-0.3405688864325594,0.05647392667118329,-0.4111605020266082,0.019397797633210277,-0.642882,-0.038139,0.011217,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
best_slice_corr_mean,pathology_failure_score,32,0.15565912548119537,0.3949300242357716,0.25550688340224936,0.15812270711973145,-0.157836,0.458704,0.079733,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
edge_corr,scar_dice,32,0.3355061544391994,0.06048744281726156,0.28267284514329316,0.11697831155823793,-0.028541,0.614904,-0.059547,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
edge_corr,edema_dice,32,-0.4926539646911337,0.004176182281734201,-0.5256980704483062,0.002001930884232979,-0.746449,-0.227997,-0.243811,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
edge_corr,pathology_failure_score,32,0.26681433527871723,0.13989231943347555,0.38179189473899333,0.031064475355504738,-0.042224,0.543673,0.303359,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
mutual_information,scar_dice,32,0.34744418545683464,0.05136353766410597,0.2584437441310109,0.15323180025523223,0.021932,0.634187,0.105145,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
mutual_information,edema_dice,32,-0.492851313578161,0.0041587632454603745,-0.47210036214840906,0.006370486512770965,-0.730297,-0.182460,-0.483439,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
mutual_information,pathology_failure_score,32,0.25718341002847706,0.1553171486893732,0.3010282246980524,0.09408907371156247,-0.039997,0.553853,0.378294,ACTUAL_CORRELATION_WITH_BOOTSTRAP_AND_CENTER_ADJUSTMENT
