job_id,partition,name,user,state,source,exit_code,elapsed,submit,start,end
61350432,general,create-t,aereinh,R,squeue,,,,,
61144610,general,create-t,aereinh,R,squeue,,,,,
60585184,general,create-t,aereinh,R,squeue,,,,,
60397663,general,create-t,aereinh,R,squeue,,,,,
60166590,general,create-t,aereinh,R,squeue,,,,,
59674442,general,create-t,aereinh,R,squeue,,,,,
59620870,general,create-tunnel_cloudflared_backup,aereinh,COMPLETED,sacct,0:0,9-22:59:54,2026-07-20T01:28:54,2026-07-20T01:29:25,2026-07-30T00:29:19
59620870.batch,,batch,aereinh,COMPLETED,sacct,0:0,9-22:59:54,2026-07-20T01:29:25,2026-07-20T01:29:25,2026-07-30T00:29:19
59620870.extern,,extern,aereinh,OUT_OF_MEMORY,sacct,0:125,9-22:59:56,2026-07-20T01:29:25,2026-07-20T01:29:25,2026-07-30T00:29:21
59674442,general,create-tunnel_tailscale,aereinh,RUNNING,sacct,0:0,9-21:17:06,2026-07-20T14:24:13,2026-07-20T14:24:46,Unknown
59674442.batch,,batch,aereinh,RUNNING,sacct,0:0,9-21:17:06,2026-07-20T14:24:46,2026-07-20T14:24:46,Unknown
59674442.extern,,extern,aereinh,RUNNING,sacct,0:0,9-21:17:06,2026-07-20T14:24:46,2026-07-20T14:24:46,Unknown
60166590,general,create-tunnel_vscode,aereinh,RUNNING,sacct,0:0,7-02:40:33,2026-07-23T09:00:49,2026-07-23T09:01:19,Unknown
60166590.batch,,batch,aereinh,RUNNING,sacct,0:0,7-02:40:33,2026-07-23T09:01:19,2026-07-23T09:01:19,Unknown
60166590.extern,,extern,aereinh,RUNNING,sacct,0:0,7-02:40:33,2026-07-23T09:01:19,2026-07-23T09:01:19,Unknown
60397663,general,create-tunnel_cloudflared,aereinh,RUNNING,sacct,0:0,6-01:17:05,2026-07-24T10:24:42,2026-07-24T10:24:47,Unknown
60397663.batch,,batch,aereinh,RUNNING,sacct,0:0,6-01:17:05,2026-07-24T10:24:47,2026-07-24T10:24:47,Unknown
60397663.extern,,extern,aereinh,RUNNING,sacct,0:0,6-01:17:05,2026-07-24T10:24:47,2026-07-24T10:24:47,Unknown
60585184,general,create-tunnel_cursor,aereinh,RUNNING,sacct,0:0,5-03:15:30,2026-07-25T08:26:01,2026-07-25T08:26:22,Unknown
60585184.batch,,batch,aereinh,RUNNING,sacct,0:0,5-03:15:30,2026-07-25T08:26:22,2026-07-25T08:26:22,Unknown
60585184.extern,,extern,aereinh,RUNNING,sacct,0:0,5-03:15:30,2026-07-25T08:26:22,2026-07-25T08:26:22,Unknown
61144610,general,create-tunnel_tailscale,aereinh,RUNNING,sacct,0:0,1-21:15:47,2026-07-28T14:25:42,2026-07-28T14:26:05,Unknown
61144610.batch,,batch,aereinh,RUNNING,sacct,0:0,1-21:15:47,2026-07-28T14:26:05,2026-07-28T14:26:05,Unknown
61144610.extern,,extern,aereinh,RUNNING,sacct,0:0,1-21:15:47,2026-07-28T14:26:05,2026-07-28T14:26:05,Unknown
61220581,htzhulab,CareDPR5d,aereinh,RUNNING,sacct,0:0,1-11:15:11,2026-07-29T00:26:39,2026-07-29T00:26:41,Unknown
61220581.extern,,extern,aereinh,RUNNING,sacct,0:0,1-11:15:11,2026-07-29T00:26:41,2026-07-29T00:26:41,Unknown
61220581.0,,bash,aereinh,COMPLETED,sacct,0:0,00:00:00,2026-07-29T00:28:20,2026-07-29T00:28:20,2026-07-29T00:28:20
61220581.1,,bash,aereinh,CANCELLED by 397557,sacct,0:9,02:05:34,2026-07-29T00:28:31,2026-07-29T00:28:31,2026-07-29T02:34:05
61220581.2,,bash,aereinh,COMPLETED,sacct,0:0,00:00:01,2026-07-29T05:05:10,2026-07-29T05:05:10,2026-07-29T05:05:11
61220581.3,,bash,aereinh,FAILED,sacct,1:0,00:00:12,2026-07-29T05:22:17,2026-07-29T05:22:17,2026-07-29T05:22:29
61220581.4,,bash,aereinh,COMPLETED,sacct,0:0,00:00:00,2026-07-29T05:29:09,2026-07-29T05:29:09,2026-07-29T05:29:09
61220581.5,,bash,aereinh,FAILED,sacct,1:0,00:00:31,2026-07-29T05:29:22,2026-07-29T05:29:22,2026-07-29T05:29:53
61220581.6,,bash,aereinh,FAILED,sacct,1:0,00:00:21,2026-07-29T05:30:27,2026-07-29T05:30:27,2026-07-29T05:30:48
61220581.7,,bash,aereinh,COMPLETED,sacct,0:0,00:07:52,2026-07-29T05:31:53,2026-07-29T05:31:53,2026-07-29T05:39:45
61220581.8,,bash,aereinh,COMPLETED,sacct,0:0,00:00:01,2026-07-29T05:48:04,2026-07-29T05:48:04,2026-07-29T05:48:05
61220581.9,,bash,aereinh,COMPLETED,sacct,0:0,00:43:17,2026-07-29T05:48:18,2026-07-29T05:48:18,2026-07-29T06:31:35
61220581.10,,bash,aereinh,FAILED,sacct,1:0,00:02:30,2026-07-29T06:31:59,2026-07-29T06:31:59,2026-07-29T06:34:29
61220581.11,,bash,aereinh,FAILED,sacct,1:0,00:02:08,2026-07-29T06:35:51,2026-07-29T06:35:51,2026-07-29T06:37:59
61220581.12,,bash,aereinh,COMPLETED,sacct,0:0,00:00:01,2026-07-29T06:43:55,2026-07-29T06:43:55,2026-07-29T06:43:56
61220581.13,,bash,aereinh,COMPLETED,sacct,0:0,00:00:00,2026-07-29T06:50:59,2026-07-29T06:50:59,2026-07-29T06:50:59
61220581.14,,bash,aereinh,COMPLETED,sacct,0:0,00:00:04,2026-07-29T10:08:37,2026-07-29T10:08:37,2026-07-29T10:08:41
61220581.15,,bash,aereinh,COMPLETED,sacct,0:0,00:00:01,2026-07-29T10:52:24,2026-07-29T10:52:24,2026-07-29T10:52:25
61220581.16,,bash,aereinh,FAILED,sacct,1:0,00:00:28,2026-07-29T11:28:44,2026-07-29T11:28:44,2026-07-29T11:29:12
61220581.17,,bash,aereinh,COMPLETED,sacct,0:0,00:00:43,2026-07-29T11:30:02,2026-07-29T11:30:02,2026-07-29T11:30:45
61220581.18,,bash,aereinh,COMPLETED,sacct,0:0,00:00:30,2026-07-29T11:33:06,2026-07-29T11:33:06,2026-07-29T11:33:36
61220581.19,,bash,aereinh,COMPLETED,sacct,0:0,00:00:05,2026-07-29T11:34:56,2026-07-29T11:34:56,2026-07-29T11:35:01
61220581.20,,bash,aereinh,COMPLETED,sacct,0:0,00:00:05,2026-07-29T11:35:31,2026-07-29T11:35:31,2026-07-29T11:35:36
61220581.21,,bash,aereinh,COMPLETED,sacct,0:0,00:00:45,2026-07-29T11:36:59,2026-07-29T11:36:59,2026-07-29T11:37:44
61220581.22,,bash,aereinh,COMPLETED,sacct,0:0,00:16:03,2026-07-29T11:38:06,2026-07-29T11:38:06,2026-07-29T11:54:09
61220581.23,,bash,aereinh,CANCELLED by 397557,sacct,0:9,00:05:20,2026-07-29T12:12:28,2026-07-29T12:12:28,2026-07-29T12:17:48
61220581.24,,bash,aereinh,FAILED,sacct,1:0,00:00:37,2026-07-29T12:35:03,2026-07-29T12:35:03,2026-07-29T12:35:40
61220581.25,,bash,aereinh,COMPLETED,sacct,0:0,00:01:30,2026-07-29T12:36:19,2026-07-29T12:36:19,2026-07-29T12:37:49
61220581.26,,bash,aereinh,COMPLETED,sacct,0:0,00:01:40,2026-07-29T12:38:57,2026-07-29T12:38:57,2026-07-29T12:40:37
61220581.27,,bash,aereinh,FAILED,sacct,1:0,00:00:30,2026-07-29T12:41:18,2026-07-29T12:41:18,2026-07-29T12:41:48
61220581.28,,bash,aereinh,CANCELLED by 397557,sacct,0:9,00:07:54,2026-07-29T12:42:23,2026-07-29T12:42:23,2026-07-29T12:50:17
61220581.29,,bash,aereinh,COMPLETED,sacct,0:0,00:16:26,2026-07-29T12:50:50,2026-07-29T12:50:50,2026-07-29T13:07:16
61220581.30,,bash,aereinh,COMPLETED,sacct,0:0,00:01:41,2026-07-29T13:09:05,2026-07-29T13:09:05,2026-07-29T13:10:46
61220581.31,,bash,aereinh,COMPLETED,sacct,0:0,00:16:49,2026-07-29T13:11:40,2026-07-29T13:11:40,2026-07-29T13:28:29
61220581.32,,bash,aereinh,COMPLETED,sacct,0:0,00:00:49,2026-07-29T13:32:22,2026-07-29T13:32:22,2026-07-29T13:33:11
61220581.33,,bash,aereinh,CANCELLED by 397557,sacct,0:9,01:37:23,2026-07-29T13:33:53,2026-07-29T13:33:53,2026-07-29T15:11:16
61220581.34,,bash,aereinh,COMPLETED,sacct,0:0,04:09:35,2026-07-29T15:13:23,2026-07-29T15:13:23,2026-07-29T19:22:58
61220581.35,,bash,aereinh,FAILED,sacct,1:0,00:00:09,2026-07-29T19:23:50,2026-07-29T19:23:50,2026-07-29T19:23:59
61220581.36,,bash,aereinh,COMPLETED,sacct,0:0,00:13:52,2026-07-29T19:25:24,2026-07-29T19:25:24,2026-07-29T19:39:16
61220581.37,,bash,aereinh,COMPLETED,sacct,0:0,00:01:28,2026-07-29T19:40:24,2026-07-29T19:40:24,2026-07-29T19:41:52
61220581.38,,bash,aereinh,COMPLETED,sacct,0:0,00:00:04,2026-07-30T00:02:05,2026-07-30T00:02:05,2026-07-30T00:02:09
61220581.39,,bash,aereinh,COMPLETED,sacct,0:0,00:00:26,2026-07-30T00:07:47,2026-07-30T00:07:47,2026-07-30T00:08:13
61220581.40,,bash,aereinh,CANCELLED by 397557,sacct,0:9,02:16:24,2026-07-30T00:13:57,2026-07-30T00:13:57,2026-07-30T02:30:21
61220581.41,,bash,aereinh,FAILED,sacct,1:0,00:00:13,2026-07-30T02:54:24,2026-07-30T02:54:24,2026-07-30T02:54:37
61220581.42,,bash,aereinh,COMPLETED,sacct,0:0,00:00:08,2026-07-30T02:55:10,2026-07-30T02:55:10,2026-07-30T02:55:18
61220581.43,,bash,aereinh,COMPLETED,sacct,0:0,00:00:18,2026-07-30T02:55:36,2026-07-30T02:55:36,2026-07-30T02:55:54
61220581.44,,bash,aereinh,COMPLETED,sacct,0:0,00:07:21,2026-07-30T02:57:43,2026-07-30T02:57:43,2026-07-30T03:05:04
61220581.45,,bash,aereinh,COMPLETED,sacct,0:0,00:14:31,2026-07-30T03:05:30,2026-07-30T03:05:30,2026-07-30T03:20:01
61220581.46,,bash,aereinh,COMPLETED,sacct,0:0,00:06:42,2026-07-30T03:20:22,2026-07-30T03:20:22,2026-07-30T03:27:04
61220581.47,,bash,aereinh,COMPLETED,sacct,0:0,00:23:42,2026-07-30T03:31:27,2026-07-30T03:31:27,2026-07-30T03:55:09
61220581.48,,python,aereinh,COMPLETED,sacct,0:0,00:00:33,2026-07-30T04:07:04,2026-07-30T04:07:04,2026-07-30T04:07:37
61220581.49,,python,aereinh,COMPLETED,sacct,0:0,00:00:27,2026-07-30T04:08:30,2026-07-30T04:08:30,2026-07-30T04:08:57
61220581.50,,python,aereinh,COMPLETED,sacct,0:0,00:00:27,2026-07-30T04:10:37,2026-07-30T04:10:37,2026-07-30T04:11:04
61220581.51,,bash,aereinh,COMPLETED,sacct,0:0,00:02:21,2026-07-30T10:57:18,2026-07-30T10:57:18,2026-07-30T10:59:39
