variant,case_id,runtime_prediction_path,device,patch_size_zyx,sliding_window_count,elapsed_seconds,status
A0,Case1014,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1014.nii.gz,cuda,20x256x256,1,0.29,COMPLETED
A0,Case1017,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1017.nii.gz,cuda,20x256x256,1,0.046,COMPLETED
A0,Case1018,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1018.nii.gz,cuda,20x256x256,1,0.042,COMPLETED
A0,Case1025,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1025.nii.gz,cuda,20x256x256,2,0.121,COMPLETED
A0,Case1027,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1027.nii.gz,cuda,20x256x256,1,0.062,COMPLETED
A0,Case1031,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1031.nii.gz,cuda,20x256x256,1,0.066,COMPLETED
A0,Case1034,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1034.nii.gz,cuda,20x256x256,1,0.061,COMPLETED
A0,Case1039,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1039.nii.gz,cuda,20x256x256,1,0.058,COMPLETED
A0,Case1044,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1044.nii.gz,cuda,20x256x256,1,0.057,COMPLETED
A0,Case1046,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1046.nii.gz,cuda,20x256x256,1,0.042,COMPLETED
A0,Case1052,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_myopath_a0_a3_full_volume_closure/predictions/A0/Case1052.nii.gz,cuda,20x256x256,1,0.046,COMPLETED
