case_id,mode,reason,count
Case1007,G0_current_predicted,unsupported_slice,4
Case1007,G1_GT_anatomy,unsupported_slice,4
Case1007,G2_supported_denominator,unsupported_slice,4
Case1007,G3_repaired_predicted,low_valid_angle_slice,11
Case1007,G3_repaired_predicted,unsupported_slice,4
Case1017,G0_current_predicted,unsupported_slice,3
Case1017,G1_GT_anatomy,unsupported_slice,5
Case1017,G2_supported_denominator,unsupported_slice,7
Case1017,G3_repaired_predicted,low_valid_angle_slice,9
Case1017,G3_repaired_predicted,unsupported_slice,7
Case1028,G3_repaired_predicted,low_valid_angle_slice,19
Case1029,G0_current_predicted,unsupported_slice,3
Case1029,G1_GT_anatomy,unsupported_slice,3
Case1029,G2_supported_denominator,unsupported_slice,3
Case1029,G3_repaired_predicted,low_valid_angle_slice,12
Case1029,G3_repaired_predicted,unsupported_slice,3
Case2005,G0_current_predicted,unsupported_slice,10
Case2005,G1_GT_anatomy,unsupported_slice,10
Case2005,G2_supported_denominator,unsupported_slice,10
Case2005,G3_repaired_predicted,low_valid_angle_slice,8
Case2005,G3_repaired_predicted,unsupported_slice,10
Case2013,G0_current_predicted,unsupported_slice,8
Case2013,G1_GT_anatomy,unsupported_slice,8
Case2013,G2_supported_denominator,unsupported_slice,8
Case2013,G3_repaired_predicted,low_valid_angle_slice,12
Case2013,G3_repaired_predicted,unsupported_slice,8
Case2014,G0_current_predicted,unsupported_slice,10
Case2014,G1_GT_anatomy,unsupported_slice,10
Case2014,G2_supported_denominator,unsupported_slice,10
Case2014,G3_repaired_predicted,low_valid_angle_slice,8
Case2014,G3_repaired_predicted,unsupported_slice,10
Case2017,G0_current_predicted,unsupported_slice,10
Case2017,G1_GT_anatomy,unsupported_slice,10
Case2017,G2_supported_denominator,unsupported_slice,10
Case2017,G3_repaired_predicted,low_valid_angle_slice,8
Case2017,G3_repaired_predicted,unsupported_slice,10
Case2020,G0_current_predicted,unsupported_slice,8
Case2020,G1_GT_anatomy,unsupported_slice,8
Case2020,G2_supported_denominator,unsupported_slice,8
Case2020,G3_repaired_predicted,unsupported_slice,8
Case2034,G0_current_predicted,unsupported_slice,10
Case2034,G1_GT_anatomy,unsupported_slice,10
Case2034,G2_supported_denominator,unsupported_slice,10
Case2034,G3_repaired_predicted,unsupported_slice,10
Case3006,G0_current_predicted,unsupported_slice,6
Case3006,G1_GT_anatomy,unsupported_slice,6
Case3006,G2_supported_denominator,unsupported_slice,6
Case3006,G3_repaired_predicted,unsupported_slice,6
Case3010,G0_current_predicted,unsupported_slice,6
Case3010,G1_GT_anatomy,unsupported_slice,6
Case3010,G2_supported_denominator,unsupported_slice,6
Case3010,G3_repaired_predicted,unsupported_slice,6
Case3011,G0_current_predicted,unsupported_slice,11
Case3011,G1_GT_anatomy,unsupported_slice,11
Case3011,G2_supported_denominator,unsupported_slice,11
Case3011,G3_repaired_predicted,low_valid_angle_slice,8
Case3011,G3_repaired_predicted,unsupported_slice,11
Case3021,G0_current_predicted,unsupported_slice,6
Case3021,G1_GT_anatomy,unsupported_slice,6
Case3021,G2_supported_denominator,unsupported_slice,6
Case3021,G3_repaired_predicted,low_valid_angle_slice,9
Case3021,G3_repaired_predicted,unsupported_slice,6
Case3023,G0_current_predicted,unsupported_slice,6
Case3023,G1_GT_anatomy,unsupported_slice,6
Case3023,G2_supported_denominator,unsupported_slice,6
Case3023,G3_repaired_predicted,unsupported_slice,6
Case3027,G0_current_predicted,unsupported_slice,6
Case3027,G1_GT_anatomy,unsupported_slice,6
Case3027,G2_supported_denominator,unsupported_slice,6
Case3027,G3_repaired_predicted,low_valid_angle_slice,9
Case3027,G3_repaired_predicted,unsupported_slice,6
Case3029,G0_current_predicted,unsupported_slice,8
Case3029,G1_GT_anatomy,unsupported_slice,8
Case3029,G2_supported_denominator,unsupported_slice,8
Case3029,G3_repaired_predicted,low_valid_angle_slice,2
Case3029,G3_repaired_predicted,unsupported_slice,8
Case3032,G0_current_predicted,unsupported_slice,6
Case3032,G1_GT_anatomy,unsupported_slice,6
Case3032,G2_supported_denominator,unsupported_slice,6
Case3032,G3_repaired_predicted,unsupported_slice,6
Case3040,G0_current_predicted,unsupported_slice,6
Case3040,G1_GT_anatomy,unsupported_slice,6
Case3040,G2_supported_denominator,unsupported_slice,6
Case3040,G3_repaired_predicted,low_valid_angle_slice,5
Case3040,G3_repaired_predicted,unsupported_slice,6
Case3045,G0_current_predicted,unsupported_slice,6
Case3045,G1_GT_anatomy,unsupported_slice,6
Case3045,G2_supported_denominator,unsupported_slice,6
Case3045,G3_repaired_predicted,low_valid_angle_slice,9
Case3045,G3_repaired_predicted,unsupported_slice,6
Case5001,G0_current_predicted,unsupported_slice,10
Case5001,G1_GT_anatomy,unsupported_slice,10
Case5001,G2_supported_denominator,unsupported_slice,10
Case5001,G3_repaired_predicted,low_valid_angle_slice,8
Case5001,G3_repaired_predicted,unsupported_slice,10
Case5002,G0_current_predicted,unsupported_slice,8
Case5002,G1_GT_anatomy,unsupported_slice,8
Case5002,G2_supported_denominator,unsupported_slice,8
Case5002,G3_repaired_predicted,low_valid_angle_slice,12
Case5002,G3_repaired_predicted,unsupported_slice,8
Case5005,G0_current_predicted,unsupported_slice,8
Case5005,G1_GT_anatomy,unsupported_slice,8
Case5005,G2_supported_denominator,unsupported_slice,8
Case5005,G3_repaired_predicted,low_valid_angle_slice,12
Case5005,G3_repaired_predicted,unsupported_slice,8
Case6005,G0_current_predicted,unsupported_slice,7
Case6005,G1_GT_anatomy,unsupported_slice,7
Case6005,G2_supported_denominator,unsupported_slice,7
Case6005,G3_repaired_predicted,unsupported_slice,7
Case6008,G0_current_predicted,unsupported_slice,2
Case6008,G1_GT_anatomy,unsupported_slice,2
Case6008,G2_supported_denominator,unsupported_slice,2
Case6008,G3_repaired_predicted,low_valid_angle_slice,14
Case6008,G3_repaired_predicted,unsupported_slice,2
Case6009,G0_current_predicted,unsupported_slice,6
Case6009,G1_GT_anatomy,unsupported_slice,6
Case6009,G2_supported_denominator,unsupported_slice,6
Case6009,G3_repaired_predicted,low_valid_angle_slice,8
Case6009,G3_repaired_predicted,unsupported_slice,6
Case7001,G0_current_predicted,unsupported_slice,9
Case7001,G1_GT_anatomy,unsupported_slice,9
Case7001,G2_supported_denominator,unsupported_slice,9
Case7001,G3_repaired_predicted,low_valid_angle_slice,11
Case7001,G3_repaired_predicted,unsupported_slice,9
Case7010,G0_current_predicted,unsupported_slice,12
Case7010,G1_GT_anatomy,unsupported_slice,12
Case7010,G2_supported_denominator,unsupported_slice,12
Case7010,G3_repaired_predicted,low_valid_angle_slice,8
Case7010,G3_repaired_predicted,unsupported_slice,12
Case8003,G0_current_predicted,unsupported_slice,20
Case8003,G1_GT_anatomy,unsupported_slice,20
Case8003,G2_supported_denominator,unsupported_slice,20
Case8003,G3_repaired_predicted,unsupported_slice,20
Case8022,G0_current_predicted,unsupported_slice,20
Case8022,G1_GT_anatomy,unsupported_slice,20
Case8022,G2_supported_denominator,unsupported_slice,20
Case8022,G3_repaired_predicted,unsupported_slice,20
Case8027,G0_current_predicted,unsupported_slice,20
Case8027,G1_GT_anatomy,unsupported_slice,20
