case_id,mode,center,modality_group,t2_present,active_slice_count,all_depth_slice_count,supported_slice_count,raw_valid_angle_fraction,valid_angle_fraction,valid_angle_fraction_supported,valid_slice_fraction_all_depth,valid_slice_fraction_supported,geometry_valid,wall_roundtrip_dice,wall_roundtrip_hd95_mm,centroid_inside_lv_fraction,ray_no_crossing_fraction,ray_single_crossing_fraction,ray_multi_crossing_fraction,failed_slice_reason_counts
Case1007,G0_current_predicted,CenterA,LGE-only,False,16,20,16,0.948974609375,0.954833984375,0.954833984375,0.8,1.0,True,0.9848363926576217,0.0,1.0,0.005615234375,0.994384765625,0.0,"{""unsupported_slice"": 4}"
Case1007,G1_GT_anatomy,CenterA,LGE-only,False,16,20,16,0.90576171875,0.91748046875,0.91748046875,0.8,1.0,False,0.9760522496371553,1.0,1.0,0.001220703125,0.998779296875,0.0,"{""unsupported_slice"": 4}"
Case1007,G2_supported_denominator,CenterA,LGE-only,False,16,20,16,0.948974609375,0.954833984375,0.954833984375,0.8,1.0,True,0.9844988243490377,0.0,1.0,0.005615234375,0.994384765625,0.0,"{""unsupported_slice"": 4}"
Case1007,G3_repaired_predicted,CenterA,LGE-only,False,16,20,16,0.349365234375,0.357421875,0.357421875,0.25,0.3125,False,0.44277582120628173,6.0,1.0,0.0048828125,0.9951171875,0.0,"{""low_valid_angle_slice"": 11, ""unsupported_slice"": 4}"
Case1017,G0_current_predicted,CenterA,LGE-only,False,17,20,17,0.9836856617647058,0.9846047794117647,0.9846047794117647,0.85,1.0,True,0.996831357821852,0.0,1.0,0.0078125,0.9921875,0.0,"{""unsupported_slice"": 3}"
Case1017,G1_GT_anatomy,CenterA,LGE-only,False,17,20,15,0.9728860294117647,0.9834558823529411,0.98125,0.85,1.0,True,0.9953271028037384,0.0,1.0,0.0026041666666666665,0.9973958333333334,0.0,"{""unsupported_slice"": 5}"
Case1017,G2_supported_denominator,CenterA,LGE-only,False,17,20,13,0.9836856617647058,0.9846047794117647,0.9798677884615384,0.85,1.0,True,0.9967524936209696,0.0,1.0,0.010216346153846154,0.9897836538461539,0.0,"{""unsupported_slice"": 7}"
Case1017,G3_repaired_predicted,CenterA,LGE-only,False,13,20,13,0.2566105769230769,0.2566105769230769,0.2566105769230769,0.2,0.3076923076923077,False,0.2689113230235745,8.48528137423857,1.0,0.008413461538461538,0.9915865384615384,0.0,"{""low_valid_angle_slice"": 9, ""unsupported_slice"": 7}"
Case1028,G0_current_predicted,CenterA,LGE-only,False,20,20,20,0.9958984375,1.0,1.0,1.0,1.0,True,0.9987751624241133,0.0,1.0,0.0,1.0,0.0,{}
Case1028,G1_GT_anatomy,CenterA,LGE-only,False,20,20,20,0.9837890625,0.991015625,0.991015625,1.0,1.0,True,0.9962410233393177,0.0,1.0,0.0005859375,0.9990234375,0.000390625,{}
Case1028,G2_supported_denominator,CenterA,LGE-only,False,20,20,20,0.9958984375,1.0,1.0,1.0,1.0,True,0.9987677302640203,0.0,1.0,0.0,1.0,0.0,{}
Case1028,G3_repaired_predicted,CenterA,LGE-only,False,20,20,20,0.0923828125,0.0923828125,0.0923828125,0.05,0.05,False,0.12204480752568388,18.0,1.0,0.0,0.9998046875,0.0001953125,"{""low_valid_angle_slice"": 19}"
Case1029,G0_current_predicted,CenterA,LGE-only,False,17,20,17,0.9944852941176471,1.0,1.0,0.85,1.0,True,0.9991788593610033,0.0,1.0,0.00022977941176470588,0.9997702205882353,0.0,"{""unsupported_slice"": 3}"
Case1029,G1_GT_anatomy,CenterA,LGE-only,False,17,20,17,0.9832261029411765,0.9914981617647058,0.9914981617647058,0.85,1.0,True,0.9937949052906597,0.0,1.0,0.0009191176470588235,0.9990808823529411,0.0,"{""unsupported_slice"": 3}"
Case1029,G2_supported_denominator,CenterA,LGE-only,False,17,20,17,0.9944852941176471,1.0,1.0,0.85,1.0,True,0.999157663431606,0.0,1.0,0.00022977941176470588,0.9997702205882353,0.0,"{""unsupported_slice"": 3}"
Case1029,G3_repaired_predicted,CenterA,LGE-only,False,17,20,17,0.2867647058823529,0.2867647058823529,0.2867647058823529,0.25,0.29411764705882354,False,0.30483525887890456,12.569805089976535,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 12, ""unsupported_slice"": 3}"
Case2005,G0_current_predicted,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2005,G1_GT_anatomy,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,1.0,0.0,1.0,0.0,0.99296875,0.00703125,"{""unsupported_slice"": 10}"
Case2005,G2_supported_denominator,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,1.0,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2005,G3_repaired_predicted,CenterB,C0+LGE+T2,True,10,20,10,0.473828125,0.473828125,0.473828125,0.1,0.2,False,0.5760761753620314,8.06225774829855,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 8, ""unsupported_slice"": 10}"
Case2013,G0_current_predicted,CenterB,C0+LGE+T2,True,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.999696771413524,0.0,1.0,0.0,0.9996744791666666,0.0003255208333333333,"{""unsupported_slice"": 8}"
Case2013,G1_GT_anatomy,CenterB,C0+LGE+T2,True,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.999526111269074,0.0,1.0,0.0,0.9934895833333334,0.006510416666666667,"{""unsupported_slice"": 8}"
Case2013,G2_supported_denominator,CenterB,C0+LGE+T2,True,12,20,12,1.0,1.0,1.0,0.6,1.0,True,0.9996678213828122,0.0,1.0,0.0,0.9996744791666666,0.0003255208333333333,"{""unsupported_slice"": 8}"
Case2013,G3_repaired_predicted,CenterB,C0+LGE+T2,True,12,20,12,0.0,0.0,0.0,0.0,0.0,False,0.0,,1.0,0.0,1.0,0.0,"{""low_valid_angle_slice"": 12, ""unsupported_slice"": 8}"
Case2014,G0_current_predicted,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9999605787046162,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
Case2014,G1_GT_anatomy,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.9998461064943059,0.0,1.0,0.0,0.9890625,0.0109375,"{""unsupported_slice"": 10}"
Case2014,G2_supported_denominator,CenterB,C0+LGE+T2,True,10,20,10,1.0,1.0,1.0,0.5,1.0,True,0.999882817077458,0.0,1.0,0.0,1.0,0.0,"{""unsupported_slice"": 10}"
