case_id,raw_valid_angle_fraction,valid_angle_fraction,valid_slice_fraction,active_slice_count,geometry_valid,wall_roundtrip_dice,wall_roundtrip_hd95_mm,geometry_source
Case1007,0.948974609375,0.954833984375,0.800000011920929,16,True,0.9848363926576217,0.0,frozen_stock_fold1_probabilities
Case1017,0.9836856722831726,0.9846047759056091,0.8500000238418579,17,True,0.996831357821852,0.0,frozen_stock_fold1_probabilities
Case1028,0.995898425579071,1.0,1.0,20,True,0.9987751624241133,0.0,frozen_stock_fold1_probabilities
Case1029,0.9944853186607361,1.0,0.8500000238418579,17,True,0.9991788593610033,0.0,frozen_stock_fold1_probabilities
Case2005,1.0,1.0,0.5,10,True,1.0,0.0,frozen_stock_fold1_probabilities
Case2013,1.0,1.0,0.6000000238418579,12,True,0.999696771413524,0.0,frozen_stock_fold1_probabilities
Case2014,1.0,1.0,0.5,10,True,0.9999605787046162,0.0,frozen_stock_fold1_probabilities
Case2017,0.9574218988418579,0.9574218988418579,0.5,10,True,0.9997636492554951,0.0,frozen_stock_fold1_probabilities
Case2020,0.9990234375,1.0,0.6000000238418579,12,True,0.9996159543534318,0.0,frozen_stock_fold1_probabilities
Case2034,1.0,1.0,0.5,10,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3006,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3010,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3011,1.0,1.0,0.44999998807907104,9,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3021,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3023,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3027,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3029,0.9202473759651184,0.9225260615348816,0.6000000238418579,12,False,0.9988257899231426,0.0,frozen_stock_fold1_probabilities
Case3032,1.0,1.0,0.699999988079071,14,True,0.9999663424320958,0.0,frozen_stock_fold1_probabilities
Case3040,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case3045,1.0,1.0,0.699999988079071,14,True,1.0,0.0,frozen_stock_fold1_probabilities
Case5001,1.0,1.0,0.5,10,True,0.9998638776714007,0.0,frozen_stock_fold1_probabilities
Case5002,1.0,1.0,0.6000000238418579,12,True,0.9999714457040062,0.0,frozen_stock_fold1_probabilities
Case5005,1.0,1.0,0.6000000238418579,12,True,0.9997516453495592,0.0,frozen_stock_fold1_probabilities
Case6005,0.961838960647583,0.961838960647583,0.6499999761581421,13,True,0.9984794112280275,0.0,frozen_stock_fold1_probabilities
Case6008,0.9728732705116272,0.9728732705116272,0.8999999761581421,18,True,0.9999075016187217,0.0,frozen_stock_fold1_probabilities
Case6009,1.0,1.0,0.699999988079071,14,True,0.999018980592877,0.0,frozen_stock_fold1_probabilities
Case7001,1.0,1.0,0.550000011920929,11,True,1.0,0.0,frozen_stock_fold1_probabilities
Case7010,1.0,1.0,0.4000000059604645,8,True,1.0,0.0,frozen_stock_fold1_probabilities
Case8003,0.03339843824505806,0.03339843824505806,0.0,0,False,0.7918494686555523,2.23606797749979,frozen_stock_fold1_probabilities
Case8022,0.0107421875,0.0107421875,0.0,0,False,0.6030551250830197,3.1622776601683795,frozen_stock_fold1_probabilities
Case8027,0.01953125,0.01953125,0.0,0,False,0.8512010317588263,1.4142135623730951,frozen_stock_fold1_probabilities
Case8028,0.0,0.0,0.0,0,False,0.0,,frozen_stock_fold1_probabilities
