direction,arm,case_id,gt_component_count,predicted_component_count,lesion_recall,small_lesion_recall
BC,DENSE,Case3001,2,18,1.0,
BC,DENSE,Case3002,1,15,1.0,
BC,DENSE,Case3003,1,8,1.0,
BC,DENSE,Case3004,1,1,1.0,
BC,DENSE,Case3005,2,30,0.5,
BC,DENSE,Case3006,1,4,1.0,
BC,DENSE,Case3007,1,10,1.0,
BC,DENSE,Case3008,1,6,1.0,
BC,DENSE,Case3009,1,16,1.0,
BC,DENSE,Case3010,2,8,1.0,
BC,DENSE,Case3011,1,3,1.0,
BC,DENSE,Case3012,1,3,1.0,
BC,DENSE,Case3013,3,7,0.6666666666666666,
BC,DENSE,Case3014,1,6,1.0,
BC,DENSE,Case3015,2,1,0.5,0.0
BC,DENSE,Case3016,1,7,1.0,
BC,DENSE,Case3017,1,2,1.0,
BC,DENSE,Case3018,1,10,1.0,
BC,DENSE,Case3019,2,6,0.5,
BC,DENSE,Case3020,4,4,0.5,0.5
BC,DENSE,Case3021,2,1,1.0,
BC,DENSE,Case3022,1,11,1.0,
BC,DENSE,Case3023,1,1,1.0,
BC,DENSE,Case3024,1,1,1.0,
BC,DENSE,Case3025,1,5,1.0,
BC,DENSE,Case3026,1,2,1.0,
BC,DENSE,Case3027,2,4,1.0,
BC,DENSE,Case3028,6,7,1.0,
BC,DENSE,Case3029,1,1,1.0,
BC,DENSE,Case3030,1,3,1.0,
BC,DENSE,Case3031,1,3,1.0,
BC,DENSE,Case3032,0,16,,
BC,DENSE,Case3033,1,5,1.0,
BC,DENSE,Case3034,1,2,1.0,
BC,DENSE,Case3035,2,8,1.0,
BC,DENSE,Case3036,1,4,1.0,
BC,DENSE,Case3037,1,2,1.0,
BC,DENSE,Case3038,1,1,1.0,
BC,DENSE,Case3039,2,13,1.0,
BC,DENSE,Case3040,1,5,1.0,
BC,DENSE,Case3041,1,12,1.0,
BC,DENSE,Case3042,1,6,1.0,
BC,DENSE,Case3043,1,4,1.0,
BC,DENSE,Case3044,1,1,1.0,
BC,DENSE,Case3045,1,8,1.0,
BC,QUERY,Case3001,2,14,1.0,
BC,QUERY,Case3002,1,17,1.0,
BC,QUERY,Case3003,1,6,1.0,
BC,QUERY,Case3004,1,5,1.0,
BC,QUERY,Case3005,2,19,0.5,
BC,QUERY,Case3006,1,7,1.0,
BC,QUERY,Case3007,1,25,1.0,
BC,QUERY,Case3008,1,10,1.0,
BC,QUERY,Case3009,1,20,1.0,
BC,QUERY,Case3010,2,8,1.0,
BC,QUERY,Case3011,1,7,1.0,
BC,QUERY,Case3012,1,7,1.0,
BC,QUERY,Case3013,3,11,0.6666666666666666,
BC,QUERY,Case3014,1,6,1.0,
BC,QUERY,Case3015,2,5,1.0,1.0
BC,QUERY,Case3016,1,6,1.0,
BC,QUERY,Case3017,1,12,1.0,
BC,QUERY,Case3018,1,24,1.0,
BC,QUERY,Case3019,2,7,0.5,
BC,QUERY,Case3020,4,5,0.75,0.5
BC,QUERY,Case3021,2,12,1.0,
BC,QUERY,Case3022,1,8,1.0,
BC,QUERY,Case3023,1,6,1.0,
BC,QUERY,Case3024,1,4,1.0,
BC,QUERY,Case3025,1,4,1.0,
BC,QUERY,Case3026,1,1,1.0,
BC,QUERY,Case3027,2,7,1.0,
BC,QUERY,Case3028,6,13,1.0,
BC,QUERY,Case3029,1,4,1.0,
BC,QUERY,Case3030,1,7,1.0,
BC,QUERY,Case3031,1,9,1.0,
