mosaic_stage_id,pathology,bucket,case_count,mean_nnunet_oof_dice,mean_mosaic_stage_dice,mean_delta_mosaic_minus_nnunet,evidence_tier,generalization_claim_allowed
M0,pure_edema,BOTH_FAIL,35,0.24388505244630854,0.04536686277695081,-0.19851818966935772,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,pure_edema,NNUNET_PROTECTS,45,0.5762001655280393,0.05850331664690997,-0.5176968488811293,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,scar,BOTH_FAIL,5,0.22161430694318626,0.10337648212439621,-0.11823782481879004,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,scar,BOTH_GOOD,47,0.7672622408263884,0.7660049459781205,-0.0012572948482678552,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,scar,MOSAIC_RESCUES,8,0.5099796323417541,0.6603742948924228,0.15039466255066866,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,scar,NEAR_TIE,6,0.5992287150010988,0.5997792622627612,0.0005505472616626206,CLEAN_HELD_OUT_OOF_REFERENCE,True
M0,scar,NNUNET_PROTECTS,14,0.7055169465179728,0.32971667672664334,-0.37580026979132947,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,pure_edema,BOTH_FAIL,35,0.24388505244630854,0.04536686277695081,-0.19851818966935772,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,pure_edema,NNUNET_PROTECTS,45,0.5762001655280393,0.05850331664690997,-0.5176968488811293,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,scar,BOTH_FAIL,5,0.22161430694318626,0.10337648212439621,-0.11823782481879004,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,scar,BOTH_GOOD,47,0.7672622408263884,0.7660049459781205,-0.0012572948482678552,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,scar,MOSAIC_RESCUES,8,0.5099796323417541,0.6603742948924228,0.15039466255066866,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,scar,NEAR_TIE,6,0.5992287150010988,0.5997792622627612,0.0005505472616626206,CLEAN_HELD_OUT_OOF_REFERENCE,True
M1,scar,NNUNET_PROTECTS,14,0.7055169465179728,0.32971667672664334,-0.37580026979132947,CLEAN_HELD_OUT_OOF_REFERENCE,True
M10,pure_edema,BOTH_FAIL,21,0.2590069348204346,0.26599453772935383,0.006987602908919207,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,pure_edema,MOSAIC_RESCUES,20,0.29974643877864865,0.5623310736741158,0.26258463489546713,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,pure_edema,NEAR_TIE,10,0.5255190735368938,0.5247025830196268,-0.0008164905172670267,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,pure_edema,NNUNET_PROTECTS,29,0.6129558324900528,0.4249620682599227,-0.18799376423013006,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,scar,BOTH_FAIL,3,0.17564350151865452,0.17455752784021905,-0.0010859736784354461,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,scar,BOTH_GOOD,57,0.7673882031356029,0.8622262390170843,0.09483803588148143,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,scar,MOSAIC_RESCUES,18,0.5220750859296498,0.8137128660409756,0.2916377801113258,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,scar,NEAR_TIE,1,0.4470588235294118,0.4053724053724054,-0.04168641815700641,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
M10,scar,NNUNET_PROTECTS,1,0.609375,0.4076809453471196,-0.20169405465288037,IN_SAMPLE_FULL_RECIPE_DIAGNOSTIC,False
