pathology,population,bucket,case_count,fraction,mean_nnunet_dice,mean_mosaic_dice,mean_delta_mosaic_minus_nnunet
pure_edema,all_cases,BOTH_FAIL,35,0.4375,0.24388505244630854,0.04536686277695081,-0.19851818966935772
pure_edema,all_cases,NNUNET_PROTECTS,45,0.5625,0.5762001655280393,0.05850331664690997,-0.5176968488811293
pure_edema,gt_positive_cases,BOTH_FAIL,35,0.4375,0.24388505244630854,0.04536686277695081,-0.19851818966935772
pure_edema,gt_positive_cases,NNUNET_PROTECTS,45,0.5625,0.5762001655280393,0.05850331664690997,-0.5176968488811293
scar,all_cases,BOTH_FAIL,36,0.16363636363636364,0.17965923902945646,0.08181783694084982,-0.09784140208860663
scar,all_cases,BOTH_GOOD,54,0.24545454545454545,0.7603939546352211,0.7589427029078983,-0.0014512517273226394
scar,all_cases,MOSAIC_RESCUES,18,0.08181818181818182,0.47772153763888997,0.6234067238536656,0.14568518621477558
scar,all_cases,NEAR_TIE,15,0.06818181818181818,0.5697375649656203,0.5681132724617515,-0.0016242925038688811
scar,all_cases,NNUNET_PROTECTS,97,0.4409090909090909,0.6057350840812201,0.20129463756866642,-0.4044404465125536
scar,gt_positive_cases,BOTH_FAIL,29,0.13679245283018868,0.22302526224346314,0.10156696999553771,-0.12145829224792545
scar,gt_positive_cases,BOTH_GOOD,54,0.25471698113207547,0.7603939546352211,0.7589427029078983,-0.0014512517273226394
scar,gt_positive_cases,MOSAIC_RESCUES,18,0.08490566037735849,0.47772153763888997,0.6234067238536656,0.14568518621477558
scar,gt_positive_cases,NEAR_TIE,15,0.07075471698113207,0.5697375649656203,0.5681132724617515,-0.0016242925038688811
scar,gt_positive_cases,NNUNET_PROTECTS,96,0.4528301886792453,0.6016281578737328,0.20339145671000672,-0.398236701163726
