lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m2_i_mmseg_care,2,500,Case2001,COMPLETED,cuda,2.173,False
m2_i_mmseg_care,2,500,Case2010,COMPLETED,cuda,1.741,False
m2_i_mmseg_care,2,500,Case2011,COMPLETED,cuda,1.899,False
m2_i_mmseg_care,2,500,Case2012,COMPLETED,cuda,0.966,False
m2_i_mmseg_care,2,500,Case2026,COMPLETED,cuda,1.268,False
m2_i_mmseg_care,2,500,Case2029,COMPLETED,cuda,1.456,False
m2_i_mmseg_care,2,500,Case3004,COMPLETED,cuda,1.608,False
m2_i_mmseg_care,2,500,Case3018,COMPLETED,cuda,1.616,False
m2_i_mmseg_care,2,500,Case3022,COMPLETED,cuda,1.594,False
m2_i_mmseg_care,2,500,Case3033,COMPLETED,cuda,1.61,False
m2_i_mmseg_care,2,500,Case3034,COMPLETED,cuda,1.807,False
m2_i_mmseg_care,2,500,Case3038,COMPLETED,cuda,1.293,False
m2_i_mmseg_care,2,500,Case3039,COMPLETED,cuda,1.566,False
m2_i_mmseg_care,2,1000,Case2001,COMPLETED,cuda,1.455,False
m2_i_mmseg_care,2,1000,Case2010,COMPLETED,cuda,1.557,False
m2_i_mmseg_care,2,1000,Case2011,COMPLETED,cuda,1.851,False
m2_i_mmseg_care,2,1000,Case2012,COMPLETED,cuda,0.917,False
m2_i_mmseg_care,2,1000,Case2026,COMPLETED,cuda,1.261,False
m2_i_mmseg_care,2,1000,Case2029,COMPLETED,cuda,1.435,False
m2_i_mmseg_care,2,1000,Case3004,COMPLETED,cuda,1.587,False
m2_i_mmseg_care,2,1000,Case3018,COMPLETED,cuda,1.606,False
m2_i_mmseg_care,2,1000,Case3022,COMPLETED,cuda,1.616,False
m2_i_mmseg_care,2,1000,Case3033,COMPLETED,cuda,1.516,False
m2_i_mmseg_care,2,1000,Case3034,COMPLETED,cuda,1.754,False
m2_i_mmseg_care,2,1000,Case3038,COMPLETED,cuda,1.271,False
m2_i_mmseg_care,2,1000,Case3039,COMPLETED,cuda,1.547,False
m2_i_mmseg_care,2,1500,Case2001,COMPLETED,cuda,1.44,False
m2_i_mmseg_care,2,1500,Case2010,COMPLETED,cuda,1.544,False
m2_i_mmseg_care,2,1500,Case2011,COMPLETED,cuda,1.859,False
m2_i_mmseg_care,2,1500,Case2012,COMPLETED,cuda,0.901,False
m2_i_mmseg_care,2,1500,Case2026,COMPLETED,cuda,1.241,False
m2_i_mmseg_care,2,1500,Case2029,COMPLETED,cuda,1.439,False
m2_i_mmseg_care,2,1500,Case3004,COMPLETED,cuda,1.568,False
m2_i_mmseg_care,2,1500,Case3018,COMPLETED,cuda,1.582,False
m2_i_mmseg_care,2,1500,Case3022,COMPLETED,cuda,1.603,False
m2_i_mmseg_care,2,1500,Case3033,COMPLETED,cuda,1.517,False
m2_i_mmseg_care,2,1500,Case3034,COMPLETED,cuda,1.767,False
m2_i_mmseg_care,2,1500,Case3038,COMPLETED,cuda,1.269,False
m2_i_mmseg_care,2,1500,Case3039,COMPLETED,cuda,1.517,False
m2_i_mmseg_care,2,2000,Case2001,COMPLETED,cuda,1.499,False
m2_i_mmseg_care,2,2000,Case2010,COMPLETED,cuda,1.493,False
m2_i_mmseg_care,2,2000,Case2011,COMPLETED,cuda,1.875,False
m2_i_mmseg_care,2,2000,Case2012,COMPLETED,cuda,0.906,False
m2_i_mmseg_care,2,2000,Case2026,COMPLETED,cuda,1.264,False
m2_i_mmseg_care,2,2000,Case2029,COMPLETED,cuda,1.509,False
m2_i_mmseg_care,2,2000,Case3004,COMPLETED,cuda,1.523,False
m2_i_mmseg_care,2,2000,Case3018,COMPLETED,cuda,1.584,False
m2_i_mmseg_care,2,2000,Case3022,COMPLETED,cuda,1.606,False
m2_i_mmseg_care,2,2000,Case3033,COMPLETED,cuda,1.526,False
m2_i_mmseg_care,2,2000,Case3034,COMPLETED,cuda,1.776,False
m2_i_mmseg_care,2,2000,Case3038,COMPLETED,cuda,1.288,False
m2_i_mmseg_care,2,2000,Case3039,COMPLETED,cuda,1.53,False
m2_i_mmseg_care,2,2500,Case2001,COMPLETED,cuda,1.502,False
m2_i_mmseg_care,2,2500,Case2010,COMPLETED,cuda,1.493,False
m2_i_mmseg_care,2,2500,Case2011,COMPLETED,cuda,1.871,False
m2_i_mmseg_care,2,2500,Case2012,COMPLETED,cuda,0.917,False
m2_i_mmseg_care,2,2500,Case2026,COMPLETED,cuda,1.238,False
m2_i_mmseg_care,2,2500,Case2029,COMPLETED,cuda,1.508,False
m2_i_mmseg_care,2,2500,Case3004,COMPLETED,cuda,1.503,False
m2_i_mmseg_care,2,2500,Case3018,COMPLETED,cuda,1.584,False
m2_i_mmseg_care,2,2500,Case3022,COMPLETED,cuda,1.596,False
m2_i_mmseg_care,2,2500,Case3033,COMPLETED,cuda,1.568,False
m2_i_mmseg_care,2,2500,Case3034,COMPLETED,cuda,1.771,False
m2_i_mmseg_care,2,2500,Case3038,COMPLETED,cuda,1.259,False
m2_i_mmseg_care,2,2500,Case3039,COMPLETED,cuda,1.518,False
m2_i_mmseg_care,2,3000,Case2001,COMPLETED,cuda,1.483,False
m2_i_mmseg_care,2,3000,Case2010,COMPLETED,cuda,1.491,False
m2_i_mmseg_care,2,3000,Case2011,COMPLETED,cuda,1.865,False
m2_i_mmseg_care,2,3000,Case2012,COMPLETED,cuda,0.91,False
m2_i_mmseg_care,2,3000,Case2026,COMPLETED,cuda,1.251,False
m2_i_mmseg_care,2,3000,Case2029,COMPLETED,cuda,1.436,False
m2_i_mmseg_care,2,3000,Case3004,COMPLETED,cuda,1.556,False
m2_i_mmseg_care,2,3000,Case3018,COMPLETED,cuda,1.577,False
m2_i_mmseg_care,2,3000,Case3022,COMPLETED,cuda,1.571,False
m2_i_mmseg_care,2,3000,Case3033,COMPLETED,cuda,1.52,False
m2_i_mmseg_care,2,3000,Case3034,COMPLETED,cuda,1.74,False
m2_i_mmseg_care,2,3000,Case3038,COMPLETED,cuda,1.287,False
m2_i_mmseg_care,2,3000,Case3039,COMPLETED,cuda,1.514,False
m2_i_mmseg_care,2,3500,Case2001,COMPLETED,cuda,1.479,False
m2_i_mmseg_care,2,3500,Case2010,COMPLETED,cuda,1.486,False
m2_i_mmseg_care,2,3500,Case2011,COMPLETED,cuda,1.844,False
m2_i_mmseg_care,2,3500,Case2012,COMPLETED,cuda,0.911,False
m2_i_mmseg_care,2,3500,Case2026,COMPLETED,cuda,1.251,False
m2_i_mmseg_care,2,3500,Case2029,COMPLETED,cuda,1.424,False
m2_i_mmseg_care,2,3500,Case3004,COMPLETED,cuda,1.591,False
m2_i_mmseg_care,2,3500,Case3018,COMPLETED,cuda,1.591,False
m2_i_mmseg_care,2,3500,Case3022,COMPLETED,cuda,1.589,False
m2_i_mmseg_care,2,3500,Case3033,COMPLETED,cuda,1.519,False
m2_i_mmseg_care,2,3500,Case3034,COMPLETED,cuda,1.757,False
m2_i_mmseg_care,2,3500,Case3038,COMPLETED,cuda,1.27,False
m2_i_mmseg_care,2,3500,Case3039,COMPLETED,cuda,1.529,False
m2_i_mmseg_care,2,4000,Case2001,COMPLETED,cuda,1.442,False
m2_i_mmseg_care,2,4000,Case2010,COMPLETED,cuda,1.553,False
m2_i_mmseg_care,2,4000,Case2011,COMPLETED,cuda,1.843,False
m2_i_mmseg_care,2,4000,Case2012,COMPLETED,cuda,0.928,False
m2_i_mmseg_care,2,4000,Case2026,COMPLETED,cuda,1.262,False
m2_i_mmseg_care,2,4000,Case2029,COMPLETED,cuda,1.416,False
m2_i_mmseg_care,2,4000,Case3004,COMPLETED,cuda,1.557,False
m2_i_mmseg_care,2,4000,Case3018,COMPLETED,cuda,1.584,False
m2_i_mmseg_care,2,4000,Case3022,COMPLETED,cuda,1.591,False
m2_i_mmseg_care,2,4000,Case3033,COMPLETED,cuda,1.522,False
m2_i_mmseg_care,2,4000,Case3034,COMPLETED,cuda,1.756,False
m2_i_mmseg_care,2,4000,Case3038,COMPLETED,cuda,1.279,False
m2_i_mmseg_care,2,4000,Case3039,COMPLETED,cuda,1.521,False
m2_i_mmseg_care,2,4500,Case2001,COMPLETED,cuda,1.425,False
m2_i_mmseg_care,2,4500,Case2010,COMPLETED,cuda,1.534,False
m2_i_mmseg_care,2,4500,Case2011,COMPLETED,cuda,1.84,False
m2_i_mmseg_care,2,4500,Case2012,COMPLETED,cuda,0.91,False
m2_i_mmseg_care,2,4500,Case2026,COMPLETED,cuda,1.255,False
m2_i_mmseg_care,2,4500,Case2029,COMPLETED,cuda,1.424,False
m2_i_mmseg_care,2,4500,Case3004,COMPLETED,cuda,1.551,False
m2_i_mmseg_care,2,4500,Case3018,COMPLETED,cuda,1.597,False
m2_i_mmseg_care,2,4500,Case3022,COMPLETED,cuda,1.549,False
m2_i_mmseg_care,2,4500,Case3033,COMPLETED,cuda,1.567,False
m2_i_mmseg_care,2,4500,Case3034,COMPLETED,cuda,1.747,False
m2_i_mmseg_care,2,4500,Case3038,COMPLETED,cuda,1.284,False
m2_i_mmseg_care,2,4500,Case3039,COMPLETED,cuda,1.504,False
m2_i_mmseg_care,2,5000,Case2001,COMPLETED,cuda,1.418,False
m2_i_mmseg_care,2,5000,Case2010,COMPLETED,cuda,1.523,False
m2_i_mmseg_care,2,5000,Case2011,COMPLETED,cuda,1.839,False
m2_i_mmseg_care,2,5000,Case2012,COMPLETED,cuda,0.911,False
m2_i_mmseg_care,2,5000,Case2026,COMPLETED,cuda,1.26,False
m2_i_mmseg_care,2,5000,Case2029,COMPLETED,cuda,1.428,False
m2_i_mmseg_care,2,5000,Case3004,COMPLETED,cuda,1.56,False
m2_i_mmseg_care,2,5000,Case3018,COMPLETED,cuda,1.581,False
m2_i_mmseg_care,2,5000,Case3022,COMPLETED,cuda,1.537,False
m2_i_mmseg_care,2,5000,Case3033,COMPLETED,cuda,1.558,False
m2_i_mmseg_care,2,5000,Case3034,COMPLETED,cuda,1.761,False
m2_i_mmseg_care,2,5000,Case3038,COMPLETED,cuda,1.272,False
m2_i_mmseg_care,2,5000,Case3039,COMPLETED,cuda,1.514,False
m2_i_mmseg_care,2,5500,Case2001,COMPLETED,cuda,1.429,False
m2_i_mmseg_care,2,5500,Case2010,COMPLETED,cuda,1.529,False
m2_i_mmseg_care,2,5500,Case2011,COMPLETED,cuda,1.841,False
m2_i_mmseg_care,2,5500,Case2012,COMPLETED,cuda,0.857,False
m2_i_mmseg_care,2,5500,Case2026,COMPLETED,cuda,1.297,False
m2_i_mmseg_care,2,5500,Case2029,COMPLETED,cuda,1.429,False
m2_i_mmseg_care,2,5500,Case3004,COMPLETED,cuda,1.562,False
m2_i_mmseg_care,2,5500,Case3018,COMPLETED,cuda,1.581,False
m2_i_mmseg_care,2,5500,Case3022,COMPLETED,cuda,1.543,False
m2_i_mmseg_care,2,5500,Case3033,COMPLETED,cuda,1.561,False
m2_i_mmseg_care,2,5500,Case3034,COMPLETED,cuda,1.737,False
m2_i_mmseg_care,2,5500,Case3038,COMPLETED,cuda,1.262,False
m2_i_mmseg_care,2,5500,Case3039,COMPLETED,cuda,1.508,False
m2_i_mmseg_care,2,6000,Case2001,COMPLETED,cuda,1.421,False
m2_i_mmseg_care,2,6000,Case2010,COMPLETED,cuda,1.539,False
m2_i_mmseg_care,2,6000,Case2011,COMPLETED,cuda,1.846,False
m2_i_mmseg_care,2,6000,Case2012,COMPLETED,cuda,0.862,False
m2_i_mmseg_care,2,6000,Case2026,COMPLETED,cuda,1.313,False
m2_i_mmseg_care,2,6000,Case2029,COMPLETED,cuda,1.435,False
m2_i_mmseg_care,2,6000,Case3004,COMPLETED,cuda,1.558,False
m2_i_mmseg_care,2,6000,Case3018,COMPLETED,cuda,1.578,False
m2_i_mmseg_care,2,6000,Case3022,COMPLETED,cuda,1.531,False
m2_i_mmseg_care,2,6000,Case3033,COMPLETED,cuda,1.583,False
m2_i_mmseg_care,2,6000,Case3034,COMPLETED,cuda,1.751,False
m2_i_mmseg_care,2,6000,Case3038,COMPLETED,cuda,1.227,False
m2_i_mmseg_care,2,6000,Case3039,COMPLETED,cuda,1.567,False
m2_i_mmseg_care,3,500,Case2016,COMPLETED,cuda,1.696,False
m2_i_mmseg_care,3,500,Case2023,COMPLETED,cuda,1.298,False
m2_i_mmseg_care,3,500,Case2025,COMPLETED,cuda,1.445,False
m2_i_mmseg_care,3,500,Case2030,COMPLETED,cuda,1.073,False
m2_i_mmseg_care,3,500,Case2031,COMPLETED,cuda,1.281,False
m2_i_mmseg_care,3,500,Case3004,COMPLETED,cuda,1.503,False
m2_i_mmseg_care,3,500,Case3006,COMPLETED,cuda,1.48,False
m2_i_mmseg_care,3,500,Case3011,COMPLETED,cuda,1.275,False
m2_i_mmseg_care,3,500,Case3028,COMPLETED,cuda,1.673,False
m2_i_mmseg_care,3,500,Case3030,COMPLETED,cuda,1.537,False
m2_i_mmseg_care,3,500,Case3031,COMPLETED,cuda,1.352,False
m2_i_mmseg_care,3,500,Case3039,COMPLETED,cuda,1.523,False
m2_i_mmseg_care,3,500,Case3040,COMPLETED,cuda,1.603,False
m2_i_mmseg_care,3,1000,Case2016,COMPLETED,cuda,1.689,False
m2_i_mmseg_care,3,1000,Case2023,COMPLETED,cuda,1.31,False
m2_i_mmseg_care,3,1000,Case2025,COMPLETED,cuda,1.453,False
m2_i_mmseg_care,3,1000,Case2030,COMPLETED,cuda,1.078,False
m2_i_mmseg_care,3,1000,Case2031,COMPLETED,cuda,1.291,False
m2_i_mmseg_care,3,1000,Case3004,COMPLETED,cuda,1.524,False
m2_i_mmseg_care,3,1000,Case3006,COMPLETED,cuda,1.426,False
m2_i_mmseg_care,3,1000,Case3011,COMPLETED,cuda,1.327,False
m2_i_mmseg_care,3,1000,Case3028,COMPLETED,cuda,1.674,False
m2_i_mmseg_care,3,1000,Case3030,COMPLETED,cuda,1.546,False
m2_i_mmseg_care,3,1000,Case3031,COMPLETED,cuda,1.352,False
m2_i_mmseg_care,3,1000,Case3039,COMPLETED,cuda,1.533,False
m2_i_mmseg_care,3,1000,Case3040,COMPLETED,cuda,1.596,False
m2_i_mmseg_care,3,1500,Case2016,COMPLETED,cuda,1.703,False
m2_i_mmseg_care,3,1500,Case2023,COMPLETED,cuda,1.303,False
m2_i_mmseg_care,3,1500,Case2025,COMPLETED,cuda,1.461,False
m2_i_mmseg_care,3,1500,Case2030,COMPLETED,cuda,1.078,False
m2_i_mmseg_care,3,1500,Case2031,COMPLETED,cuda,1.274,False
m2_i_mmseg_care,3,1500,Case3004,COMPLETED,cuda,1.507,False
m2_i_mmseg_care,3,1500,Case3006,COMPLETED,cuda,1.434,False
m2_i_mmseg_care,3,1500,Case3011,COMPLETED,cuda,1.319,False
m2_i_mmseg_care,3,1500,Case3028,COMPLETED,cuda,1.67,False
m2_i_mmseg_care,3,1500,Case3030,COMPLETED,cuda,1.521,False
m2_i_mmseg_care,3,1500,Case3031,COMPLETED,cuda,1.353,False
m2_i_mmseg_care,3,1500,Case3039,COMPLETED,cuda,1.517,False
m2_i_mmseg_care,3,1500,Case3040,COMPLETED,cuda,1.597,False
m2_i_mmseg_care,3,2000,Case2016,COMPLETED,cuda,1.682,False
m2_i_mmseg_care,3,2000,Case2023,COMPLETED,cuda,1.249,False
m2_i_mmseg_care,3,2000,Case2025,COMPLETED,cuda,1.483,False
m2_i_mmseg_care,3,2000,Case2030,COMPLETED,cuda,1.065,False
m2_i_mmseg_care,3,2000,Case2031,COMPLETED,cuda,1.265,False
m2_i_mmseg_care,3,2000,Case3004,COMPLETED,cuda,1.492,False
m2_i_mmseg_care,3,2000,Case3006,COMPLETED,cuda,1.424,False
m2_i_mmseg_care,3,2000,Case3011,COMPLETED,cuda,1.33,False
m2_i_mmseg_care,3,2000,Case3028,COMPLETED,cuda,1.655,False
m2_i_mmseg_care,3,2000,Case3030,COMPLETED,cuda,1.517,False
m2_i_mmseg_care,3,2000,Case3031,COMPLETED,cuda,1.343,False
m2_i_mmseg_care,3,2000,Case3039,COMPLETED,cuda,1.515,False
m2_i_mmseg_care,3,2000,Case3040,COMPLETED,cuda,1.639,False
m2_i_mmseg_care,3,2500,Case2016,COMPLETED,cuda,1.703,False
m2_i_mmseg_care,3,2500,Case2023,COMPLETED,cuda,1.251,False
m2_i_mmseg_care,3,2500,Case2025,COMPLETED,cuda,1.5,False
m2_i_mmseg_care,3,2500,Case2030,COMPLETED,cuda,1.071,False
m2_i_mmseg_care,3,2500,Case2031,COMPLETED,cuda,1.278,False
m2_i_mmseg_care,3,2500,Case3004,COMPLETED,cuda,1.527,False
m2_i_mmseg_care,3,2500,Case3006,COMPLETED,cuda,1.433,False
