lane,fold,checkpoint_step,case_id,status,device,elapsed_seconds,outer_cases_accessed
m1_myopsnet_l_care,2,500,Case2001,COMPLETED,cuda,8.118,False
m1_myopsnet_l_care,2,500,Case2010,COMPLETED,cuda,1.54,False
m1_myopsnet_l_care,2,500,Case2011,COMPLETED,cuda,1.896,False
m1_myopsnet_l_care,2,500,Case2012,COMPLETED,cuda,1.024,False
m1_myopsnet_l_care,2,500,Case2026,COMPLETED,cuda,1.365,False
m1_myopsnet_l_care,2,500,Case2029,COMPLETED,cuda,1.373,False
m1_myopsnet_l_care,2,500,Case3004,COMPLETED,cuda,1.312,False
m1_myopsnet_l_care,2,500,Case3018,COMPLETED,cuda,1.343,False
m1_myopsnet_l_care,2,500,Case3022,COMPLETED,cuda,1.517,False
m1_myopsnet_l_care,2,500,Case3033,COMPLETED,cuda,1.492,False
m1_myopsnet_l_care,2,500,Case3034,COMPLETED,cuda,1.652,False
m1_myopsnet_l_care,2,500,Case3038,COMPLETED,cuda,1.293,False
m1_myopsnet_l_care,2,500,Case3039,COMPLETED,cuda,1.43,False
m1_myopsnet_l_care,2,1000,Case2001,COMPLETED,cuda,7.274,False
m1_myopsnet_l_care,2,1000,Case2010,COMPLETED,cuda,1.527,False
m1_myopsnet_l_care,2,1000,Case2011,COMPLETED,cuda,1.813,False
m1_myopsnet_l_care,2,1000,Case2012,COMPLETED,cuda,0.968,False
m1_myopsnet_l_care,2,1000,Case2026,COMPLETED,cuda,1.264,False
m1_myopsnet_l_care,2,1000,Case2029,COMPLETED,cuda,1.355,False
m1_myopsnet_l_care,2,1000,Case3004,COMPLETED,cuda,1.218,False
m1_myopsnet_l_care,2,1000,Case3018,COMPLETED,cuda,1.403,False
m1_myopsnet_l_care,2,1000,Case3022,COMPLETED,cuda,1.49,False
m1_myopsnet_l_care,2,1000,Case3033,COMPLETED,cuda,1.302,False
m1_myopsnet_l_care,2,1000,Case3034,COMPLETED,cuda,1.578,False
m1_myopsnet_l_care,2,1000,Case3038,COMPLETED,cuda,1.23,False
m1_myopsnet_l_care,2,1000,Case3039,COMPLETED,cuda,1.477,False
m1_myopsnet_l_care,2,1500,Case2001,COMPLETED,cuda,8.235,False
m1_myopsnet_l_care,2,1500,Case2010,COMPLETED,cuda,1.311,False
m1_myopsnet_l_care,2,1500,Case2011,COMPLETED,cuda,1.771,False
m1_myopsnet_l_care,2,1500,Case2012,COMPLETED,cuda,1.057,False
m1_myopsnet_l_care,2,1500,Case2026,COMPLETED,cuda,1.247,False
m1_myopsnet_l_care,2,1500,Case2029,COMPLETED,cuda,1.324,False
m1_myopsnet_l_care,2,1500,Case3004,COMPLETED,cuda,1.067,False
m1_myopsnet_l_care,2,1500,Case3018,COMPLETED,cuda,1.334,False
m1_myopsnet_l_care,2,1500,Case3022,COMPLETED,cuda,1.314,False
m1_myopsnet_l_care,2,1500,Case3033,COMPLETED,cuda,1.278,False
m1_myopsnet_l_care,2,1500,Case3034,COMPLETED,cuda,1.6,False
m1_myopsnet_l_care,2,1500,Case3038,COMPLETED,cuda,1.155,False
m1_myopsnet_l_care,2,1500,Case3039,COMPLETED,cuda,1.208,False
m1_myopsnet_l_care,2,2000,Case2001,COMPLETED,cuda,7.526,False
m1_myopsnet_l_care,2,2000,Case2010,COMPLETED,cuda,1.548,False
m1_myopsnet_l_care,2,2000,Case2011,COMPLETED,cuda,1.795,False
m1_myopsnet_l_care,2,2000,Case2012,COMPLETED,cuda,1.012,False
m1_myopsnet_l_care,2,2000,Case2026,COMPLETED,cuda,1.265,False
m1_myopsnet_l_care,2,2000,Case2029,COMPLETED,cuda,1.34,False
m1_myopsnet_l_care,2,2000,Case3004,COMPLETED,cuda,1.256,False
m1_myopsnet_l_care,2,2000,Case3018,COMPLETED,cuda,1.326,False
m1_myopsnet_l_care,2,2000,Case3022,COMPLETED,cuda,1.493,False
