group,split,case_count,care_dice,nnunet_dice,delta_care_minus_nnunet,care_help_count,care_harm_count,tie_count,care_sensitivity,nnunet_sensitivity,care_precision,nnunet_precision,care_hd95,nnunet_hd95,care_empty_prediction_count_from_blank_precision,nnunet_empty_prediction_count_from_blank_precision,care_volume_ratio,nnunet_volume_ratio,volume_ratio_status
all_outer_scar,fold2,44,0.5673467786858978,0.5908055611870536,-0.02345878250115585,18,23,3,0.5752265724823633,0.6428486219364221,0.6383805881207208,0.5949297838833869,45477.19191820296,45476.25218996823,1,1,1.0115837398012775,1.2354306374611737,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
all_outer_scar,fold3,44,0.2177327306115833,0.5217758252384583,-0.30404309462687507,6,35,3,0.2393078251502002,0.5394784421648652,0.6509806581747136,0.6034477301986397,659094.445027459,45474.353652855265,28,1,0.4368242611411569,0.9829926870365099,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
all_outer_scar,combined,88,0.3925397546487405,0.5562906932127559,-0.1637509385640154,24,58,6,0.4032681661099465,0.5899329346724108,0.6417975562709561,0.5991887570410133,352285.818472831,45475.30292141175,29,2,0.7173616257252633,1.1062064485533103,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,fold2,16,0.6942709895085841,0.6980132979009155,-0.0037423083923313616,10,6,0,0.718926988785074,0.7503692922332948,0.707285273417822,0.6876088975224894,28.11881492783835,31.193280429144465,0,0,1.1476353285886507,1.2938330029732632,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,fold3,16,0.598765009181854,0.6470756079569608,-0.048310598775106794,6,9,1,0.6860157654305739,0.7577687918121438,0.6509806581747136,0.6652348209043499,62509.72382551212,62511.31064113309,0,0,1.2522295486046497,1.4296220430263538,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,combined,32,0.646517999345219,0.6725444529289382,-0.026026453583719134,16,15,1,0.703002203290961,0.7539496952553185,0.6791329657962678,0.6764218592134197,31268.92132021998,31271.251960781115,0,0,1.1982454350480052,1.3595373771925008,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,fold2,28,0.49481865821579124,0.5295439973505611,-0.034725339134769884,8,17,3,0.4832583060486285,0.5740353929464235,0.5975481820187349,0.5400088276528076,71448.09083436016,71444.85728113343,1,1,0.9245107229773585,1.1980531235334366,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,fold3,28,0.0,0.450175949399314,-0.450175949399314,0,26,2,0.0,0.4225371834252516,,0.5668331579285892,1000000.0,35738.94965955365,28,1,0.0,0.7437269606133794,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,combined,56,0.24740932910789562,0.4898599733749376,-0.24245064426704196,8,43,5,0.22795203115501345,0.49399860301071,0.5975481820187349,0.5534209927906985,535724.04541718,53591.90347034354,29,2,0.43608996366856534,0.958031754443595,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,fold2,16,0.5128261279985638,0.5065775625150701,0.006248565483493618,11,5,0,0.508123546474069,0.48974958582306194,0.5846476411585633,0.6369578886565302,33.880727556575614,24.374850838831595,0,0,0.8774468326360417,0.8516006779180726,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,fold3,16,0.44886345329808053,0.44379895007065956,0.005064503227420969,9,7,0,0.41947952677373,0.4019346844366183,0.5779245920024177,0.5917020272850376,28.33981661558227,26.048275186084794,0,0,0.7948563456235412,0.7361698860764362,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,combined,32,0.48084479064832214,0.4751882562928649,0.005656534355457266,20,12,0,0.4638015366238995,0.4458421351298401,0.5812861165804906,0.6143299579707839,31.11027208607894,25.211563012458196,0,0,0.8361515891297915,0.7938852819972544,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,fold2,7,0.7014092613165309,0.7028320117887606,-0.001422750472229728,5,2,0,0.6697763147955718,0.68758497653724,0.741862771322537,0.7237925789969627,11.783012203290955,11.935278554451939,0,0,0.8985687779086111,0.9435035500324606,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,fold3,7,0.6295439103075313,0.7154797636566285,-0.08593585334909715,2,5,0,0.6267527038234827,0.7191126212019922,0.6917829938216725,0.7571381981689002,11.70120891012491,13.70921256920637,0,0,0.8774709399351014,1.0134159527377018,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,combined,14,0.6654765858120311,0.7091558877226944,-0.04367930191066338,7,7,0,0.6482645093095272,0.7033487988696161,0.7168228825721047,0.7404653885829314,11.742110556707933,12.822245561829153,0,0,0.8880198589218562,0.9784597513850812,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,fold2,7,0.6070910430539426,0.6178153508032873,-0.010724307749344741,3,4,0,0.6142973164578287,0.6134297067851948,0.6796423142712917,0.6894628197282033,14.704909246449091,13.309147601843518,0,0,0.9719087402016202,0.9591833373714448,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,fold3,7,0.5136044409719672,0.524436335781799,-0.010831894809831821,3,4,0,0.5122766451519062,0.5100977581105364,0.5774771765851751,0.5779246719356281,22.08960898643884,20.595862253608857,0,0,0.9132092365142134,0.9051388781940536,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,combined,14,0.560347742012955,0.5711258432925432,-0.010778101279588226,6,8,0,0.5632869808048675,0.5617637324478656,0.6285597454282333,0.6336937458319156,18.397259116443966,16.95250492772619,0,0,0.9425589883579167,0.9321611077827493,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,fold2,9,0.6887190003246256,0.6942654093214803,-0.005546408996854657,5,4,0,0.7571552907769089,0.7992015377746707,0.6803916639363771,0.6594660341534547,40.82443926915299,46.1717263316831,0,0,1.3413537568953484,1.566311466371665,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,fold3,9,0.5748258638618827,0.5938723757461084,-0.01904651188422568,4,4,1,0.7378709443367787,0.7915929410960265,0.619245508227079,0.5937544163652554,111119.29697175811,111120.55619668278,0,0,1.5801433311905044,1.7938023720289245,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,combined,18,0.6317724320932542,0.6440688925337944,-0.012296460440540224,9,8,1,0.7480803042168477,0.7956210216906029,0.649818586081728,0.6266102252593551,55580.06070551363,55583.36396150723,0,0,1.4537253212695394,1.6733660102103753,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,fold2,9,0.4395089718443801,0.4200592827353457,0.019449689109034385,8,1,0,0.42554394759781133,0.39355393618584755,0.510762895404219,0.5961207200452291,48.79525290889624,32.981508912044546,0,0,0.8039764600850361,0.7679252761210054,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,fold3,9,0.3985093517739464,0.38108098340644,0.01742836836750644,6,3,0,0.3473039902573708,0.3178078493569042,0.5782725817713843,0.6024177481123562,33.20108921602716,30.289040800232744,0,0,0.7028040971530184,0.6047495588738447,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,combined,18,0.41900916180916326,0.40057013307089284,0.018439028738270413,14,4,0,0.38642396892759107,0.3556808927713759,0.5445177385878016,0.5992692340787926,40.998171062461694,31.635274856138647,0,0,0.7533902786190273,0.686337417497425,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
