group,split,case_count,care_dice,nnunet_dice,delta_care_minus_nnunet,care_help_count,care_harm_count,tie_count,care_sensitivity,nnunet_sensitivity,care_precision,nnunet_precision,care_hd95,nnunet_hd95,care_empty_prediction_count_from_blank_precision,nnunet_empty_prediction_count_from_blank_precision,care_volume_ratio,nnunet_volume_ratio,volume_ratio_status
all_outer_scar,fold2,44,0.5295093412652231,0.5907815469362789,-0.061272205671055846,16,25,3,0.5202479069264747,0.6428213653241673,0.6661295409946211,0.5949104481443517,45479.67123557849,45476.25239714936,1,1,0.8938177629404094,1.2354645766573629,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
all_outer_scar,fold3,44,0.3722464024206817,0.521762697020792,-0.14951629460011034,10,32,2,0.3322655663247595,0.5394792802333,0.7242047537376528,0.6034643653029584,204562.84581715698,45474.35365926775,10,1,0.5570775846399508,0.9830039354130072,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
all_outer_scar,combined,88,0.4508778718429523,0.5562721219785355,-0.10539425013558318,26,57,5,0.4240188516184537,0.5899200598609852,0.6917731414266087,0.5991874067236552,125021.2585263677,45475.303028208546,11,2,0.7214388621437463,1.1062287722108475,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,fold2,16,0.7041290341166848,0.6979693557646722,0.0061596783520125875,11,5,0,0.7371074192404358,0.750334723649224,0.7053213886527844,0.6875646093157948,29.27075614735829,31.193280429144462,0,0,1.1765919099776354,1.2939623394402084,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,fold3,16,0.6544408813826648,0.6470501054260303,0.00739077595663451,8,8,0,0.6633914607901991,0.757765888133387,0.7388814707777208,0.6652781881544897,62508.37516723415,62511.31064113309,2,0,1.1775373942250391,1.429507501213633,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
complete_tri_modal_scar,combined,32,0.6792849577496749,0.6725097305953514,0.006775227154323549,19,13,0,0.7014384070870956,0.7539304483996255,0.7209827603110881,0.6764213987351424,31268.822961690756,31271.251960781115,2,0,1.1770494023554112,1.3595487080402524,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,fold2,28,0.4297266596358165,0.5295313704629112,-0.09980471082709469,5,20,3,0.3814578190455397,0.5740128159961306,0.6429047423823763,0.5400042785612743,71451.32865239629,71444.85760670375,1,1,0.7128423088365848,1.1980260084763414,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,fold3,28,0.2109924144424056,0.45016989221779874,-0.23917747777539314,2,24,2,0.15487669428970255,0.4225400260011104,0.7139310518096049,0.5668339517613101,285736.82904568425,35738.94966963042,8,1,0.2246884009336536,0.7438055965912435,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
partial_modality_scar,combined,56,0.3203595370391111,0.48985063134035495,-0.16949109430124387,7,44,5,0.2617545833254748,0.4939894552440446,0.6731287038407715,0.5534191151612924,178594.07884904026,53591.90363816708,9,2,0.4549496782463569,0.9580605078577994,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,fold2,16,0.5074194166598365,0.5065977328131828,0.0008216838466537091,6,10,0,0.48205923839243303,0.48977992667856934,0.634696580806988,0.6369764761639711,25.207658106419842,24.374485414567893,0,0,0.8157290362958104,0.8515079523603492,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,fold3,16,0.39324223035262673,0.44379342833801727,-0.05055119798539054,6,10,0,0.3428504667646082,0.4019679721184303,0.6343913833772383,0.591657460242489,62528.73843770402,26.046645614779763,1,0,0.5855832820037522,0.7363935389819696,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
pure_edema_t2_present,combined,32,0.45033082350623155,0.4751955805756001,-0.024864757069368526,12,20,0,0.4124548525785206,0.4458739493984999,0.6345489046313028,0.61431696820323,31276.97304790522,25.210565514673828,1,0,0.7006561591497812,0.7939507456711593,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,fold2,7,0.7199068520377787,0.7027605727013266,0.017146279336452075,5,2,0,0.6984520129710063,0.6875059626307927,0.7492736048879296,0.723734923103519,11.147961245271988,11.935278554451937,0,0,0.9366353789530119,0.9434245361260132,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,fold3,7,0.6175101112133795,0.7152738586398968,-0.09776374742651728,3,4,0,0.6033525247992595,0.7188884426771639,0.7616262251777358,0.7571875202585625,142865.84257863663,13.70921256920637,1,0,0.8147274912106541,1.0131250824213214,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_scar,combined,14,0.6687084816255792,0.7090172156706116,-0.040308734045032435,8,6,0,0.650902268885133,0.7031972026539781,0.7549748142524556,0.7404612216810407,71438.49526994095,12.822245561829153,1,0,0.875681435081833,0.9782748092736673,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,fold2,7,0.6087131935280635,0.617818519342841,-0.00910532581477752,3,4,0,0.6006511371170402,0.6134634154078604,0.7093177095776498,0.6894499923805979,14.381531122494925,13.30831234638363,0,0,0.9272199457432274,0.9591833373714449,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,fold3,7,0.4388064749636218,0.5243482975179183,-0.08554182255429654,2,5,0,0.40659863528847356,0.5101092906286179,0.6237261548160863,0.5777439753210094,142876.43094438393,20.592149310136325,1,0,0.668859072502275,0.9054126453776548,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerB_complete_edema,combined,14,0.5237598342458426,0.5710834084303796,-0.04732357418453703,5,9,0,0.5036248862027569,0.5617863530182391,0.6698139150723128,0.6335969838508035,71445.40623775321,16.95023082825998,1,0,0.7980395091227513,0.9322979913745498,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,fold2,9,0.6918573979558339,0.69424285370283,-0.0023854557469961124,6,3,0,0.7671727352277694,0.7992015377746707,0.6711363315810046,0.6594321430364538,43.36626329342542,46.1717263316831,0,0,1.3632247674412319,1.566602853129027,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,fold3,9,0.6831648137365531,0.5939871862596896,0.08917762747686353,5,4,0,0.715925529782271,0.7917836529075823,0.7218229049777096,0.5937931520735443,8.122736143350933,111120.55619668278,1,0,1.494996059362626,1.7938421176569055,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_scar,combined,18,0.6875111058461936,0.64411501998126,0.0433960858649336,11,7,0,0.7430564032534174,0.7957107684254526,0.6949888367088657,0.6266126475549991,25.744499718388173,55583.36396150723,1,0,1.4252347871689468,1.6735389776127345,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,fold2,9,0.4286353679845487,0.4200926766234487,0.00854269136110003,3,6,0,0.38982109493996075,0.39358165766689857,0.5766579250964733,0.596163741328817,33.627979093917,32.981508912044546,0,0,0.7290138845033751,0.7677604306850526,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,fold3,9,0.35780337343296387,0.38113964119809407,-0.023336267765130203,4,5,0,0.293268557912713,0.31785805772161774,0.6415015357513396,0.6024790596258621,36.08871028630728,30.289031629502446,0,0,0.5208132227271234,0.6049342340075478,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
centerC_complete_edema,combined,18,0.39321937070875634,0.4006161589107714,-0.007396788202015059,7,11,0,0.3415448264263368,0.3557198576942581,0.6090797304239064,0.5993214004773395,34.85834469011215,31.635270270773496,0,0,0.6249135536152493,0.6863473323463002,DIAGNOSTIC_ONLY_FROM_SEPARATE_VOLUME_RATIO_CSV
