fold,checkpoint_step,case_id,role,center,t2_present,changed_voxels,scar_dice_normal,scar_dice_no_extent_wall,scar_dice_delta_no_extent_minus_normal,scar_sensitivity_delta,scar_precision_delta,scar_volume_ratio_delta,empty_prediction_rescued,gt_scar_z_scar_delta_no_extent_minus_normal,gt_scar_margin_delta_no_extent_minus_normal
2,2000,Case1079,inner,CenterA,false,76,0.7832884097,0.7805145047,-0.002773905051,-0.01404056162,0.01070669903,-0.02912116485,false,-0.7132804644,-0.7132804669
2,2000,Case1031,inner,CenterA,false,0,0.8614699332,0.8614699332,0,0,0,0,false,0,0
2,2000,Case1035,inner,CenterA,false,0,0.8460355195,0.8460355195,0,0,0,0,false,0,0
2,2000,Case1001,actual-train,CenterA,false,19,0.9119385343,0.9145728643,0.002634330043,0.002232142857,0.003123331933,-0.0005580357143,false,-0.2786592217,-0.2786592244
2,2000,Case1002,actual-train,CenterA,false,95,0.8954340836,0.8910737387,-0.004360344921,-0.008971871969,0.001637460801,-0.01091173618,false,-0.4712763189,-0.4712763155
2,2000,Case1004,actual-train,CenterA,false,144,0.8800582639,0.8784790457,-0.00157921817,-0.004961460087,0.002231288464,-0.007796580136,false,-0.437757768,-0.4377577681
2,2000,Case2002,actual-train,CenterB,true,0,0.9616313389,0.9616313389,0,0,0,0,false,0,0
2,6000,Case1079,inner,CenterA,false,167,0.2228310502,0.09391992091,-0.1289111293,-0.07748309932,0.0361423221,-0.08684347374,false,-0.8547085483,-0.8547085457
2,6000,Case1031,inner,CenterA,false,0,0.3371960176,0.3371960176,0,0,0,0,false,0,0
2,6000,Case1035,inner,CenterA,false,0,0.3768444949,0.3768444949,0,0,0,0,false,0,0
2,6000,Case1001,actual-train,CenterA,false,168,0.8193136957,0.7808,-0.03851369572,-0.07198660714,0.01649462999,-0.09375,false,-0.9456475367,-0.9456475387
2,6000,Case1002,actual-train,CenterA,false,419,0.6170509052,0.5347452019,-0.0823057033,-0.0916585839,-0.01083440217,-0.101600388,false,-0.981327886,-0.9813278815
2,6000,Case1004,actual-train,CenterA,false,1981,0.6152059011,0.462851142,-0.1523547591,-0.1568175777,-0.0002017288728,-0.1755116506,false,-0.9424511582,-0.9424511579
2,6000,Case2002,actual-train,CenterB,true,0,0.9376344086,0.9376344086,0,0,0,0,false,0,0
3,2000,Case1007,inner,CenterA,false,107,0.8155603917,0.7994405594,-0.01611983229,-0.03522898842,0.01236665459,-0.05083039758,false,-0.4737679955,-0.473768
3,2000,Case1021,inner,CenterA,false,86,0.8913612565,0.8849206349,-0.006440621624,-0.01486068111,0.004432691791,-0.01981424149,false,-0.386848947,-0.3868489434
3,2000,Case1024,inner,CenterA,false,0,0.8391954152,0.8391954152,0,0,0,0,false,0,0
3,2000,Case1001,actual-train,CenterA,false,22,0.9250146456,0.9210371243,-0.00397752124,-0.008928571429,0.002165911599,-0.01116071429,false,-0.3110240632,-0.3110240699
3,2000,Case1002,actual-train,CenterA,false,142,0.8936493852,0.8809800129,-0.01266937233,-0.02643064985,0.004532681721,-0.03249272551,false,-0.5590793524,-0.5590793511
3,2000,Case1003,actual-train,CenterA,false,129,0.8994117647,0.8874906367,-0.011921128,-0.0264681555,0.008028079771,-0.03446374414,false,-0.3821376588,-0.3821376569
3,2000,Case2001,actual-train,CenterB,true,0,0.9608305805,0.9608305805,0,0,0,0,false,0,0
3,6000,Case1007,inner,CenterA,false,0,0,0,0,0,0,0,false,-1.109979169,-1.10997917
3,6000,Case1021,inner,CenterA,false,0,0,0,0,0,0,0,false,-1.025861325,-1.025861347
3,6000,Case1024,inner,CenterA,false,0,0,0,0,0,0,0,false,0,0
3,6000,Case1001,actual-train,CenterA,false,0,0,0,0,0,0,0,false,-1.125031512,-1.125031521
3,6000,Case1002,actual-train,CenterA,false,0,0,0,0,0,0,0,false,-1.018611649,-1.018611647
3,6000,Case1003,actual-train,CenterA,false,0,0,0,0,0,0,0,false,-1.097482978,-1.097482965
3,6000,Case2001,actual-train,CenterB,true,0,0.9401873649,0.9401873649,0,0,0,0,false,0,0
