fold,checkpoint_step,case_id,role,center,t2_present,changed_voxels,scar_dice_normal,scar_dice_no_extent_wall,scar_dice_delta_no_extent_minus_normal,scar_sensitivity_delta,scar_precision_delta,scar_volume_ratio_delta,empty_prediction_rescued,gt_scar_z_scar_delta_no_extent_minus_normal,gt_scar_margin_delta_no_extent_minus_normal
2,4000,Case1079,inner,CenterA,false,535,0.6696349065,0.534932957,-0.1347019495,-0.1924076963,0.0519697018,-0.2782111284,false,-1.276847004,-1.276846999
2,4000,Case1031,inner,CenterA,false,0,0.6350404313,0.6350404313,0,0,0,0,false,0,0
2,4000,Case1035,inner,CenterA,false,0,0.5940111421,0.5940111421,0,0,0,0,false,0,0
2,4000,Case1001,actual-train,CenterA,false,111,0.8941176471,0.8928079361,-0.001309710988,-0.02901785714,0.02355639663,-0.06194196429,false,-1.290663686,-1.290663692
2,4000,Case1002,actual-train,CenterA,false,464,0.7979175229,0.7379663497,-0.05995117328,-0.09456838021,0.0131186737,-0.1125121242,false,-1.273266738,-1.273266735
2,4000,Case1004,actual-train,CenterA,false,1660,0.807004151,0.7375511685,-0.06945298251,-0.1187206521,0.01391290855,-0.1470718526,false,-1.227484057,-1.227484057
2,4000,Case2002,actual-train,CenterB,true,0,0.938620315,0.938620315,0,0,0,0,false,0,0
3,4000,Case1007,inner,CenterA,false,526,0.6386654751,0.447191805,-0.1914736701,-0.2209360845,-0.03248175182,-0.2647206844,false,-1.362480981,-1.36248099
3,4000,Case1021,inner,CenterA,false,589,0.7427840701,0.6059365404,-0.1368475297,-0.1712074303,-0.01171166077,-0.1823529412,false,-1.187291882,-1.187291881
3,4000,Case1024,inner,CenterA,false,0,0.5580350877,0.5580350877,0,0,0,0,false,0,0
3,4000,Case1001,actual-train,CenterA,false,468,0.8324558687,0.6555595799,-0.1768962888,-0.2449776786,-0.001329308781,-0.2611607143,false,-1.397545829,-1.397545834
3,4000,Case1002,actual-train,CenterA,false,1044,0.7651856018,0.5804218853,-0.1847637165,-0.2327837051,-0.00477837275,-0.2531522793,false,-1.427438198,-1.427438202
3,4000,Case1003,actual-train,CenterA,false,458,0.8403755869,0.7785467128,-0.06182887405,-0.1072511718,0.008174268032,-0.1262751585,false,-1.441450147,-1.441450147
3,4000,Case2001,actual-train,CenterB,true,0,0.937986324,0.937986324,0,0,0,0,false,0,0
