fold,checkpoint_step,role,region,case_count,margin_mean,margin_median,margin_frac_gt0,scar_half_logit_mean,scar_full_logit_mean,z_scar_mean,anatomy_class1_logit_mean
2,2000,actual-train,gt_scar_voxels,4,6.2799703,7.189493358,0.9327325521,7.991745038,6.037054924,6.037054924,0.05400795107
2,2000,actual-train,non_scar_myocardium_voxels,4,-17.7011451,-18.36992943,0.009473121002,-11.26727817,-8.01660026,-8.01660026,10.50411193
2,2000,actual-train,predicted_scar_voxels,4,7.090908223,7.433666706,1,8.705792472,6.719601444,6.719601444,-0.05118996952
2,2000,inner,gt_scar_voxels,3,3.626010584,5.03424414,0.8359195166,6.060251962,4.398060325,4.398060325,1.009809896
2,2000,inner,non_scar_myocardium_voxels,3,-15.67804989,-16.71493435,0.01853610962,-8.45602396,-6.952035383,-6.952035383,9.078693179
2,2000,inner,predicted_scar_voxels,3,5.516586171,5.671701273,1,7.602794004,5.792692606,5.792692606,0.5277169192
2,4000,actual-train,gt_scar_voxels,4,3.658365131,4.551816285,0.8529571745,9.318532822,6.111062084,6.111062084,3.400550576
2,4000,actual-train,non_scar_myocardium_voxels,4,-15.92674556,-16.74978328,0.0108425875,-12.73902281,-10.86734394,-10.86734394,6.042498112
2,4000,actual-train,predicted_scar_voxels,4,4.742916696,5.044683397,1,10.38975661,7.025012127,7.025012127,3.274038957
2,4000,inner,gt_scar_voxels,3,-0.7938488825,0.2955364386,0.5429266336,5.931225029,3.982493597,3.982493597,5.201958147
2,4000,inner,non_scar_myocardium_voxels,3,-14.61520052,-15.5911452,0.006268769694,-9.442913319,-9.052094425,-9.052094425,6.000825658
2,4000,inner,predicted_scar_voxels,3,2.393315555,2.320245465,1,9.531722672,6.665168175,6.665168175,4.744667239
2,6000,actual-train,gt_scar_voxels,4,1.585661137,2.722617984,0.6741811657,9.928547991,6.247516677,6.247516677,5.379212184
2,6000,actual-train,non_scar_myocardium_voxels,4,-19.37582212,-20.01884031,0.001510232322,-17.9237657,-12.56201145,-12.56201145,7.530805882
2,6000,actual-train,predicted_scar_voxels,4,3.891204136,3.994555175,1,12.11473559,7.808987805,7.808987805,4.675636289
2,6000,inner,gt_scar_voxels,3,-4.388417454,-2.489592155,0.2085991713,5.287388406,3.252808654,3.252808654,7.926128956
2,6000,inner,non_scar_myocardium_voxels,3,-17.52633061,-18.05485249,0.0002417481486,-14.03917561,-10.43796459,-10.43796459,7.402323041
2,6000,inner,predicted_scar_voxels,3,1.178286925,0.987296899,1,11.77572603,7.657439051,7.657439051,6.796116238
3,2000,actual-train,gt_scar_voxels,4,8.063960798,9.050964774,0.9460286148,9.222292032,6.846440421,6.846440421,-0.9044601092
3,2000,actual-train,non_scar_myocardium_voxels,4,-18.48894683,-19.10283351,0.005108702316,-13.45114416,-9.301348718,-9.301348718,10.15651667
3,2000,actual-train,predicted_scar_voxels,4,8.802244858,9.308789969,1,9.970751185,7.479799155,7.479799155,-1.010532177
3,2000,inner,gt_scar_voxels,3,4.431771731,5.301897685,0.8985939733,6.360255767,4.77728785,4.77728785,0.6323884331
3,2000,inner,non_scar_myocardium_voxels,3,-16.5949665,-17.57132339,0.01446139949,-11.79607728,-8.249801277,-8.249801277,9.199423351
3,2000,inner,predicted_scar_voxels,3,5.554867125,5.788563331,1,7.58382476,5.819857829,5.819857829,0.571365027
3,4000,actual-train,gt_scar_voxels,4,2.355222287,3.470966697,0.7993910092,8.585727729,7.323372377,7.323372377,6.034758635
3,4000,actual-train,non_scar_myocardium_voxels,4,-19.30917665,-20.13972473,0.003496108238,-16.81657616,-12.2768785,-12.2768785,8.13531189
3,4000,actual-train,predicted_scar_voxels,4,3.762938029,3.926624417,1,10.06149873,8.775589317,8.775589317,6.133618044
3,4000,inner,gt_scar_voxels,3,-0.8782292738,0.5542435646,0.5718111136,5.334022263,4.222266953,4.222266953,5.950420517
3,4000,inner,non_scar_myocardium_voxels,3,-18.48762308,-19.33856837,0.004546284656,-14.47447006,-10.89757988,-10.89757988,8.5926542
3,4000,inner,predicted_scar_voxels,3,1.894964098,1.93947641,1,7.711259512,6.79671947,6.79671947,5.813158612
3,6000,actual-train,gt_scar_voxels,4,-16.08123697,-15.76138795,0.2311739944,10.33931498,5.771892154,5.771892154,22.66341066
3,6000,actual-train,non_scar_myocardium_voxels,4,-27.45702059,-27.96486974,0.000296409214,-22.61948433,-20.58830823,-20.58830823,7.667907476
3,6000,actual-train,predicted_scar_voxels,4,10.60368368,11.05923462,1,17.3233179,12.57864364,12.57864364,1.974959969
3,6000,inner,gt_scar_voxels,3,-24.56038334,-24.51094182,0,7.325045805,2.391513946,2.391513946,27.66384412
3,6000,inner,non_scar_myocardium_voxels,3,-28.65017436,-28.88940048,0,-21.43647599,-21.12942076,-21.12942076,8.254149371
3,6000,inner,predicted_scar_voxels,3,,,,,,,
