sha256,size,count,paths
d9ae72caaf75c5c3ecbd6c8e78f25290be557a9b33b644f5e76f839ffd38a9d8,2357,78,results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch025_93256497_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch050_2d9cfeb3_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch075_122db2bc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch100_9cc176bf_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch125_b716348e_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch150_928c1316_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch175_761886e1_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch200_ea060f90_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch225_94793fe9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch250_eff5957d_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch275_04b58946_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch300_bc34a4ee_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch325_f028ecf7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch350_b39bdd41_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260723_epoch375_b37dfb3a_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch025_a422b411_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch050_84d7ea07_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch075_23e556a0_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch100_fc0bccdc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch125_3e1214b7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch150_77447721_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch175_63ec68b7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch200_733ec261_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch225_dea663bf_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch250_8410cea6_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch275_cf77c5a1_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch300_ed2e0e2b_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch325_e4ea4b5b_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch350_2f8f82bb_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_legacy_seed20260724_epoch375_b4e2e154_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch025_69768080_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch050_6b4f8606_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch075_03fe804f_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch100_6ffb6cbb_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch125_7fc1fcf4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch150_e29829d4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch175_13f255b7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch200_503b089d_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch225_514013f8_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch250_60e81932_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch275_46c66176_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch300_e464a8f9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch325_581ea153_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch350_6e5c3da7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch375_92668083_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch400_750f4d78_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch425_33807da6_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch450_bd15be72_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch475_84047dcc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260723_epoch500_d877aea7_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch025_1ecb92ac_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch050_fe9ca2b9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch075_29ca01ac_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch100_876f24cd_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch125_310642ab_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch150_098b8175_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch175_ef5a9678_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch200_74eb2133_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch225_d37dd23c_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch250_dfaf49e5_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch275_c52c721a_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch300_c7039c44_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch325_b471d9e1_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch350_922f28b5_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch375_bf439be4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch400_2618be9d_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch425_0c5647ec_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch450_8987dc3b_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch475_e285afa1_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_student_direct_reliable_seed20260724_epoch500_b428d539_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260723_epoch025_5789ad44_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260723_epoch050_e92521fc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260723_epoch075_06e79233_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260723_epoch100_fd345b43_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260724_epoch025_b65f64b2_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260724_epoch050_016ad000_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260724_epoch075_74efedf6_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/screen_teacher_full_view_seed20260724_epoch100_9e689102_sliding_window_receipt.csv
0c51969ec0e40721bc1b91a193558e35ef74b7d4c9c6ec8dcc1089b1d10fea12,4541,24,results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_legacy_seed20260723_epoch150_928c1316_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_legacy_seed20260723_epoch225_94793fe9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_legacy_seed20260724_epoch150_77447721_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_legacy_seed20260724_epoch200_733ec261_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260723_e29829d4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260723_epoch150_e29829d4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260724_epoch050_fe9ca2b9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260724_epoch250_dfaf49e5_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_direct_reliable_seed20260724_fe9ca2b9_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_moddrop_control_seed20260723_d8d22dc3_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_moddrop_control_seed20260723_epoch025_d8d22dc3_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_moddrop_control_seed20260724_59128187_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_moddrop_control_seed20260724_epoch025_59128187_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_reliable_distill_seed20260723_36672249_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_reliable_distill_seed20260723_epoch025_36672249_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_reliable_distill_seed20260724_epoch025_f68849c8_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_student_reliable_distill_seed20260724_f68849c8_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260723_e92521fc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260723_epoch050_e92521fc_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260723_epoch075_06e79233_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260724_74efedf6_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260724_epoch050_016ad000_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/phase1_teacher_full_view_seed20260724_epoch100_9e689102_sliding_window_receipt.csv
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,22,docker/CARE2026_Myocardium/CineMyoPS/models/.gitkeep|docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/__init__.py|docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/engine/__init__.py|docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/inference/__init__.py|docker/CARE2026_Myocardium/CineMyoPS/vendor/myops/utils/__init__.py|docker/CARE2026_Myocardium/MyoPS/models/.gitkeep|results/figures/.gitkeep|results/reports/.gitkeep|results/tables/.gitkeep|src/.gitkeep|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/__init__.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/engine/__init__.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/inference/__init__.py|third_party/MoSAIC/source/docker/cinemyops/myops_pkg/utils/__init__.py|third_party/MoSAIC/source/docker/myops/myops_pkg/__init__.py|third_party/MoSAIC/source/docker/myops/myops_pkg/engine/__init__.py|third_party/MoSAIC/source/docker/myops/myops_pkg/inference/__init__.py|third_party/MoSAIC/source/docker/myops/myops_pkg/utils/__init__.py|third_party/MoSAIC/source/myops/__init__.py|third_party/MoSAIC/source/myops/engine/__init__.py|third_party/MoSAIC/source/myops/inference/__init__.py|third_party/MoSAIC/source/myops/utils/__init__.py
af0d41b29271537224f123550c1d03cc948de10152c0a31f507ba9b7993da13b,4937,8,results/20260724_care_myops_batch10_deadline_rescue/tta_student_direct_reliable_legacy_seed20260723_epoch150_928c1316_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_direct_reliable_seed20260723_epoch150_e29829d4_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_moddrop_control_seed20260723_d8d22dc3_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_moddrop_control_seed20260723_epoch025_d8d22dc3_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_reliable_distill_seed20260723_36672249_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_reliable_distill_seed20260723_epoch025_36672249_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_student_reliable_distill_seed20260724_f68849c8_sliding_window_receipt.csv|results/20260724_care_myops_batch10_deadline_rescue/tta_teacher_full_view_seed20260724_74efedf6_sliding_window_receipt.csv
a22147b17df86255217b4e2ff9c7ada85022a85d78249aecee395bfdb777c0ff,1981,8,results/20260803_care_ase_r2_external_review_repair_v7/stock_augmentation_runtime_binding_fold1.json|results/20260803_care_ase_r2_external_review_repair_v7/stock_augmentation_runtime_binding_fold4.json|results/20260803_care_ase_r2_external_review_repair_v7/stock_initial_patch_binding_fold1.json|results/20260803_care_ase_r2_external_review_repair_v7/stock_initial_patch_binding_fold4.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/stock_augmentation_runtime_binding_fold1.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/stock_augmentation_runtime_binding_fold4.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/stock_initial_patch_binding_fold1.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/stock_initial_patch_binding_fold4.json
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b,1,8,docker/CARE2026_Myocardium/MyoPS/care_ase_vendor/data/.gitkeep|docker/CARE2026_Myocardium/MyoPS/care_ase_vendor/src/.gitkeep|results/20260730_care_failure_forensics_deep_research_packet/mmrd_casewise_metrics.csv|results/20260730_care_failure_forensics_deep_research_packet/mmrd_direct_vs_distillation.csv|results/20260730_care_failure_forensics_deep_research_packet/mmrd_vs_nnunet.csv|results/20260730_care_failure_forensics_deep_research_packet/v3_missing_scientific_evidence.csv|results/20260730_care_failure_forensics_deep_research_packet/v3_mmrd_casewise_metrics.csv|results/20260730_care_failure_forensics_deep_research_packet/v3_mmrd_direct_distillation_comparison.csv
5cf7a9843cf5d01ccf1e67b510b65009ffbfa3f8c209482f9abc74b51df956a4,3614,7,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r2/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0_r2_balanced_c2_bank_lite/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_balanced_smoke/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_index8_balanced_smoke/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_smoke/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_smoke4/gate_b_r2_case_split.json|results/20260728_care_dpr_fold0_global_redesign/runtime/gate_b_r2_window12_balanced_smoke/gate_b_r2_case_split.json
acddf026c94b7e6e5d23f15a129bbdd8783dde27c7d50148b865667a76d209e5,1260,7,results/20260803_care_ase_r2_external_review_repair_v7/scheduler_static_contract.json|results/20260803_care_ase_r2_final_pretraining_closure_v8/scheduler_static_contract.json|results/20260803_care_ase_r2_full_fidelity_execution/scheduler_static_contract.json|results/20260803_care_ase_r2_last_hotfix_v9/scheduler_static_contract.json|results/20260803_care_ase_r2_pretraining_fidelity_repair_v4/scheduler_static_contract.json|results/20260803_care_ase_r2_pretraining_fidelity_repair_v5/scheduler_static_contract.json|results/20260804_care_ase_r2_emergency_9h_training_docker/scheduler_static_contract.json
5dabe80cb198995b1a848cbfc9bb872edb56afa6823e2876c99d74a07f9ed0e2,514,6,results/20260803_care_ase_r2_last_hotfix_v9/architecture_delta_final.md|results/20260803_care_ase_r2_last_hotfix_v9/completion_check.md|results/20260803_care_ase_r2_last_hotfix_v9/controller_report.md|results/20260803_care_ase_r2_last_hotfix_v9/implementation_snapshot.md|results/20260803_care_ase_r2_last_hotfix_v9/mapper_report_draft.md|results/20260803_care_ase_r2_last_hotfix_v9/mapper_report_final.md
adb879f98989b05ac4259ff6bd9df7df3d047b6f603dc6b57171bd18cc2ca6c4,324,5,results/route_B/round03/executors/B1/completion.json|results/route_B/round03/executors/B1/loss_contract.json|results/route_B/round03/executors/B1/static_test_report.json|results/route_B/round03/executors/B1/symbol_inventory.json|results/route_B/round03/executors/B1/tensor_contract.json
