component_id,branch,required_role,route_b_status,historical_context_status,source_file_inspected,symbol_or_entrypoint,final_output_dependency_evidence,gradient_evidence,intervention_evidence,checkpoint_export_evidence,gap_code,controller_decision
myops_modality_stems,MyoPS,modality-specific LGE/C0/T2 stems,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_namespace,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_multiscale_encoder,MyoPS,multi-scale encoder,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_namespace,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_availability_router,MyoPS,availability and image-aware routing,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_gate_evidence,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_semantic_retrieval,MyoPS,shared/private/interaction dictionaries,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_trace,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_prototype_bank,MyoPS,case/fold-safe train or OOF prototypes,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_provenance,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_anatomy_decoder,MyoPS,union/LV/RV anatomy decoder,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_trace,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_scar_proposal,MyoPS,LGE-dominant scar proposal,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_intervention,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_edema_proposal,MyoPS,T2-conditioned edema proposal,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_intervention,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_soft_roi,MyoPS,proposal/anatomy/distance/uncertainty/nnU-Net soft ROI,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_trace,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_scar_refiner,MyoPS,small-ROI high-resolution scar refiner,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_intervention,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_edema_refiner,MyoPS,large-ROI edema refiner,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_intervention,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_bounded_residual,MyoPS,bounded nnU-Net anchored residual,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_anchor_identity,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
myops_export,MyoPS,compact-to-raw CARE label export,missing,partial_or_unverified,src/care_myocardium/models/srr_propref.py,,missing,missing,missing,not_applicable,missing_route_B_export_qa,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_anatomy_source,Cine,CineMA or approved anatomy-source loader,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_runtime_receipt,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_frame_policy,Cine,ED/reference and key-frame policy,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_case_receipt,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_registration,Cine,actual transforms and warped evidence,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_warp_stats,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_syn_control,Cine,real ANTs/SyN or comparable control,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_control_receipt,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_temporal_dictionary,Cine,temporal dictionary consuming registered tensors,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_temporal_runtime,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
cine_temporal_refiner,Cine,temporal aggregation/refiner,missing,partial_or_unverified,src/care_myocardium/cine/,,missing,missing,missing,not_applicable,missing_route_B_intervention,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
checkpoint_resume_export,Shared,save/reload/resume/export consistency,missing,partial_or_unverified,src/care_myocardium/,,missing,missing,missing,missing,missing_route_B_runtime_receipt,ROUTE_B_IMPLEMENTATION_NEEDS_REVISION
