step,draw_label,expected_label,case_id,stratum_index
1,E,E,Case3012,9
2,E,E,Case3044,15
3,S,S,Case8015,22
4,R,R,Case7005,0
5,E,E,Case3012,9
6,E,E,Case2007,1
7,S,S,Case1045,10
8,R,R,Case7005,0
9,E,E,Case2033,6
10,E,E,Case2031,5
11,S,S,Case6001,18
12,R,R,Case7005,0
13,E,E,Case3011,8
14,E,E,Case3023,10
15,S,S,Case8015,22
16,R,R,Case7005,0
17,E,E,Case3040,14
18,E,E,Case3038,13
19,S,S,Case1021,4
20,R,R,Case7005,0
21,E,E,Case3038,13
22,E,E,Case3040,14
23,S,S,Case8003,20
24,R,R,Case7005,0
25,E,E,Case3044,15
26,E,E,Case3012,9
27,S,S,Case1070,14
28,R,R,Case7005,0
29,E,E,Case3040,14
30,E,E,Case3044,15
31,S,S,Case1007,1
32,R,R,Case7005,0
33,E,E,Case2007,1
34,E,E,Case3044,15
35,S,S,Case6001,18
36,R,R,Case7005,0
37,E,E,Case3011,8
38,E,E,Case3034,12
39,S,S,Case1040,8
40,R,R,Case7005,0
41,E,E,Case3038,13
42,E,E,Case3044,15
43,S,S,Case8022,25
44,R,R,Case7005,0
45,E,E,Case3034,12
46,E,E,Case2007,1
47,S,S,Case8015,22
48,R,R,Case7005,0
49,E,E,Case3012,9
50,E,E,Case3023,10
51,S,S,Case1010,3
52,R,R,Case7005,0
53,E,E,Case3012,9
54,E,E,Case3012,9
55,S,S,Case1007,1
56,R,R,Case7005,0
57,E,E,Case2002,0
58,E,E,Case2020,4
59,S,S,Case1062,13
60,R,R,Case7005,0
61,E,E,Case2008,2
62,E,E,Case2017,3
63,S,S,Case8021,24
64,R,R,Case7005,0
