phase,checkpoint_name,checkpoint_sha256,all_44_fresh,hashes_match,calibration_frozen,finite,no_t2_exact_zero,eligible,case_count,scar_positive_nonempty_rate,t2_edema_positive_nonempty_rate,edema_positive_nonempty_rate,scar_median_volume_ratio,edema_median_volume_ratio,subgroups_complete,validators_pass,exclusion_reason,exclusion_reasons
alignment_control,checkpoint_validation_step_5000,04f14bef1b17e0eb06d4d734a88b0a84908ef0dc0f2fcd40955c17d437b8a2e8,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_20450,04fda61fb8f174c0aa957b61c7862bd70c74fe1827a911c8911c7caee96bcbce,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_18326,050358ac7700b262b02f6697f0a7877734ecfe221bf5363f7de40fa29f569056,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_3332,0699e064bca80063e851e6818c4d699fd95b4980dc9b50a8653e12f1f5ee0e60,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_10000,07803ae4f6ca968e96f265196a382d13028f9c9b9176cfe9fa39f9539de6d83f,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_2000,0902231bb5f546610f2e159b722fa58b11d8469d60dbe13bb1855d1b860d324c,True,true,true,True,True,true,44,0.9767441860465116,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_27000,09693b8d397188a45ba433073cb46b36dceb732c5376d6455c05bcb46df86e05,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_23324,0d336d2f4848e793c030327783b131d19275210a25f62a8beda15b6e6b941e67,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_final,0f8eac74ad891aa56c660d2fed7ffe3b6775ab94c5ea9822c61b46fe30550586,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d2_hierarchical_psip,checkpoint_validation_step_13328,1112147d9db547481327ea13ae14a208552afb87fcfb0ec81c1a3416ae0c744e,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_6135,115d3ecf9d3e6e3094d5ef9b73a019af34ff4f1597d5a1cbffe1ebd3d6d94602,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_11662,152a086a53913218f75f952fcea034a4ac791871f87d2ea25460c4b25eb51db9,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
no_context_control,checkpoint_validation_step_18000,1599b8f877510ce35b71e10701a0451716831ffc6595305a3796c0aded196b45,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d0_control,checkpoint_validation_step_8330,186840241d99cbd86c7f823a4916efe7e20702cfe7131e473b1db08538bb50ab,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_8000,1ce08323201f69cd273716297e9b26b21a6f20dea9992d461af93b1858ab00b6,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_validation_step_42945,1d17104d68eb0e5adf4456ae0d851bd5c11f7d475ad2c3ac8e4d55ebe4c67db5,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_21658,219cec3fb3c40e12e5f22bae6ba56d9334c66228a113d31fd73b36442d1de8ab,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
alignment_control,checkpoint_best,21ae0a2ef5cb4b06bdcd6d5439318136c8e89ad9719b72eb6fcbc2328ac51c35,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d1_spatial_br2,checkpoint_validation_step_13328,2794b89d5f797432cb628396ef97e5304818f5f1aff86f44cf0d267a89116116,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
hard_negative_refresh,checkpoint_validation_step_4000,2889742d7d4a4f9b1b3c250c7d2ffe56046a0d4b791dff5daf55618a190dd68d,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
d3_full_propref,checkpoint_best,297932a463e31c57e8dcf0035a101449c570e4e725ee76755a82871ea98bd219,True,true,true,True,True,true,44,1.0,1.0,1.0,,,true,true,,
