phase,checkpoint_path,checkpoint_sha256,state_dict_sha256,hash_receipt_scope,r1_clean_reload_obligation,optimizer_step,scheduled_checkpoint,recoverable,exclusion_reason,parent_training_fingerprint_sha256,source_inventory,checkpoint_name,assignment_index,assigned_partition,logical_run_id,attempt_credit
alignment_control,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_5000.pt,04f14bef1b17e0eb06d4d734a88b0a84908ef0dc0f2fcd40955c17d437b8a2e8,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,5000,true,true,,1e0dfe0ada3575f8c193400cc156ca65cbbef25cbe4c3e0f40e810b9b9b25f51,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_5000,0,htzhulab,route_C_round03_R1_checkpoint_04f14bef1b17e0eb06d4d734a88b0a84908ef0dc0f2fcd40955c17d437b8a2e8,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_20450.pt,04fda61fb8f174c0aa957b61c7862bd70c74fe1827a911c8911c7caee96bcbce,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,20450,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_20450,1,a100-gpu,route_C_round03_R1_checkpoint_04fda61fb8f174c0aa957b61c7862bd70c74fe1827a911c8911c7caee96bcbce,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_18326.pt,050358ac7700b262b02f6697f0a7877734ecfe221bf5363f7de40fa29f569056,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,18326,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_18326,2,htzhulab,route_C_round03_R1_checkpoint_050358ac7700b262b02f6697f0a7877734ecfe221bf5363f7de40fa29f569056,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_3332.pt,0699e064bca80063e851e6818c4d699fd95b4980dc9b50a8653e12f1f5ee0e60,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,3332,true,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_3332,3,a100-gpu,route_C_round03_R1_checkpoint_0699e064bca80063e851e6818c4d699fd95b4980dc9b50a8653e12f1f5ee0e60,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_10000.pt,07803ae4f6ca968e96f265196a382d13028f9c9b9176cfe9fa39f9539de6d83f,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,10000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_10000,4,htzhulab,route_C_round03_R1_checkpoint_07803ae4f6ca968e96f265196a382d13028f9c9b9176cfe9fa39f9539de6d83f,pending
hard_negative_refresh,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_hard_negative_refresh/checkpoints/fold_0/propref_config/checkpoint_validation_step_2000.pt,0902231bb5f546610f2e159b722fa58b11d8469d60dbe13bb1855d1b860d324c,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,2000,true,true,,58d300460614cd4919218a672575ed2c80719f62640781646ade96966c13d536,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_2000,5,a100-gpu,route_C_round03_R1_checkpoint_0902231bb5f546610f2e159b722fa58b11d8469d60dbe13bb1855d1b860d324c,pending
d3_full_propref,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_full_memory_propref_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_27000.pt,09693b8d397188a45ba433073cb46b36dceb732c5376d6455c05bcb46df86e05,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,27000,true,true,,6ec666673e429e6411dfc5b34374ca1e4c836929da56ccaebfc96456a9985861,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_27000,6,htzhulab,route_C_round03_R1_checkpoint_09693b8d397188a45ba433073cb46b36dceb732c5376d6455c05bcb46df86e05,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_23324.pt,0d336d2f4848e793c030327783b131d19275210a25f62a8beda15b6e6b941e67,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,23324,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_23324,7,a100-gpu,route_C_round03_R1_checkpoint_0d336d2f4848e793c030327783b131d19275210a25f62a8beda15b6e6b941e67,pending
d1_spatial_br2,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d1_spatial_br2_formal/checkpoints/fold_0/propref_config/checkpoint_final.pt,0f8eac74ad891aa56c660d2fed7ffe3b6775ab94c5ea9822c61b46fe30550586,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,,best_or_final,true,,498c5667fbfebf13aee7aa74819df9d408fc9573bd1f32c0af2cc7237b9e6796,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_final,8,htzhulab,route_C_round03_R1_checkpoint_0f8eac74ad891aa56c660d2fed7ffe3b6775ab94c5ea9822c61b46fe30550586,pending
d2_hierarchical_psip,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_13328.pt,1112147d9db547481327ea13ae14a208552afb87fcfb0ec81c1a3416ae0c744e,DEFERRED_TO_R1_CLEAN_RELOAD,checkpoint_file_sha256_from_existing_followup2_inventory_only,required_before_R1_completion,13328,true,true,,248b922aafc8f2616a3f7ebedc2ed0e20d3c96ff0d9b2b9233daa5a479d115bc,/users/a/e/aereinh/CARE/results/20260715_srr_v3_m10_followup2_wave2_evidence_repair/checkpoint_inventory.csv,checkpoint_validation_step_13328,9,a100-gpu,route_C_round03_R1_checkpoint_1112147d9db547481327ea13ae14a208552afb87fcfb0ec81c1a3416ae0c744e,pending
