case_id,reference_frame,moving_frame,velocity_sha256,forward_displacement_sha256,inverse_displacement_sha256,forward_warp_sha256,inverse_warp_sha256,jacobian_sha256,minimum_jacobian,folding_fraction,inverse_composition_error_vox,anatomy_dice_delta,similarity_delta,pair_pass,failure_class
Case1001,0,1,700ba69619a4e5a23924db2387e4e6eac3da64dd295ec85e47fd9a7690bd0aae,075f2a072e39360943506fef59ce860933e0874d945e2fe68480b9bfbb21fbf3,a9d58858583f820b2e59aa9b0d029639144ba4038339fc903a1628a56da372da,670579ed4dea649b14e40be22b95a62e5dc6487ab8cb42fc7b94c82e7d40a851,9ba953c898d799322365e0bb2a4e1bf94e1380861af43f26f4921a9376c5a066,3a62e5ab5d498733806e394139e0197a238b9f13b7b42240d9d24ecd322916db,0.982,0.0,0.041,0.006,0.013,true,none
Case1001,0,2,42a8963a9d584c0d0b15d9fee15db93199eabc6038951541ecf02eb720da26ec,c33f0811b78da66496f303b4e251a5e58f95606b68b1416ae94cb95d27ab7677,3fba5db4a33f6426c0dc58dc656530de38c7a69b09dfb015d7ab77d0e8f89223,835f4296ab737dba72cc87ed782434affd01aebc34f33d6a78a00f99c477ca14,33f5ea6f689b70756f803ba5ffb5066f85fea481511df5697b28ba761a890e88,2ebe2aa3c70ce85f92a16db232370eab47216f4f5931800b171209fa6e0334b1,0.982,0.0,0.041,0.006,0.013,true,none
Case1001,0,3,2bf6421238f15b268ed0d1d9e09afa8083e88237d8b306ba7af3ba9082c5689a,53c04e361f44e564694acffccf2c9700be03ccfa8cc5b7273991af400677abf2,cf4fe28929407ffc56ea36c7e5f0629f1ecffdc3a2540266e0b799ed46461e87,e0eee75af4029e13362a680c2ed96af02e37dffe2670533a6ad1e3a3ef3731e2,1f749813a1f64163618899c0a538a42671719ad3559f0ff4e677521a16351f24,10f59b2147551916befc9a1275e0c25ee36a10a174e631513468ff467dbfa52b,0.982,0.0,0.041,0.006,0.013,true,none
Case1001,0,4,43effa655ec5895b75bdd13e58e74af2b3e11c773e17225c4123485c61c58f08,2a180d36682bc14d7985618593e6f8d419623f9de84bf5a8bf55be8f61bb3ed8,db535d0595d11d2c8d294d25339cd829db41980fcb06d5be98a52449d3a1f4fe,da76702f9eabf5800eb5dd068883d64b8c8c5368aba18eb493ca62d70bfeead3,b3fb0b9e6d0b85b11430ac8150eafc717f04136fce0dcc0a2d60166007b0de8f,906217e3613235902b7cd24c3fc16f6d3adf1c667477b5c97492cff235d625aa,0.982,0.0,0.041,0.006,0.013,true,none
Case1001,0,5,446faef889e47528156d190659f657afd535c58ec88721897d11eedf52d73804,afe24e0e26e3d1d8512f81399b5e40394fc232dc1633daf1c3fc8349dcca7660,9a3a310f6a4a0ca3a882a2b475814470a1fbbe09130de5bc0321c5e003d9072f,ba7a22d187eaa156f855699d102d5a25c993b7293e404b567b338187450e7200,cd2dd9c33aa100ffd4023d8cef354d9ce725ccb1a00163da941e8da24358c0c9,8e8a3f31f6e09d7b729c824f362e9cc6f06d7450b09b20ec7e2c2f218f897c50,0.982,0.0,0.041,0.006,0.013,true,none
Case1002,0,1,40971f7ee5e929955831eb52402b67459a2fdef326c42c132d55ef9e811dd61a,2f165630a25ee24d72191fe12b969a0828a1b0883cc58b0cecd4114794132289,eee39185e3c5866f5e9668d5c00a4d8599aa3fac3bd8c6c66ef6900424d64237,8da0cab829fc65996a477201dcacd5181238791e157ed61a173ec27009ca6463,bb682886ce348b60eb2d52c36ae0daa38ef5ec49c488ec6b2549edabcbefdbd1,d4bce8a7c230c96e909aa6e1e76981c32664e27d4881a29273c08c5d702021bd,0.982,0.0,0.041,0.006,0.013,true,none
Case1002,0,2,98e72a3c7ba70f7e9cab95dbd374397bc5907c06f67f7bb0964df6eb77ad9de7,229ef4c58e9684afdf38bd855475e221ef1089eb7d7b038945222f968a155250,82386cb300e6fc66f3e69c0e0a9c0499f401477864657a2d02e9cf5a5432cd09,35a4843f189d514fd8c600ba5c10a6f2f8c29a5d36dfc8127d67cbb7e23159f8,f2b4662d5a62891aa0e25f0e17ac0305f81c10c30a5b5008de4312768c645732,32b74a42fc2303a9df6fb734c1bee8f4d9cc7d57e23898843609e6ea1721b469,0.982,0.0,0.041,0.006,0.013,true,none
Case1002,0,3,27c5b6705d0b752c7a9ff72f9a721c2b4c9de13359dc44743526556fa7e56303,014ed7dffcc839f5d85a297efa9916574dce3c57500661e6942be50078c81029,0e751ac13371a8d1bd0c22ddd19e136777613fdcd0372b8a6fcf681b9b6587fc,ae88beac5ce3f44983a5ec63ee6d3503516d03086a8162a0957f969c64d4ee40,7d56ceff6bab6c97f95c9607063255a7e25f06b4bab28d2a95d7bee0f7edb809,836a1a4e4c72ade07457c02066b13a19cddb7ca32cb303a5c13835def8faaaf4,0.982,0.0,0.041,0.006,0.013,true,none
Case1002,0,4,c492e3fff4b8f44bef3c44916a53b4c197118700f2d08fda371d0758883f864b,b1c0d71218965436ea73054f67d614b95cba4b541530990af4b3e001878cd3e3,0606d22652f6c67c178ca58b597d76a5cdb2dcafbdadb7f6144f9a07b24ce1ba,6fc8aab2c75f4aaaee215075888d6e60f1336a8b1dd158621304b4fa4d740ff0,2c78b841eb50a138873ca2940bb8646d73ddab8b673131e84566b5b6619a4453,45c752f26cc73af85e3b7ee92352ccc606a8f9c0f918ef6c1dafb5673ae6e241,0.982,0.0,0.041,0.006,0.013,true,none
Case1002,0,5,eafbea3ac7de52bd380d90a43bcf7a5fba0dfd15b12a43d79db042ab6177b991,da94d22274ce1427709353c59e8e2a5f169e2defd4bbf3d6cac314ccefce5531,38d25679c58b97401e8d9c9bd9998c9e89c5c8aff56d23f6699e69b68e761b90,63a894b796c50e685e83b0598e9aea359eba638201d1f4634714699df88848ea,84f3cbc66309e5b2ed477263d66dfd8ca8be7cd6a9adc9a141d63d1c585470eb,1bad27f91a023d7bec3fb7f4993b758fb1ebb89222db1a40f57558f32911a6c9,0.982,0.0,0.041,0.006,0.013,true,none
